SITE,PLOT,YEAR,DRY_WT
BB-Mid,142,2005,10.75
BB-Mid,144,2005,7.34
BB-Mid,147,2005,5.19
BB-Mid,150,2005,2.39
BB-Mid,152,2005,5.4
BB-Mid,153,2005,5.03
BB-Upper,121,2005,2.71
BB-Upper,123,2005,5.56
BB-Upper,129,2005,5.2
BB-Upper,130,2005,15.03
BB-Upper,132,2005,4.79
BB-Upper,133,2005,9.07
BB-High,104,2005,6.89
BB-High,105,2005,4.77
BB-High,106,2005,9.83
BB-High,109,2005,5.63
BB-High,111,2005,10.99
BB-High,115,2005,16.75
SF-TF,34,2005,24.5
SF-TF,36,2005,19.05
SF-TF,37,2005,10.78
SF-TF,38,2005,21.87
SF-TF,39,2005,4.95
SF-TF,41,2005,3.29
BB-Low,162,2006,10.49
BB-Low,165,2006,5.85
BB-Low,168,2006,16.03
BB-Low,170,2006,6.49
BB-Low,171,2006,19.28
BB-Low,173,2006,7.42
BB-Mid,142,2006,6.91
BB-Mid,144,2006,13.38
BB-Mid,147,2006,7.49
BB-Mid,150,2006,11.6
BB-Mid,152,2006,9.34
BB-Mid,153,2006,8.12
BB-Upper,121,2006,27.45
BB-Upper,123,2006,16.05
BB-Upper,129,2006,24.17
BB-Upper,130,2006,29.13
BB-Upper,132,2006,25.89
BB-Upper,133,2006,22.54
BB-High,104,2006,25.04
BB-High,105,2006,33.7
BB-High,106,2006,29.5
BB-High,109,2006,35.28
BB-High,111,2006,42.03
BB-High,115,2006,25.44
SF-TF,34,2006,37.83
SF-TF,36,2006,28.62
SF-TF,37,2006,23.64
SF-TF,38,2006,32.38
SF-TF,39,2006,21.16
SF-TF,41,2006,25.21
BB-Low,162,2012,1.46
BB-Low,165,2012,3.04
BB-Low,168,2012,2.7
BB-Low,170,2012,4
BB-Low,171,2012,0
BB-Low,173,2012,1.34
BB-Mid,142,2012,2.36
BB-Mid,144,2012,1.33
BB-Mid,147,2012,3.31
BB-Mid,150,2012,0
BB-Mid,152,2012,1.71
BB-Mid,153,2012,0.91
BB-Upper,121,2012,2.23
BB-Upper,123,2012,2.66
BB-Upper,129,2012,67.8
BB-Upper,130,2012,62.64
BB-Upper,132,2012,24.5
BB-Upper,133,2012,12.62
BB-High,104,2012,45.05
BB-High,105,2012,15.21
BB-High,106,2012,4.78
BB-High,109,2012,8.42
BB-High,111,2012,2.8
BB-High,115,2012,22.81
SF-TF,34,2012,35.31
SF-TF,36,2012,43.2
SF-TF,37,2012,25.33
SF-TF,38,2012,43.42
SF-TF,39,2012,13.31
SF-TF,41,2012,19.12
SF-TF,34,2013,10.46
SF-TF,36,2013,23.69
SF-TF,37,2013,270.59
SF-TF,38,2013,115.75
SF-TF,39,2013,3.36
SF-TF,41,2013,179.09
BB-High,104,2013,375.64
BB-High,105,2013,11.7
BB-High,106,2013,153.05
BB-High,109,2013,27.58
BB-High,111,2013,12.51
BB-High,115,2013,6.05
BB-Upper,121,2013,38.51
BB-Upper,123,2013,16.56
BB-Upper,127,2013,20.1
BB-Upper,130,2013,5.73
BB-Upper,132,2013,114.9
BB-Upper,134,2013,72.65
BB-Mid,142,2013,2.16
BB-Mid,144,2013,14.19
BB-Mid,147,2013,15.56
BB-Mid,150,2013,64.66
BB-Mid,152,2013,6.43
BB-Mid,153,2013,36.42
BB-Low,162,2013,77.01
BB-Low,165,2013,970.91
BB-Low,168,2013,46.81
BB-Low,170,2013,105.63
BB-Low,171,2013,18.77
BB-Low,173,2013,226.57
SF-TF,34,2014,1.55
SF-TF,36,2014,1.89
SF-TF,37,2014,9.2
SF-TF,38,2014,0.53
SF-TF,39,2014,1.63
SF-TF,41,2014,2.75
BB-High,104,2014,5.08
BB-High,105,2014,16.6
BB-High,106,2014,0
BB-High,109,2014,3.11
BB-High,111,2014,0.41
BB-High,115,2014,2.13
BB-Upper,121,2014,14.02
BB-Upper,123,2014,0.33
BB-Upper,127,2014,3.9
BB-Upper,130,2014,8.85
BB-Upper,132,2014,5.96
BB-Upper,134,2014,2.87
BB-Mid,142,2014,0.82
BB-Mid,144,2014,7.3
BB-Mid,147,2014,8.01
BB-Mid,150,2014,7.37
BB-Mid,152,2014,3.8
BB-Mid,153,2014,6.38
BB-Low,162,2014,3.35
BB-Low,165,2014,6.02
BB-Low,168,2014,1.69
BB-Low,170,2014,0.54
BB-Low,171,2014,1575.48
BB-Low,173,2014,3.08
SF-TF,34,2015,30.7
SF-TF,36,2015,2.88
SF-TF,37,2015,2.62
SF-TF,38,2015,0.39
SF-TF,39,2015,3.86
SF-TF,41,2015,0.49
BB-High,104,2015,3.62
BB-High,105,2015,2.8
BB-High,107,2015,4.39
BB-High,109,2015,2.33
BB-High,111,2015,2.15
BB-High,115,2015,13.49
BB-Upper,121,2015,5.67
BB-Upper,123,2015,1.43
BB-Upper,127,2015,2.92
BB-Upper,130,2015,0.69
BB-Upper,132,2015,0
BB-Upper,134,2015,3.25
BB-Mid,142,2015,1.1
BB-Mid,144,2015,8.8
BB-Mid,147,2015,1.22
BB-Mid,150,2015,69.81
BB-Mid,152,2015,0
BB-Mid,153,2015,13.72
BB-Low,162,2015,6.46
BB-Low,165,2015,0.43
BB-Low,168,2015,4.28
BB-Low,170,2015,0.5
BB-Low,171,2015,0.69
BB-Low,173,2015,6.04
SF-TF,34,2016,141.45
SF-TF,36,2016,34.25
SF-TF,37,2016,3.76
SF-TF,38,2016,6.16
SF-TF,39,2016,4.65
SF-TF,41,2016,13.13
BB-High,104,2016,58.56
BB-High,105,2016,35.44
BB-High,107,2016,1.97
BB-High,109,2016,5.56
BB-High,111,2016,3.42
BB-High,115,2016,14.79
BB-Upper,121,2016,46.28
BB-Upper,123,2016,2.53
BB-Upper,127,2016,31.96
BB-Upper,130,2016,7.29
BB-Upper,132,2016,6.49
BB-Upper,134,2016,554.72
BB-Mid,142,2016,0
BB-Mid,144,2016,41.52
BB-Mid,147,2016,29.27
BB-Mid,150,2016,41.21
BB-Mid,152,2016,1.77
BB-Mid,153,2016,0.58
BB-Low,162,2016,22.57
BB-Low,165,2016,3.11
BB-Low,168,2016,3.1
BB-Low,170,2016,19.99
BB-Low,171,2016,5.13
BB-Low,173,2016,133.68
SF-TF,34,2017,20.53
SF-TF,36,2017,1.8
SF-TF,37,2017,7.25
SF-TF,38,2017,1.43
SF-TF,39,2017,3.89
SF-TF,41,2017,548.63
BB-High,104,2017,44.4
BB-High,105,2017,39.02
BB-High,107,2017,64.79
BB-High,109,2017,2.25
BB-High,111,2017,32.85
BB-High,115,2017,33.97
BB-Upper,121,2017,7.29
BB-Upper,123,2017,7.15
BB-Upper,127,2017,50.81
BB-Upper,130,2017,6.95
BB-Upper,132,2017,17.76
BB-Upper,134,2017,17.87
BB-Mid,142,2017,17.43
BB-Mid,144,2017,42.59
BB-Mid,147,2017,27.29
BB-Mid,149,2017,158.85
BB-Mid,150,2017,114.82
BB-Mid,152,2017,156.78
BB-Mid,153,2017,31.52
BB-Low,162,2017,16.44
BB-Low,165,2017,103.55
BB-Low,168,2017,14.83
BB-Low,170,2017,7.53
BB-Low,171,2017,18.49
BB-Low,173,2017,73.49
SF-TF,34,2018,11.76
SF-TF,36,2018,15.57
SF-TF,37,2018,18.12
SF-TF,38,2018,22.4
SF-TF,39,2018,3.02
SF-TF,41,2018,26.33
BB-High,104,2018,63.6
BB-High,105,2018,84.79
BB-High,107,2018,658.97
BB-High,109,2018,27.91
BB-High,111,2018,20.48
BB-High,115,2018,57.43
BB-Upper,121,2018,27.73
BB-Upper,123,2018,129.82
BB-Upper,127,2018,77.35
BB-Upper,130,2018,77.49
BB-Upper,132,2018,30.38
BB-Upper,134,2018,100.41
BB-Mid,142,2018,50.51
BB-Mid,144,2018,23.45
BB-Mid,147,2018,122.79
BB-Mid,149,2018,39.95
BB-Mid,150,2018,116.27
BB-Mid,152,2018,331.35
BB-Mid,153,2018,43.55
BB-Low,162,2018,82.12
BB-Low,165,2018,174.05
BB-Low,168,2018,7.63
BB-Low,170,2018,7.98
BB-Low,171,2018,70.45
BB-Low,173,2018,39.67
SF-TF,34,2019,8.03
SF-TF,36,2019,25.1
SF-TF,37,2019,5.4
SF-TF,38,2019,2.81
SF-TF,39,2019,0.76
SF-TF,41,2019,5.4
BB-High,104,2019,11.6
BB-High,105,2019,42.47
BB-High,107,2019,45.25
BB-High,109,2019,64.14
BB-High,111,2019,104.82
BB-High,115,2019,6.58
BB-Upper,121,2019,15.21
BB-Upper,123,2019,20.94
BB-Upper,127,2019,14.09
BB-Upper,130,2019,64.54
BB-Upper,132,2019,69.03
BB-Upper,134,2019,45.8
BB-Mid,142,2019,30.87
BB-Mid,144,2019,16.36
BB-Mid,147,2019,0
BB-Mid,149,2019,6.49
BB-Mid,150,2019,22.06
BB-Mid,152,2019,38.9
BB-Mid,153,2019,23.24
BB-Low,162,2019,35.04
BB-Low,165,2019,34.05
BB-Low,168,2019,38.06
BB-Low,170,2019,4.58
BB-Low,171,2019,12.19
BB-Low,173,2019,17.44
SF-TF,34,2020,4.72
SF-TF,36,2020,12.68
SF-TF,37,2020,4.24
SF-TF,38,2020,4.62
SF-TF,39,2020,1.17
SF-TF,41,2020,48.29
BB-High,104,2020,123.09
BB-High,105,2020,81.03
BB-High,107,2020,15.79
BB-High,109,2020,19.12
BB-High,111,2020,15.57
BB-High,115,2020,45.46
BB-Upper,121,2020,98.9
BB-Upper,123,2020,32.08
BB-Upper,127,2020,12.72
BB-Upper,130,2020,5.63
BB-Upper,132,2020,33.35
BB-Upper,134,2020,19.45
BB-Mid,142,2020,10.92
BB-Mid,144,2020,150.93
BB-Mid,147,2020,22.04
BB-Mid,149,2020,17.96
BB-Mid,150,2020,10.9
BB-Mid,152,2020,207.35
BB-Mid,153,2020,118.58
BB-Low,162,2020,95.54
BB-Low,165,2020,90.53
BB-Low,168,2020,36
BB-Low,170,2020,5.2
BB-Low,171,2020,10.2
BB-Low,173,2020,23.17
SF-TF,34,2021,4.59
SF-TF,36,2021,35.12
SF-TF,37,2021,16.69
SF-TF,38,2021,45.54
SF-TF,39,2021,5.25
SF-TF,41,2021,2.87
BB-High,104,2021,68.71
BB-High,105,2021,71.4
BB-High,107,2021,19.21
BB-High,109,2021,47.25
BB-High,111,2021,3.55
BB-High,115,2021,60.12
BB-Upper,121,2021,1.12
BB-Upper,123,2021,12.26
BB-Upper,127,2021,13.01
BB-Upper,130,2021,0
BB-Upper,132,2021,7.12
BB-Upper,134,2021,15.88
BB-Mid,142,2021,13.02
BB-Mid,144,2021,314.05
BB-Mid,147,2021,79.66
BB-Mid,149,2021,22.04
BB-Mid,150,2021,32.21
BB-Mid,152,2021,18.35
BB-Mid,153,2021,40.22
BB-Low,162,2021,24.46
BB-Low,165,2021,3.11
BB-Low,168,2021,107.37
BB-Low,170,2021,121.57
BB-Low,171,2021,12.21
BB-Low,173,2021,12.11
SF-TF,34,2022,54.38
SF-TF,36,2022,105.92
SF-TF,37,2022,13.97
SF-TF,38,2022,2.93
SF-TF,39,2022,112.84
SF-TF,41,2022,1.05
BB-High,104,2022,359.24
BB-High,105,2022,135.73
BB-High,107,2022,42.88
BB-High,109,2022,203.6
BB-High,111,2022,24.52
BB-High,115,2022,118.44
BB-Upper,121,2022,23.42
BB-Upper,123,2022,77.01
BB-Upper,127,2022,25.08
BB-Upper,130,2022,47.4
BB-Upper,132,2022,142.62
BB-Upper,134,2022,70.39
BB-Mid,142,2022,-9999
BB-Mid,144,2022,56.64
BB-Mid,147,2022,8.63
BB-Mid,149,2022,17.04
BB-Mid,150,2022,78.63
BB-Mid,152,2022,204.67
BB-Mid,153,2022,12.05
BB-Low,162,2022,51.54
BB-Low,165,2022,172.69
BB-Low,168,2022,469.78
BB-Low,170,2022,10.91
BB-Low,171,2022,17.02
BB-Low,173,2022,14.43
SF-TF,34,2023,33
SF-TF,36,2023,340.94
SF-TF,37,2023,114.23
SF-TF,38,2023,23.36
SF-TF,39,2023,19.74
SF-TF,41,2023,152.53
BB-High,104,2023,219.07
BB-High,105,2023,183.11
BB-High,107,2023,87.73
BB-High,109,2023,333.98
BB-High,111,2023,52.81
BB-High,115,2023,226.98
BB-Upper,121,2023,116.23
BB-Upper,123,2023,216.65
BB-Upper,127,2023,556.94
BB-Upper,130,2023,32.27
BB-Upper,132,2023,27.03
BB-Upper,134,2023,125.43
BB-Mid,142,2023,-9999
BB-Mid,144,2023,210.51
BB-Mid,147,2023,25
BB-Mid,149,2023,84.27
BB-Mid,150,2023,285.44
BB-Mid,152,2023,43.65
BB-Mid,153,2023,158.64
BB-Low,162,2023,170.96
BB-Low,165,2023,308
BB-Low,168,2023,380.14
BB-Low,170,2023,31.36
BB-Low,171,2023,36.6
BB-Low,173,2023,0
SF-TF,34,2024,21.53
SF-TF,36,2024,374.14
SF-TF,37,2024,5.57
SF-TF,38,2024,79.54
SF-TF,39,2024,234.36
SF-TF,41,2024,37.32
BB-High,104,2024,185.03
BB-High,105,2024,561.82
BB-High,107,2024,196.67
BB-High,109,2024,844.5
BB-High,111,2024,1497.5
BB-High,115,2024,765.62
BB-Upper,121,2024,193.68
BB-Upper,123,2024,217.39
BB-Upper,127,2024,46.23
BB-Upper,130,2024,530.8
BB-Upper,132,2024,843.22
BB-Upper,134,2024,560.55
BB-Mid,142,2024,135.67
BB-Mid,144,2024,115.23
BB-Mid,147,2024,480.96
BB-Mid,149,2024,1377.3
BB-Mid,152,2024,513.31
BB-Mid,153,2024,352.54
BB-Low,162,2024,3926.6
BB-Low,165,2024,589.71
BB-Low,168,2024,259.43
BB-Low,170,2024,0
BB-Low,171,2024,20.35
BB-Low,173,2024,248.14
