record_id,year,season,species,site,transition,threshold_stage,interval_start_date,interval_start_doy,interval_end_date,interval_end_doy,role,source_object_id
CAL0405-HB-1989-SPRING-BEAL2-7T-HALF_EXPANSION,1989,SPRING,BEAL2,7T,HALF_EXPANSION,3.0,1989-05-22,142,1989-05-30,150,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-FAGR-1B-HALF_EXPANSION,1989,SPRING,FAGR,1B,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-FAGR-4B-HALF_EXPANSION,1989,SPRING,FAGR,4B,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-FAGR-4T-HALF_EXPANSION,1989,SPRING,FAGR,4T,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-FAGR-5B-HALF_EXPANSION,1989,SPRING,FAGR,5B,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-FAGR-5T-HALF_EXPANSION,1989,SPRING,FAGR,5T,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-FAGR-6T-HALF_EXPANSION,1989,SPRING,FAGR,6T,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-FAGR-7B-HALF_EXPANSION,1989,SPRING,FAGR,7B,HALF_EXPANSION,3.0,1989-05-15,135,1989-05-22,142,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1989-SPRING-FAGR-7T-HALF_EXPANSION,1989,SPRING,FAGR,7T,HALF_EXPANSION,3.0,1989-05-22,142,1989-05-30,150,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-ACSA3-1B-HALF_EXPANSION,1990,SPRING,ACSA3,1B,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-ACSA3-4B-HALF_EXPANSION,1990,SPRING,ACSA3,4B,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-ACSA3-4T-HALF_EXPANSION,1990,SPRING,ACSA3,4T,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-ACSA3-5B-HALF_EXPANSION,1990,SPRING,ACSA3,5B,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-ACSA3-5T-HALF_EXPANSION,1990,SPRING,ACSA3,5T,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-ACSA3-6T-HALF_EXPANSION,1990,SPRING,ACSA3,6T,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-ACSA3-7B-HALF_EXPANSION,1990,SPRING,ACSA3,7B,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-ACSA3-7T-HALF_EXPANSION,1990,SPRING,ACSA3,7T,HALF_EXPANSION,3.0,1990-05-29,149,1990-06-04,155,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-BEAL2-1B-HALF_EXPANSION,1990,SPRING,BEAL2,1B,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-BEAL2-4B-HALF_EXPANSION,1990,SPRING,BEAL2,4B,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-BEAL2-4T-HALF_EXPANSION,1990,SPRING,BEAL2,4T,HALF_EXPANSION,3.0,1990-05-29,149,1990-06-04,155,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-BEAL2-5B-HALF_EXPANSION,1990,SPRING,BEAL2,5B,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-BEAL2-5T-HALF_EXPANSION,1990,SPRING,BEAL2,5T,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-BEAL2-6T-HALF_EXPANSION,1990,SPRING,BEAL2,6T,HALF_EXPANSION,3.0,1990-05-29,149,1990-06-04,155,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-BEAL2-7B-HALF_EXPANSION,1990,SPRING,BEAL2,7B,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-BEAL2-7T-HALF_EXPANSION,1990,SPRING,BEAL2,7T,HALF_EXPANSION,3.0,1990-06-04,155,1990-06-11,162,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-FAGR-1B-HALF_EXPANSION,1990,SPRING,FAGR,1B,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-FAGR-4B-HALF_EXPANSION,1990,SPRING,FAGR,4B,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-FAGR-4T-HALF_EXPANSION,1990,SPRING,FAGR,4T,HALF_EXPANSION,3.0,1990-05-29,149,1990-06-04,155,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-FAGR-5B-HALF_EXPANSION,1990,SPRING,FAGR,5B,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-FAGR-5T-HALF_EXPANSION,1990,SPRING,FAGR,5T,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-FAGR-6T-HALF_EXPANSION,1990,SPRING,FAGR,6T,HALF_EXPANSION,3.0,1990-05-29,149,1990-06-04,155,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-FAGR-7B-HALF_EXPANSION,1990,SPRING,FAGR,7B,HALF_EXPANSION,3.0,1990-05-21,141,1990-05-29,149,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1990-SPRING-FAGR-7T-HALF_EXPANSION,1990,SPRING,FAGR,7T,HALF_EXPANSION,3.0,1990-05-29,149,1990-06-04,155,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-ACSA3-1B-HALF_EXPANSION,1991,SPRING,ACSA3,1B,HALF_EXPANSION,3.0,1991-05-07,127,1991-05-13,133,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-ACSA3-4B-HALF_EXPANSION,1991,SPRING,ACSA3,4B,HALF_EXPANSION,3.0,1991-05-07,127,1991-05-13,133,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-ACSA3-4T-HALF_EXPANSION,1991,SPRING,ACSA3,4T,HALF_EXPANSION,3.0,1991-05-13,133,1991-05-20,140,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-ACSA3-5B-HALF_EXPANSION,1991,SPRING,ACSA3,5B,HALF_EXPANSION,3.0,1991-05-07,127,1991-05-13,133,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-ACSA3-5T-HALF_EXPANSION,1991,SPRING,ACSA3,5T,HALF_EXPANSION,3.0,1991-05-20,140,1991-05-28,148,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-ACSA3-6T-HALF_EXPANSION,1991,SPRING,ACSA3,6T,HALF_EXPANSION,3.0,1991-05-13,133,1991-05-20,140,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-ACSA3-7B-HALF_EXPANSION,1991,SPRING,ACSA3,7B,HALF_EXPANSION,3.0,1991-05-13,133,1991-05-20,140,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-ACSA3-7T-HALF_EXPANSION,1991,SPRING,ACSA3,7T,HALF_EXPANSION,3.0,1991-05-20,140,1991-05-28,148,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-BEAL2-1B-HALF_EXPANSION,1991,SPRING,BEAL2,1B,HALF_EXPANSION,3.0,1991-05-13,133,1991-05-20,140,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-BEAL2-4B-HALF_EXPANSION,1991,SPRING,BEAL2,4B,HALF_EXPANSION,3.0,1991-05-07,127,1991-05-13,133,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-BEAL2-4T-HALF_EXPANSION,1991,SPRING,BEAL2,4T,HALF_EXPANSION,3.0,1991-05-20,140,1991-05-28,148,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-BEAL2-5B-HALF_EXPANSION,1991,SPRING,BEAL2,5B,HALF_EXPANSION,3.0,1991-05-20,140,1991-05-28,148,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-BEAL2-5T-HALF_EXPANSION,1991,SPRING,BEAL2,5T,HALF_EXPANSION,3.0,1991-05-13,133,1991-05-20,140,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-BEAL2-6T-HALF_EXPANSION,1991,SPRING,BEAL2,6T,HALF_EXPANSION,3.0,1991-05-13,133,1991-05-20,140,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-BEAL2-7B-HALF_EXPANSION,1991,SPRING,BEAL2,7B,HALF_EXPANSION,3.0,1991-05-13,133,1991-05-20,140,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-BEAL2-7T-HALF_EXPANSION,1991,SPRING,BEAL2,7T,HALF_EXPANSION,3.0,1991-05-20,140,1991-05-28,148,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-FAGR-1B-HALF_EXPANSION,1991,SPRING,FAGR,1B,HALF_EXPANSION,3.0,1991-05-13,133,1991-05-20,140,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-FAGR-4B-HALF_EXPANSION,1991,SPRING,FAGR,4B,HALF_EXPANSION,3.0,1991-05-07,127,1991-05-13,133,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-FAGR-4T-HALF_EXPANSION,1991,SPRING,FAGR,4T,HALF_EXPANSION,3.0,1991-05-20,140,1991-05-28,148,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-FAGR-5B-HALF_EXPANSION,1991,SPRING,FAGR,5B,HALF_EXPANSION,3.0,1991-05-20,140,1991-05-28,148,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-FAGR-5T-HALF_EXPANSION,1991,SPRING,FAGR,5T,HALF_EXPANSION,3.0,1991-05-20,140,1991-05-28,148,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-FAGR-6T-HALF_EXPANSION,1991,SPRING,FAGR,6T,HALF_EXPANSION,3.0,1991-05-13,133,1991-05-20,140,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-FAGR-7B-HALF_EXPANSION,1991,SPRING,FAGR,7B,HALF_EXPANSION,3.0,1991-05-13,133,1991-05-20,140,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1991-SPRING-FAGR-7T-HALF_EXPANSION,1991,SPRING,FAGR,7T,HALF_EXPANSION,3.0,1991-05-20,140,1991-05-28,148,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-ACSA3-1B-HALF_EXPANSION,1992,SPRING,ACSA3,1B,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-ACSA3-4B-HALF_EXPANSION,1992,SPRING,ACSA3,4B,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-ACSA3-4T-HALF_EXPANSION,1992,SPRING,ACSA3,4T,HALF_EXPANSION,3.0,1992-05-26,147,1992-06-02,154,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-ACSA3-5B-HALF_EXPANSION,1992,SPRING,ACSA3,5B,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-ACSA3-5T-HALF_EXPANSION,1992,SPRING,ACSA3,5T,HALF_EXPANSION,3.0,1992-05-26,147,1992-06-02,154,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-ACSA3-6T-HALF_EXPANSION,1992,SPRING,ACSA3,6T,HALF_EXPANSION,3.0,1992-05-26,147,1992-06-02,154,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-ACSA3-7B-HALF_EXPANSION,1992,SPRING,ACSA3,7B,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-ACSA3-7T-HALF_EXPANSION,1992,SPRING,ACSA3,7T,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-BEAL2-1B-HALF_EXPANSION,1992,SPRING,BEAL2,1B,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-BEAL2-4B-HALF_EXPANSION,1992,SPRING,BEAL2,4B,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-BEAL2-4T-HALF_EXPANSION,1992,SPRING,BEAL2,4T,HALF_EXPANSION,3.0,1992-05-26,147,1992-06-02,154,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-BEAL2-5B-HALF_EXPANSION,1992,SPRING,BEAL2,5B,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-BEAL2-5T-HALF_EXPANSION,1992,SPRING,BEAL2,5T,HALF_EXPANSION,3.0,1992-05-26,147,1992-06-02,154,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-BEAL2-6T-HALF_EXPANSION,1992,SPRING,BEAL2,6T,HALF_EXPANSION,3.0,1992-05-26,147,1992-06-02,154,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-BEAL2-7B-HALF_EXPANSION,1992,SPRING,BEAL2,7B,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-BEAL2-7T-HALF_EXPANSION,1992,SPRING,BEAL2,7T,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-FAGR-1B-HALF_EXPANSION,1992,SPRING,FAGR,1B,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-FAGR-4B-HALF_EXPANSION,1992,SPRING,FAGR,4B,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-FAGR-4T-HALF_EXPANSION,1992,SPRING,FAGR,4T,HALF_EXPANSION,3.0,1992-05-26,147,1992-06-02,154,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-FAGR-5B-HALF_EXPANSION,1992,SPRING,FAGR,5B,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-FAGR-5T-HALF_EXPANSION,1992,SPRING,FAGR,5T,HALF_EXPANSION,3.0,1992-05-26,147,1992-06-02,154,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-FAGR-6T-HALF_EXPANSION,1992,SPRING,FAGR,6T,HALF_EXPANSION,3.0,1992-05-26,147,1992-06-02,154,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-FAGR-7B-HALF_EXPANSION,1992,SPRING,FAGR,7B,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1992-SPRING-FAGR-7T-HALF_EXPANSION,1992,SPRING,FAGR,7T,HALF_EXPANSION,3.0,1992-05-18,139,1992-05-26,147,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-ACSA3-1B-HALF_EXPANSION,1993,SPRING,ACSA3,1B,HALF_EXPANSION,3.0,1993-05-03,123,1993-05-10,130,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-ACSA3-4B-HALF_EXPANSION,1993,SPRING,ACSA3,4B,HALF_EXPANSION,3.0,1993-05-03,123,1993-05-10,130,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-ACSA3-4T-HALF_EXPANSION,1993,SPRING,ACSA3,4T,HALF_EXPANSION,3.0,1993-05-17,137,1993-05-24,144,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-ACSA3-5B-HALF_EXPANSION,1993,SPRING,ACSA3,5B,HALF_EXPANSION,3.0,1993-05-10,130,1993-05-17,137,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-ACSA3-5T-HALF_EXPANSION,1993,SPRING,ACSA3,5T,HALF_EXPANSION,3.0,1993-05-17,137,1993-05-24,144,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-ACSA3-6T-HALF_EXPANSION,1993,SPRING,ACSA3,6T,HALF_EXPANSION,3.0,1993-05-10,130,1993-05-17,137,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-ACSA3-7B-HALF_EXPANSION,1993,SPRING,ACSA3,7B,HALF_EXPANSION,3.0,1993-05-17,137,1993-05-24,144,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-ACSA3-7T-HALF_EXPANSION,1993,SPRING,ACSA3,7T,HALF_EXPANSION,3.0,1993-06-02,153,1993-06-07,158,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-ACSA3-HQ-HALF_EXPANSION,1993,SPRING,ACSA3,HQ,HALF_EXPANSION,3.0,1993-05-03,123,1993-05-10,130,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-BEAL2-1B-HALF_EXPANSION,1993,SPRING,BEAL2,1B,HALF_EXPANSION,3.0,1993-05-10,130,1993-05-17,137,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-BEAL2-4B-HALF_EXPANSION,1993,SPRING,BEAL2,4B,HALF_EXPANSION,3.0,1993-05-03,123,1993-05-10,130,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-BEAL2-4T-HALF_EXPANSION,1993,SPRING,BEAL2,4T,HALF_EXPANSION,3.0,1993-05-17,137,1993-05-24,144,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-BEAL2-5B-HALF_EXPANSION,1993,SPRING,BEAL2,5B,HALF_EXPANSION,3.0,1993-05-10,130,1993-05-17,137,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-BEAL2-5T-HALF_EXPANSION,1993,SPRING,BEAL2,5T,HALF_EXPANSION,3.0,1993-05-17,137,1993-05-24,144,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-BEAL2-6T-HALF_EXPANSION,1993,SPRING,BEAL2,6T,HALF_EXPANSION,3.0,1993-05-24,144,1993-06-07,158,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-BEAL2-7B-HALF_EXPANSION,1993,SPRING,BEAL2,7B,HALF_EXPANSION,3.0,1993-05-17,137,1993-05-24,144,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-BEAL2-7T-HALF_EXPANSION,1993,SPRING,BEAL2,7T,HALF_EXPANSION,3.0,1993-06-02,153,1993-06-07,158,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-BEAL2-HQ-HALF_EXPANSION,1993,SPRING,BEAL2,HQ,HALF_EXPANSION,3.0,1993-05-03,123,1993-05-10,130,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-FAGR-1B-HALF_EXPANSION,1993,SPRING,FAGR,1B,HALF_EXPANSION,3.0,1993-05-10,130,1993-05-17,137,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-FAGR-4B-HALF_EXPANSION,1993,SPRING,FAGR,4B,HALF_EXPANSION,3.0,1993-05-10,130,1993-05-17,137,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-FAGR-4T-HALF_EXPANSION,1993,SPRING,FAGR,4T,HALF_EXPANSION,3.0,1993-05-24,144,1993-06-07,158,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-FAGR-5B-HALF_EXPANSION,1993,SPRING,FAGR,5B,HALF_EXPANSION,3.0,1993-05-10,130,1993-05-17,137,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-FAGR-5T-HALF_EXPANSION,1993,SPRING,FAGR,5T,HALF_EXPANSION,3.0,1993-05-17,137,1993-05-24,144,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-FAGR-6T-HALF_EXPANSION,1993,SPRING,FAGR,6T,HALF_EXPANSION,3.0,1993-05-24,144,1993-06-07,158,CALIBRATION,SRC-HB-PHENO-EDI-51-16
CAL0405-HB-1993-SPRING-FAGR-7B-HALF_EXPANSION,1993,SPRING,FAGR,7B,HALF_EXPANSION,3.0,1993-05-24,144,1993-06-02,153,CALIBRATION,SRC-HB-PHENO-EDI-51-16
