prefix,exit,wat,frsoil_active,wint_red_enabled,frdp_final_mm,frozwt_final_mm,row_count,sum_frozwt,max_frozwt,nonzero_frozwt_days,max_frdp,mean_frdp_positive,days_frdp_gt_200,Q,Dp,latqcc,RM,Irr,Interception
p17,0,True,True,True,549.6236230213078,89.23411330418726,2557,122189.11323147688,276.6907844468331,866,1783.367697612913,898.5001580184361,782,1045.8416878876023,482.52916311808673,512.9386497483194,6308.160013483526,0.0,615.0133788383012
p18,0,True,True,True,550.0149897579056,89.3059892374106,2557,121734.47428415142,277.44158729407076,862,1782.7846681120789,894.0097670363629,781,1039.1578858781832,519.9475647341966,439.1631966832083,6307.657840842103,0.0,615.0133788383012
p19,0,True,True,True,549.9239579045577,89.29098098956432,2557,122719.35300076916,277.6045699680683,867,1782.7777369765356,891.4052871799673,783,1093.3994346289178,551.7514393878573,277.4995475172296,6308.6518689741715,0.0,615.0133788383012
p20,0,True,True,True,512.3680448082664,83.09425532867623,2557,113788.90847660063,272.060792479423,814,1782.777294129343,896.3800202847532,746,761.8166760817921,124.72897358916593,34.50250652115738,6281.339411137869,0.0,643.3614332068394
p21,0,True,True,True,461.9743352743952,72.06527392821101,2557,105675.67282707138,264.76697870226,789,1782.1191103698716,896.4652362988134,721,768.3079378292387,157.65239744837012,49.473675273239,6281.332595335036,0.0,643.3614332068394
p22,0,True,True,True,526.2426090720195,74.58491216222066,2557,116211.25624618251,273.5588933324895,852,1782.4471507577393,890.5383652561812,770,1140.7354991789252,605.4028557521634,181.28106855383953,6308.324583861968,0.0,615.0133788383012
p23,0,True,True,True,526.320396670864,74.59766356859166,2557,115740.2230488275,273.490865899997,849,1782.454545841078,893.704397119534,769,1101.0964532658932,605.0255667062728,274.8623319319873,6307.949823997282,0.0,615.0133788383012
p24,0,True,True,True,549.9913015439577,89.30209269006531,2557,122542.32431653628,277.60649569556614,867,1782.777294129343,890.3509971885524,783,1078.9772945311902,545.3001387626434,316.1596936558825,6308.620299825977,0.0,615.0133788383012
p25,0,True,True,True,397.5191475656506,68.43852266101926,2557,110749.86374417187,287.5885284650007,784,1780.5855773800126,874.5881468620958,695,1234.4409318943608,625.9420084813244,69.015960240342,6307.999435121367,0.0,615.0133788383012
p26,0,True,True,True,525.9906003234178,74.54321835564375,2557,114781.29932599321,272.1176128410761,848,1782.437333358516,891.7920559159288,768,1045.6097749698142,604.3066002086975,386.014542567174,6307.894012041883,0.0,615.0133788383012
p27,0,True,True,True,549.6429245765363,89.2445868129021,2557,123414.99550041431,278.5100499534948,864,1782.7906941308456,894.8727809818113,781,1152.561731081115,581.1390372081312,135.4769276731044,6308.175341625654,0.0,615.0133788383012
p28,0,True,True,True,525.8426030671496,74.51865081110324,2557,113683.03531920249,270.0981492691581,849,1782.437333358516,891.3075641732701,768,984.3787801322646,575.5763137095228,548.4377540140251,6308.210896137089,0.0,615.0133788383012
p29,0,True,True,True,549.7692423635297,89.27281009711241,2557,123127.7865854798,277.60181863762773,865,1782.8000560171527,895.5704588359733,781,1103.6899569300124,554.4966936847142,258.51404152905764,6308.106234204143,0.0,615.0133788383012
p30,0,True,True,True,550.0816053046831,89.31699281058499,2557,123041.03812304797,278.5092107317828,864,1782.777294129343,891.8696927720031,781,1145.980253740594,576.4435212778046,154.45942889039986,6307.940900345979,0.0,615.0133788383012
p31,0,True,True,True,550.0636766994276,89.31403459071784,2557,121788.48703381103,277.441316717523,864,1782.777294129343,892.5841876852805,782,1048.2158252520703,525.3915688597344,417.2237208055489,6308.282855999024,0.0,615.0133788383012
p32,0,True,True,True,512.2033743135773,83.05972642611957,2557,114243.76899779838,272.15725161791636,815,1782.8114011181365,900.8422639186385,747,770.1087809091833,90.63870395090541,80.67840269182139,6281.259887516484,0.0,642.7364332068394
p33,0,True,True,True,397.45191869543055,68.42723740963177,2557,110739.78853510856,287.5885284650007,784,1780.5850357757408,874.4890845767663,695,1209.2751948388498,625.9420084813244,133.32543029405053,6308.029914053514,0.0,615.0133788383012
p34,0,True,True,True,501.6402582810594,78.37975060343375,2557,113064.37654219285,269.4909617912339,836,1782.1051928712338,892.4277693331376,758,1137.574446629462,625.9497361127401,341.3905927358171,6308.289746675146,0.0,615.0133788383012
p35,0,True,True,True,397.28730179018913,68.39951642356569,2557,110962.72005820225,287.58923926448466,783,1780.6022630020445,877.534751308607,696,1219.4170187279046,625.9420084813244,111.65900971445036,6307.792638493758,0.0,615.0133788383012
p36,0,True,True,True,501.4115232616551,78.33572909522513,2557,112462.71387041913,269.2327725433359,833,1782.0836812929178,890.6701276891702,757,1188.0865667904754,625.9497361127401,213.64168716933204,6308.072216292434,0.0,615.0133788383012
p37,0,True,True,True,501.3133074806703,78.32778187590843,2557,112993.8439730941,269.66157736897907,834,1782.1095038455578,893.8918541546551,757,1140.312609353411,625.9497361127401,333.49324076807903,6307.893087764842,0.0,615.0133788383012
p38,0,True,True,True,397.4525989958763,68.4273234852397,2557,110893.91637245374,287.5889321120671,785,1780.593454958926,874.6685056657503,696,1246.3141025591387,625.9420084813244,49.53288784247813,6308.0407801032725,0.0,615.0133788383012
p39,0,True,True,True,501.4819817644794,78.34692746719084,2557,112571.14784025162,269.4702095051604,833,1782.0859597052217,890.8207631566845,757,1200.502964964352,625.9497361127401,179.63685736035245,6308.040919476511,0.0,615.0133788383012
p40,0,True,True,True,397.61222628772447,68.45415077363624,2557,111023.71628660074,287.5893665066018,787,1780.5936210592827,873.5015395677203,696,1139.5290061988628,625.9420084813244,320.7985639323252,6308.301070891588,0.0,615.0133788383012
p41,0,True,True,True,501.3783617686721,78.33045641784082,2557,112463.01883139927,268.7891004293516,833,1782.0836812929178,890.7115227697712,757,1233.9112341493872,625.9497361127401,81.07469868922541,6308.088111482084,0.0,615.0133788383012
p42,0,True,True,True,397.52336989611166,68.43923519291634,2557,110744.81116193152,287.5885284650007,784,1780.5850357757408,874.5381408854714,695,1215.2850848366288,625.9420084813244,116.46837630083039,6307.997602142539,0.0,615.0133788383012
p43,0,True,True,True,501.4039157201993,78.33450131656785,2557,112085.63509592385,268.6844299775765,834,1782.0940282532636,891.475616609476,757,1066.6343209337551,607.3260726448946,518.8350569346793,6308.080665696266,0.0,615.0133788383012
