prefix,year,residual_mm,abs_residual_mm,storage_delta_mm,flux_balance_mm,initial_storage_mm,final_storage_mm
p7,5,-1251842789680.7944,1251842789680.7944,-1251842790836.571,-1155.7765233235898,1279076623617.631,27233832781.060143
p7,6,409922824249602.25,409922824249602.25,409922824248483.2,-1119.079406655926,27233832781.060143,409950058081264.25
p7,7,-409950058079780.75,409950058079780.75,-409950058080799.7,-1018.9638991238893,409950058081264.25,464.55812949147264
p8,1,804324858165.3407,804324858165.3407,804324857021.7255,-1143.6152830384697,570.2082575490879,804324857591.9337
p8,2,59912526641519.47,59912526641519.47,59912526640407.01,-1112.458935473856,804324857591.9337,60716851497998.945
p8,3,2149120548426103.5,2149120548426103.5,2149120548425030.2,-1073.2966219449163,60716851497998.945,2209837399923029.2
p8,4,-2208612342883912.2,2208612342883912.2,-2208612342884933.5,-1021.2966798401089,2209837399923029.2,1225057038095.724
p8,5,-1198974118161.3098,1198974118161.3098,-1198974119306.9258,-1145.6158943997466,1225057038095.724,26082918788.79834
p8,6,390640293012391.75,390640293012391.75,390640293011282.06,-1109.6694665945904,26082918788.79834,390666375930070.9
p8,7,-374376579495149.4,374376579495149.4,-374376579496200.0,-1050.6426724596377,390666375930070.9,16289796433870.865
p9,1,813394994965.2219,813394994965.2219,813394992508.1438,-2457.078153972784,554.764762086523,813394993062.9086
p9,2,-810758547795.1461,810758547795.1461,-810758550213.9828,-2418.8367309045107,813394993062.9086,2636442848.9257603
p9,3,2241989974325039.5,2241989974325039.5,2241989974322562.5,-2477.0761690266972,2636442848.9257603,2241992610765411.5
p9,4,-2240725568378025.8,2240725568378025.8,-2240725568380470.8,-2444.934816443484,2241992610765411.5,1267042384940.7861
p9,5,-1240283376300.9905,1240283376300.9905,-1240283378909.7148,-2608.724260576173,1267042384940.7861,26759006031.07129
p9,6,400074025946054.75,400074025946054.75,400074025943499.94,-2554.8040735691407,26759006031.07129,400100784949531.0
p9,7,-400100784946927.06,400100784946927.06,-400100784949069.9,-2142.834833567581,400100784949531.0,461.13828274044715
p10,1,836281972930.593,836281972930.593,836281971659.7769,-1270.8161880518896,554.764762086523,836281972214.5416
p10,2,-832498679968.2451,832498679968.2451,-832498681195.8679,-1227.6228025695468,836281972214.5416,3783291018.6737638
p10,3,2283726619007510.5,2283726619007510.5,2283726619006288.0,-1222.4344254386774,3783291018.6737638,2283730402297306.5
p10,4,-2282417106053119.5,2282417106053119.5,-2282417106054291.0,-1171.4997592922064,2283730402297306.5,1313296243015.6187
p10,5,-1285930792421.976,1285930792421.976,-1285930793725.1692,-1303.1931931624135,1313296243015.6187,27365449290.449406
p10,6,409510130822385.75,409510130822385.75,409510130821122.8,-1262.9116766654406,27365449290.449406,409537496270413.25
p10,7,-409537496268849.56,409537496268849.56,-409537496269973.25,-1123.672555821914,409537496270413.25,439.9718123338919
p11,1,781822223800.0226,781822223800.0226,781822222625.3275,-1174.6951264063466,554.8772486906744,781822223180.2047
p11,2,-779634234998.8729,779634234998.8729,-779634236181.0017,-1182.1288291071526,781822223180.2047,2187986999.202949
p11,3,-1763690488.2434604,1763690488.2434604,-1763690978.077847,-489.8343866428123,2187986999.202949,424296021.1251019
p11,4,128610203094.15276,128610203094.15276,128610202000.18684,-1093.9659128507521,424296021.1251019,129034498021.31195
p11,5,-129034496232.84247,129034496232.84247,-129034497417.21829,-1184.3758267263404,129034498021.31195,604.0936511723704
p11,6,1007.9092929348366,1007.9092929348366,-54.45275084020079,-1062.3620437750374,604.0936511723704,549.6409003321696
p11,7,271.4034435880683,271.4034435880683,-88.41906211017715,-359.82250569824544,549.6409003321696,461.22183822199247
p12,1,835794940026.237,835794940026.237,835794938580.3878,-1445.8491996580974,554.764762086523,835794939135.1526
p12,2,-832165416084.2225,832165416084.2225,-832165417492.2472,-1408.0246493209636,835794939135.1526,3629521642.905419
p12,3,2277802893461435.0,2277802893461435.0,2277802893460023.0,-1412.0146269942663,3629521642.905419,2277806522981666.0
p12,4,-2276530401015882.0,2276530401015882.0,-2276530401017246.0,-1363.8974665103324,2277806522981666.0,1276121964419.959
p12,5,-1248851537512.1274,1248851537512.1274,-1248851539012.602,-1500.4745616466744,1276121964419.959,27270425407.357048
p12,6,408123996359246.8,408123996359246.8,408123996357788.7,-1458.1361839036672,27270425407.357048,408151266783196.06
p12,7,-408151266781479.6,408151266781479.6,-408151266782756.7,-1277.0395575157331,408151266783196.06,439.40139635453943
p13,1,804182128016.2109,804182128016.2109,804182126856.4517,-1159.7593152907752,570.2082575490879,804182127426.6599
p13,2,59936451280411.89,59936451280411.89,59936451279282.1,-1129.7875505020882,804182127426.6599,60740633406708.76
p13,3,2149077772674807.0,2149077772674807.0,2149077772673716.5,-1090.5415150359418,60740633406708.76,2209818406080425.2
p13,4,-2208593492748930.5,2208593492748930.5,-2208593492749969.2,-1038.8736663950608,2209818406080425.2,1224913330455.9385
p13,5,-1198835046806.1672,1198835046806.1672,-1198835047969.6868,-1163.519443421144,1224913330455.9385,26078282486.25161
p13,6,390570533256242.5,390570533256242.5,390570533255115.06,-1127.4318025650425,26078282486.25161,390596611537601.3
p13,7,-344354728724537.6,344354728724537.6,-344354728725613.4,-1075.7314317465898,390596611537601.3,46241882811987.95
p14,1,822487967820.3733,822487967820.3733,822487965854.1527,-1966.2205339334234,554.7647620865231,822487966408.9175
p14,2,-819430282519.3953,819430282519.3953,-819430284441.3867,-1921.9915026957515,822487966408.9175,3057681967.530704
p14,3,2255313953169144.5,2255313953169144.5,2255313953167191.0,-1953.2773928003987,3057681967.530704,2255317010849158.5
p14,4,-2254046004836343.0,2254046004836343.0,-2254046004838256.0,-1913.2483439911607,2255317010849158.5,1271006010902.701
p14,5,-1244095613963.218,1244095613963.218,-1244095616020.6094,-2057.391303872358,1271006010902.701,26910394882.09157
p14,6,404259772591627.25,404259772591627.25,404259772589611.8,-2015.4110481353096,26910394882.09157,404286682984493.9
p14,7,-404286682982334.06,404286682982334.06,-404286682984048.8,-1714.7536837644366,404286682984493.9,445.0525756386123
p15,1,837798259775.3783,837798259775.3783,837798258572.3042,-1203.074138267767,554.764762086523,837798259127.069
p15,2,-833951979457.468,833951979457.468,-833951980615.3347,-1157.8667339862977,837798259127.069,3846278511.734239
p15,3,2289068814249574.5,2289068814249574.5,2289068814248425.5,-1148.8862517433186,3846278511.734239,2289072660526937.0
p15,4,-2287794092629221.0,2287794092629221.0,-2287794092630318.0,-1097.0030488095697,2289072660526937.0,1278567896618.848
p15,5,-1251168078714.555,1251168078714.555,-1251168079941.41,-1226.8550667156887,1278567896618.848,27399816677.437904
p15,6,409982070959748.4,409982070959748.4,409982070958561.0,-1187.3499737836928,27399816677.437904,410009470775238.44
p15,7,-410009470773734.25,410009470773734.25,-410009470774798.6,-1064.3467210032122,410009470775238.44,439.7947981598822
p16,1,836097257722.3195,836097257722.3195,836097256437.1124,-1285.207044185101,554.764762086523,836097256991.8772
p16,2,-832311910047.8187,832311910047.8187,-832311911291.0325,-1243.2137214569732,836097256991.8772,3785345700.8447347
p16,3,2283099761963250.0,2283099761963250.0,2283099761962012.0,-1237.8333252075213,3785345700.8447347,2283103547307713.0
p16,4,-2281792010719847.0,2281792010719847.0,-2281792010721034.5,-1187.3271445844575,2283103547307713.0,1311536586678.3975
p16,5,-1284360335673.6958,1284360335673.6958,-1284360336982.2847,-1308.5888781369686,1311536586678.3975,27176249696.1128
p16,6,408722664338039.25,408722664338039.25,408722664336760.4,-1278.893564287203,27176249696.1128,408749840586456.5
p16,7,-408749840584837.8,408749840584837.8,-408749840585982.44,-1144.639434821474,408749840586456.5,474.08546310039173
p17,1,829165607041.5525,829165607041.5525,829165605351.3491,-1690.2034287458848,554.7647620865231,829165605906.1139
p17,2,-825720531938.128,825720531938.128,-825720533581.1678,-1643.0398208154147,829165605906.1139,3445072324.9460664
p17,3,2276910357850501.5,2276910357850501.5,2276910357848843.0,-1658.294428556693,3445072324.9460664,2276913802921168.0
p17,4,-2275639043417964.5,2275639043417964.5,-2275639043419578.5,-1614.202460108866,2276913802921168.0,1274759501589.5005
p17,5,-1247594797778.0933,1247594797778.0933,-1247594799535.0933,-1756.9998966432154,1274759501589.5005,27164702054.407345
p17,6,406365664946626.3,406365664946626.3,406365664944914.25,-1712.046331742019,27164702054.407345,406392829646968.7
p17,7,-406392829645051.2,406392829645051.2,-406392829646530.2,-1478.9771970287072,406392829646968.7,438.5258443737024
p18,1,828482416946.3646,828482416946.3646,828482415529.5492,-1416.8154383198114,554.764762086523,828482416084.314
p18,2,-825005486745.7639,825005486745.7639,-825005488124.6395,-1378.875623675529,828482416084.314,3476927959.6744556
p18,3,2280099791490026.0,2280099791490026.0,2280099791488645.5,-1380.6377202998642,3476927959.6744556,2280103268416605.0
p18,4,-2278826850047636.0,2278826850047636.0,-2278826850048968.0,-1331.9827998615722,2280103268416605.0,1276418367637.1636
p18,5,-1249226721200.3337,1249226721200.3337,-1249226722663.921,-1463.5872672664098,1276418367637.1636,27191644973.24275
p18,6,408595150227559.9,408595150227559.9,408595150226134.1,-1425.7305447823833,27191644973.24275,408622341871107.4
p18,7,-408622341869409.9,408622341869409.9,-408622341870661.5,-1251.627833495384,408622341871107.4,445.8997625701745
p19,1,837510762201.2297,837510762201.2297,837510761008.4166,-1192.8131384216326,554.764762086523,837510761563.1814
p19,2,-833663929131.9519,833663929131.9519,-833663930279.2244,-1147.2724842686957,837510761563.1814,3846831283.9570885
p19,3,2290062156585538.5,2290062156585538.5,2290062156584400.5,-1137.7674573522918,3846831283.9570885,2290066003415684.5
p19,4,-2288751975637742.5,2288751975637742.5,-2288751975638828.0,-1085.7445553369687,2290066003415684.5,1314027776856.4841
p19,5,-1286620830056.8396,1286620830056.8396,-1286620831272.1191,-1215.2796104718345,1314027776856.4841,27406945584.36492
p19,6,410120049287051.1,410120049287051.1,410120049285875.2,-1175.9152573318706,27406945584.36492,410147456231459.56
p19,7,-410147456229964.4,410147456229964.4,-410147456231019.7,-1055.3437405881612,410147456231459.56,439.8483046656481
p20,1,864306768090.7278,864306768090.7278,864306766617.6757,-1473.0520687976114,554.8511975036711,864306767172.5269
p20,2,-860974238556.3854,860974238556.3854,-860974240039.3553,-1482.9699428828362,864306767172.5269,3332527133.17148
p20,3,1097840222383954.2,1097840222383954.2,1097840222382487.1,-1467.0984835173292,3332527133.17148,1097843554909620.2
p20,4,-1097714638578411.0,1097714638578411.0,-1097714638579815.8,-1404.7519928483086,1097843554909620.2,128916329804.52017
p20,5,-128916327720.97707,128916327720.97707,-128916329206.74565,-1485.7685891934584,128916329804.52017,597.7745155257852
p20,6,167499433431096.75,167499433431096.75,167499433430368.0,-728.7514191886594,597.7745155257852,167499433430965.78
p20,7,2203549546983243.5,2203549546983243.5,2203549546981822.8,-1420.6895630003269,167499433430965.78,2371048980412788.5
p21,1,800755664500.4192,800755664500.4192,800755662649.571,-1850.8481631474626,605.8477212794259,800755663255.4188
p21,2,-798463587667.404,798463587667.404,-798463589560.8413,-1893.4372534311374,800755663255.4188,2292073694.5775266
p21,3,990711301395133.5,990711301395133.5,990711301393255.5,-1878.0458022589346,2292073694.5775266,990713593466950.1
p21,4,-990631931962683.0,990631931962683.0,-990631931964512.4,-1829.3490077091901,990713593466950.1,81661502437.80777
p21,5,-81661499929.37537,81661499929.37537,-81661501809.63232,-1880.2569524083099,81661502437.80777,628.1754456221819
p21,6,167461558206809.44,167461558206809.44,167461558204934.72,-1874.716994614846,628.1754456221819,167461558205562.9
p21,7,-167461558180261.84,167461558180261.84,-167461558182135.34,-1873.5014389050657,167461558205562.9,23427.573701829984
p22,1,801302965716.346,801302965716.346,801302964608.3053,-1108.0406713049165,570.2082575490879,801302965178.5135
p22,2,60279275789321.29,60279275789321.29,60279275788247.625,-1073.6613424106831,801302965178.5135,61080578753426.14
p22,3,2148438413305175.8,2148438413305175.8,2148438413304140.5,-1035.2890631672356,61080578753426.14,2209518992057566.8
p22,4,-2208259495063432.0,2208259495063432.0,-2208259495064414.5,-982.6049483329311,2209518992057566.8,1259496993152.3513
p22,5,-1233407081439.514,1233407081439.514,-1233407082545.6724,-1106.1584267914125,1259496993152.3513,26089910606.67885
p22,6,390816967230209.4,390816967230209.4,390816967229138.9,-1070.522094320231,26089910606.67885,390843057139745.56
p22,7,-340079685150394.75,340079685150394.75,-340079685151416.94,-1022.2176136967221,390843057139745.56,50763371988328.61
p23,1,804062285887.038,804062285887.038,804062284713.5614,-1173.4765773172066,570.2082575490879,804062285283.7697
p23,2,60060430200237.07,60060430200237.07,60060430199091.94,-1145.131890009287,804062285283.7697,60864492484375.71
p23,3,2147770708029317.0,2147770708029317.0,2147770708028211.8,-1105.1965195459352,60864492484375.71,2208635200512587.5
p23,4,-2207410453671792.8,2207410453671792.8,-2207410453672846.5,-1053.8104107059926,2208635200512587.5,1224746839741.006
p23,5,-1198672648609.5837,1198672648609.5837,-1198672649788.319,-1178.7352564101884,1224746839741.006,26074189952.68693
p23,6,390422130708061.8,390422130708061.8,390422130706919.3,-1142.5265549759588,26074189952.68693,390448204896872.0
p23,7,-345244386171971.2,345244386171971.2,-345244386173061.1,-1089.9106955593468,390448204896872.0,45203818723810.9
p24,1,836913164474.7095,836913164474.7095,836913163243.6404,-1231.0690896871238,554.764762086523,836913163798.4052
p24,2,-833096095009.419,833096095009.419,-833096096196.152,-1186.7330892372318,836913163798.4052,3817067602.253142
p24,3,2285508655935490.5,2285508655935490.5,2285508655934311.5,-1179.205564896752,3817067602.253142,2285512473001914.0
p24,4,-2284198845827972.5,2284198845827972.5,-2284198845829100.5,-1127.8023668002302,2285512473001914.0,1313627172813.4116
p24,5,-1286240657350.1377,1286240657350.1377,-1286240658608.5337,-1258.3959941284534,1313627172813.4116,27386514204.877823
p24,6,409808093235212.0,409808093235212.0,409808093233993.44,-1218.5818832666146,27386514204.877823,409835479748198.3
p24,7,-409835479746669.4,409835479746669.4,-409835479747758.25,-1088.8502934633207,409835479748198.3,440.0351124797497
p25,1,680857482945.3551,680857482945.3551,680857481895.8148,-1049.5402683248276,615.0414820768091,680857482510.8563
p25,2,138742671812696.38,138742671812696.38,138742671811647.23,-1049.1406530491188,680857482510.8563,139423529294158.1
p25,3,1883604272253262.5,1883604272253262.5,1883604272252286.0,-976.4834646144059,139423529294158.1,2023027801546444.0
p25,4,-2021890089644278.8,2021890089644278.8,-2021890089645202.8,-924.1168578054377,2023027801546444.0,1137711901241.1812
p25,5,-1114768586794.258,1114768586794.258,-1114768587839.652,-1045.393988648581,1137711901241.1812,22943313401.529022
p25,6,341627619324523.1,341627619324523.1,341627619323512.2,-1010.9312001967398,22943313401.529022,341650562636913.7
p25,7,-213199814073462.5,213199814073462.5,-213199814074415.16,-952.6571182108365,341650562636913.7,128450748562498.53
p26,1,799618600152.4556,799618600152.4556,799618598880.9109,-1271.5447364107551,570.2082575490879,799618599451.1191
p26,2,57227290144292.445,57227290144292.445,57227290143040.89,-1251.5550572591965,799618599451.1191,58026908742492.01
p26,3,2147356222175117.2,2147356222175117.2,2147356222173907.2,-1209.941968197184,58026908742492.01,2205383130916399.2
p26,4,-2204124193726302.0,2204124193726302.0,-2204124193727462.8,-1160.7235815038991,2205383130916399.2,1258937188936.5562
p26,5,-1232848811916.796,1232848811916.796,-1232848813204.2783,-1287.4823485595148,1258937188936.5562,26088375732.277737
p26,6,390414169904133.1,390414169904133.1,390414169902882.7,-1250.415434497107,26088375732.277737,390440258278614.94
p26,7,-351246115500886.5,351246115500886.5,-351246115502078.06,-1191.5596040396963,390440258278614.94,39194142776536.9
p27,1,839699898335.3027,839699898335.3027,839699897253.4197,-1081.8830306756734,554.7647620865231,839699897808.1844
p27,2,-835756168241.5693,835756168241.5693,-835756169274.5972,-1033.0278681335408,839699897808.1844,3943728533.587329
p27,3,2294796397083535.0,2294796397083535.0,2294796397082517.5,-1017.6298220342987,3943728533.587329,2294800340811051.0
p27,4,-2293520523428402.0,2293520523428402.0,-2293520523429366.0,-963.7671979251363,2294800340811051.0,1279817381685.0427
p27,5,-1252533929641.2053,1252533929641.2053,-1252533930722.3916,-1081.186365606639,1279817381685.0427,27283450962.651165
p27,6,410406898754047.9,410406898754047.9,410406898752995.7,-1052.1725522769088,27283450962.651165,410434182203958.3
p27,7,-410434182202555.3,410434182202555.3,-410434182203513.5,-958.1576126018899,410434182203958.3,444.81886395937585
p28,1,797692110783.9493,797692110783.9493,797692109301.0327,-1482.916624528067,570.2082575490879,797692109871.241
p28,2,56994046492067.086,56994046492067.086,56994046490586.81,-1480.2742268963216,797692109871.241,57791738600458.055
p28,3,2143862070383361.8,2143862070383361.8,2143862070381926.0,-1435.7308844670092,57791738600458.055,2201653808982384.0
p28,4,-2200395777501229.5,2200395777501229.5,-2200395777502620.5,-1390.9520099178249,2201653808982384.0,1258031479763.4863
p28,5,-1232008717128.4768,1232008717128.4768,-1232008718650.371,-1521.8942289462946,1258031479763.4863,26022761113.115135
p28,6,389569436491388.94,389569436491388.94,389569436489905.94,-1482.9778222735515,26022761113.115135,389595459251019.06
p28,7,-389595459249292.8,389595459249292.8,-389595459250586.25,-1293.4661233781799,389595459251019.06,432.78418987705754
p29,1,837992283336.1542,837992283336.1542,837992282159.4209,-1176.7333064016602,554.764762086523,837992282714.1857
p29,2,-834115457747.5608,834115457747.5608,-834115458878.6099,-1131.049114030643,837992282714.1857,3876823835.5757985
p29,3,2290099313964229.5,2290099313964229.5,2290099313963109.0,-1120.3613597073206,3876823835.5757985,2290103190786944.5
p29,4,-2288824400831180.0,2288824400831180.0,-2288824400832248.0,-1068.0466991346088,2290103190786944.5,1278789954696.3296
p29,5,-1251556755613.1194,1251556755613.1194,-1251556756800.3972,-1187.277743514111,1278789954696.3296,27233197895.932335
p29,6,409626489506811.06,409626489506811.06,409626489505653.1,-1157.9459227941354,27233197895.932335,409653722703549.06
p29,7,-409653722702063.2,409653722702063.2,-409653722703104.44,-1041.2600727485476,409653722703549.06,444.6030602313258
p30,1,839080931997.3607,839080931997.3607,839080930902.497,-1094.8637747815349,554.764762086523,839080931457.2617
p30,2,-835147066377.0208,835147066377.0208,-835147067423.7948,-1046.7740851652366,839080931457.2617,3933864033.4668636
p30,3,2291655323283885.5,2291655323283885.5,2291655323282854.0,-1031.6817509715565,3933864033.4668636,2291659257146887.5
p30,4,-2290345499771161.5,2290345499771161.5,-2290345499772139.5,-978.0643879121868,2291659257146887.5,1313757374748.108
p30,5,-1286479417941.7551,1286479417941.7551,-1286479419037.4487,-1095.6936777015258,1313757374748.108,27277955710.65914
p30,6,410259956082337.6,410259956082337.6,410259956081271.0,-1066.6365113535694,27277955710.65914,410287234036981.7
p30,7,-410287234035528.8,410287234035528.8,-410287234036506.5,-977.7122102654555,410287234036981.7,475.21129150851004
p31,1,834771606390.8651,834771606390.8651,834771605021.9811,-1368.8840513645077,554.764762086523,834771605576.7458
p31,2,-831062911259.1118,831062911259.1118,-831062912587.7924,-1328.6805162009196,834771605576.7458,3708692988.9534945
p31,3,2279304014722488.5,2279304014722488.5,2279304014721160.0,-1328.460014826656,3708692988.9534945,2279307723414149.0
p31,4,-2277995782122512.5,2277995782122512.5,-2277995782123792.0,-1279.315828534987,2279307723414149.0,1311941290356.975
p31,5,-1284809297280.8667,1284809297280.8667,-1284809298683.0469,-1402.1801241766832,1311941290356.975,27131991673.92814
p31,6,408145032847743.9,408145032847743.9,408145032846371.7,-1372.2040333225295,27131991673.92814,408172164838045.6
p31,7,-408172164836391.56,408172164836391.56,-408172164837601.2,-1209.5963546271246,408172164838045.6,444.4514977167814
p32,1,839961135070.3163,839961135070.3163,839961131944.6241,-3125.6920852413737,554.8511975036711,839961132499.4753
p32,2,-837923305528.915,837923305528.915,-837923308796.2893,-3267.37429677218,839961132499.4753,2037823703.186066
p32,3,1070927897257081.6,1070927897257081.6,1070927897253774.2,-3307.353354213713,2037823703.186066,1070929935077477.4
p32,4,-1070832397189793.0,1070832397189793.0,-1070832397193076.8,-3283.7932540836778,1070929935077477.4,97537884400.64276
p32,5,-97537880584.85117,97537880584.85117,-97537883807.61238,-3222.7612167170264,97537884400.64276,593.030377958682
p32,6,184197417096569.12,184197417096569.12,184197417093450.56,-3118.5652432182114,593.030377958682,184197417094043.6
p32,7,1161668081685880.5,1161668081685880.5,1161668081682672.0,-3208.593102752425,184197417094043.6,1345865498776715.5
p33,1,680423144164.6278,680423144164.6278,680423143068.2261,-1096.4017156073373,615.0414471742652,680423143683.2676
p33,2,138328063112738.66,138328063112738.66,138328063111636.31,-1102.3479453370437,680423143683.2676,139008486255319.58
p33,3,1882898765253717.0,1882898765253717.0,1882898765252690.5,-1026.5416746905016,139008486255319.58,2021907251508010.0
p33,4,-2020770007879393.2,2020770007879393.2,-2020770007880368.5,-975.1272712999049,2021907251508010.0,1137243627641.4211
p33,5,-1114317244720.3083,1114317244720.3083,-1114317245818.028,-1097.7198034976761,1137243627641.4211,22926381823.393158
p33,6,341372261176739.5,341372261176739.5,341372261175676.8,-1062.6923182893825,22926381823.393158,341395187557500.2
p33,7,-216791999228250.12,216791999228250.12,-216791999229251.8,-1001.6953699049213,341395187557500.2,124603188328248.36
p34,1,790795151872.7726,790795151872.7726,790795150636.3644,-1236.4081720978525,605.7832834438436,790795151242.1477
p34,2,99785131196235.52,99785131196235.52,99785131194971.17,-1264.345228454998,790795151242.1477,100575926346213.31
p34,3,2219299879915304.2,2219299879915304.2,2219299879914123.8,-1180.6143472622966,100575926346213.31,2319875806260337.0
p34,4,-2318629661971341.5,2318629661971341.5,-2318629661972471.5,-1130.1946692050828,2319875806260337.0,1246144287865.6348
p34,5,-1219160853180.6465,1219160853180.6465,-1219160854427.697,-1247.0504379639387,1246144287865.6348,26983433437.93774
p34,6,404938082423512.6,404938082423512.6,404938082422291.0,-1221.6455464566093,26983433437.93774,404965065855728.94
p34,7,-404965065854151.25,404965065854151.25,-404965065855235.9,-1084.6295688199662,404965065855728.94,493.07506531262277
p35,1,678962601254.5378,678962601254.5378,678962600174.3052,-1080.2326848202272,615.0414592179764,678962600789.3467
p35,2,138935511828820.5,138935511828820.5,138935511827736.52,-1083.9869264956435,678962600789.3467,139614474428525.86
p35,3,1881876388780533.8,1881876388780533.8,1881876388779524.5,-1009.2650287609622,139614474428525.86,2021490863208050.2
p35,4,-2020380084123835.0,2020380084123835.0,-2020380084124792.5,-957.517788181278,2021490863208050.2,1110779083257.715
p35,5,-1087847387311.2405,1087847387311.2405,-1087847388390.9036,-1079.6630887184483,1110779083257.715,22931694866.811546
