prefix,active_days,corr_frozwt_frdp,ratio_min,ratio_p10,ratio_median,ratio_p90,ratio_max,ratio_std
p22,852,0.9986099980205617,0.10899999999999999,0.14730301369614532,0.15490381648928242,0.16168660366694254,0.16600000000000004,0.005798848540459273
p23,849,0.9984720858987531,0.10900000000000001,0.14611370888485592,0.15400197471561836,0.1616941272311256,0.166,0.005873483943993052
p24,867,0.9992551944973246,0.1446628880533719,0.15487914701894154,0.1599210391114041,0.16499999999999998,0.16500000000000006,0.004045122876676507
p25,784,0.9987291411232125,0.14399999999999996,0.15406959727157185,0.16181611340168578,0.1713014995540508,0.17950000000000002,0.007215496333655271
p26,848,0.9979930901235935,0.109,0.14488735448845122,0.15388584692623986,0.1616825021043289,0.16600000000000004,0.006355412641193906
p27,864,0.9994009565871758,0.14466275202003467,0.15567188411825042,0.16075385699823502,0.16499999999999998,0.16500000000000004,0.0036480017205457443
p28,849,0.997597315227768,0.109,0.14333945055682376,0.1524427491651559,0.16167887625737523,0.166,0.007017754516398554
p29,865,0.9992929637177702,0.14625743199361277,0.15497783823248704,0.16011211839288053,0.16499999999999998,0.16500000000000004,0.003910591186581481
p30,864,0.9994237598062488,0.1449071972749341,0.15573151091649484,0.16075567592616238,0.16499999999999998,0.16500000000000006,0.0036059757175939964
p31,864,0.9987822653946606,0.13281387566288141,0.15301993682877912,0.15983254221438892,0.16499999999999998,0.16500000000000006,0.005170612646655866
p32,815,0.9983450030359508,0.12799999999999995,0.14946504649203743,0.15778087983324085,0.16499999999999998,0.16500000000000006,0.006553405920412265
p33,784,0.9987301250062446,0.14399999999999996,0.15406960225218697,0.16182039680864418,0.17131287161283934,0.17950000000000002,0.0072178977067353925
p34,836,0.9996917500740785,0.139,0.1487914548637208,0.1518591347726749,0.15767767589513143,0.15900000000000003,0.0033000138278036707
p35,783,0.9987363014958892,0.14399999999999996,0.15403735688224163,0.16179950391576237,0.17120861258360878,0.17950000000000002,0.0071847796996988515
p36,833,0.9996800737679467,0.139,0.14867761850710048,0.1519262456444678,0.1576956652508227,0.15900000000000003,0.0033588537415072247
p37,834,0.9996892079015336,0.139,0.14886648979200773,0.15187241060572404,0.15769363753214632,0.15900000000000003,0.0032876768623286714
p38,785,0.9987394722308616,0.14399999999999996,0.15407797961084094,0.16180348798092808,0.1712800075365511,0.17950000000000002,0.007206949719019057
p39,833,0.9996810122947252,0.139,0.14869901520310747,0.1520296563821852,0.15769437605760114,0.15900000000000003,0.003290619582735974
p40,787,0.9987494052765122,0.14399999999999996,0.15409539846410908,0.1618260495394083,0.17131117362866355,0.17950000000000002,0.007248548435447692
p41,833,0.999657806469846,0.139,0.14864138395881948,0.15181561570940488,0.15769936829055084,0.15900000000000003,0.0033817920841889195
p42,784,0.9987299330857349,0.14399999999999996,0.154069603399039,0.16181612099035414,0.17130323005486184,0.17950000000000002,0.007215948307851652
p43,834,0.9996299559653207,0.139,0.14821181894075347,0.15088892752251953,0.1576974770599362,0.15900000000000003,0.003678737586518416
