prefix,legacy_max_depth_mm,openwepp_max_depth_mm,max_depth_delta_mm_open_minus_legacy,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_depth_nonzero_days,openwepp_depth_nonzero_days,legacy_frozen_days_wat,openwepp_frozen_days_wat,frozen_days_delta_open_minus_legacy,open_days_above_200mm,open_full_wat_days_above_200mm,profile_depth_mm,margin_to_profile_mm,pinned_profile_bound,overlap_days,metric_basis
p31,428.1,492.3588252690888,64.25882526908879,55.93495129583514,107.1414519981782,0.7777971020705573,770,791,770,825,55,425,455,1800.0,1307.6411747309112,False,1229,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p32,403.3,574.1284577676169,170.82845776761684,57.18950668403849,89.43529937633367,0.951001762838338,784,804,784,813,29,470,479,1800.0,1225.871542232383,False,1263,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p33,400.0,423.3390418996242,23.339041899624192,48.11382110129739,95.28182496452091,0.7083327499748989,768,793,768,828,60,295,326,1800.0,1376.6609581003759,False,1227,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p34,420.0,483.31462107038476,63.31462107038476,51.142995357033094,101.31304434641608,0.7632893332632945,769,797,769,834,65,384,416,1800.0,1316.6853789296151,False,1228,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p35,400.0,423.99818858871066,23.99818858871066,40.8691057875269,87.91448562564655,0.7461900738270789,765,792,765,827,62,296,327,1800.0,1376.0018114112893,False,1227,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p36,406.3,485.8637657106107,79.56376571061071,50.25096324520715,101.57174439091759,0.7635554124345166,771,796,771,833,62,388,420,1800.0,1314.1362342893892,False,1228,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p37,420.0,485.64921072102214,65.64921072102214,54.194340342293415,105.62574642857741,0.7434384007021358,761,795,761,833,72,384,418,1800.0,1314.3507892789778,False,1227,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p38,400.0,422.9092792441492,22.909279244149218,43.74455218965686,89.88583933372848,0.7395058983205933,763,792,763,829,66,293,324,1800.0,1377.0907207558507,False,1225,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p39,405.4,485.8588761049794,80.45887610497942,55.79308754631216,107.45370463266097,0.7405894458239926,763,794,763,833,70,387,421,1800.0,1314.1411238950207,False,1226,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p40,400.0,421.074460797851,21.074460797850975,53.346758957695435,99.82156755355213,0.6849442204899596,760,790,760,829,69,291,324,1800.0,1378.9255392021491,False,1223,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p41,404.6,485.64038568010443,81.04038568010441,51.26110196887226,102.45442857098834,0.7619975202781727,768,796,768,833,65,388,420,1800.0,1314.3596143198956,False,1228,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p42,400.0,423.41333112616513,23.413331126165133,41.264081085626124,88.75008715001785,0.741125809313436,768,794,768,829,61,297,328,1800.0,1376.586668873835,False,1227,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p43,420.0,485.1573881388684,65.15738813886838,50.38364363155389,101.59086247230148,0.762335551398586,780,797,780,833,53,387,419,1800.0,1314.8426118611317,False,1229,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
