prefix,year,residual_mm,abs_residual_mm,storage_delta_mm,wat_flux_balance_mm,initial_storage_mm,final_storage_mm,rm_mm,irr_mm,interception_mm,q_mm,ep_mm,es_mm,er_mm,dp_mm,latqcc_mm,tile_mm,ledger
p20,2,-1.3500311979441904e-13,1.3500311979441904e-13,-12.20807406569287,-12.208074065693005,285.9443983804284,273.73632431473555,970.313542528088,0.0,87.40963838211141,882.9039041459766,12.208074065692891,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p20,3,-5.3290705182007514e-14,5.3290705182007514e-14,-3.5999161059140192,-3.5999161059140725,273.73632431473555,270.13640820882154,886.7514265720721,0.0,77.43923411289717,809.3121924591749,3.5999161059140725,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p20,4,1.4432899320127035e-14,1.4432899320127035e-14,-1.2633244468531757,-1.2633244468531613,270.13640820882154,268.87308376196836,1133.2983642331733,0.0,102.08406391576321,1031.21430031741,1.2633244468531613,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p20,5,1.1868284133242923e-13,1.1868284133242923e-13,-0.6300788889952855,-0.6300788889951668,268.87308376196836,268.2430048729731,810.4366666666667,0.0,95.48794334925576,714.9487233174109,0.6300788889952805,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p20,6,-3.957945082788683e-14,3.957945082788683e-14,-0.37760655858301106,-0.37760655858305064,268.2430048729731,267.86539831439006,750.7,0.0,91.2840639157632,659.4159360842368,0.37760655858305064,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p20,7,-2.0128343436454088e-13,2.0128343436454088e-13,-0.2520807257403135,-0.25208072574051477,267.86539831439006,267.61331758864975,718.6394111378684,0.0,95.89800008163374,622.7414110562347,0.2520807257404011,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p21,1,-0.9605372203603793,0.9605372203603793,-314.7697225272359,-315.7302597475963,605.8477212794257,291.07799875218984,1011.2,0.0,93.75848944941498,917.4415105505851,261.4729642774562,0.07006921610235034,0.0,39.81925508766188,14.367971166375728,0.0,independent_wat_flux_minus_additive_storage_delta
p21,2,-1.7053025658242404e-13,1.7053025658242404e-13,-14.553733860325053,-14.553733860325224,291.07799875218984,276.5242648918648,970.4152036220121,0.0,87.40963838211141,883.0055652399008,14.55373386032511,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p21,3,5.861977570020827e-14,5.861977570020827e-14,-5.4050867182190245,-5.405086718218966,276.5242648918648,271.11917817364576,886.6977026084501,0.0,77.43923411289717,809.258468495553,5.405086718218966,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p21,4,-1.1368683772161603e-13,1.1368683772161603e-13,-2.0702922245692434,-2.070292224569357,271.11917817364576,269.0488859490765,1133.250427102871,0.0,102.08406391576321,1031.1663631871081,2.0702922245691298,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p21,5,-2.1094237467877974e-15,2.1094237467877974e-15,-0.9514296276069558,-0.9514296276069579,269.0488859490765,268.09745632146956,810.4366666666667,0.0,95.48794334925576,714.9487233174109,0.9514296276070716,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p21,6,-3.5837999234900053e-13,3.5837999234900053e-13,-0.5441792611113669,-0.5441792611117253,268.09745632146956,267.5532770603582,750.7,0.0,91.2840639157632,659.4159360842369,0.5441792611116116,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p21,7,-2.09277040141842e-14,2.09277040141842e-14,-0.3523842937174777,-0.35238429371749863,267.5532770603582,267.2008927666407,718.6325953350363,0.0,95.89800008163374,622.7345952534026,0.35238429371738494,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p22,1,-32.17885372000799,32.17885372000799,-145.06035476371528,-177.23920848372327,570.2082575490878,425.1479027853725,1011.2,0.0,105.40370668500316,905.7962933149968,66.10558979801748,34.6460178006627,0.0,74.18367636125839,2.3039245237848274,0.0,independent_wat_flux_minus_additive_storage_delta
p22,2,-1.1368683772161603e-13,1.1368683772161603e-13,-28.713071358161415,-28.71307135816153,425.1479027853725,396.43483142721107,1004.7232076869275,0.0,54.95845243133979,949.7647552555877,28.713071326714037,3.144749188589112e-08,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p22,3,1.2434497875801753e-14,1.2434497875801753e-14,-10.530919276045097,-10.530919276045084,396.43483142721107,385.90391215116597,862.7783690331314,0.0,110.83686277676838,751.941506256363,10.530919276045084,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p22,4,-2.6645352591003757e-14,2.6645352591003757e-14,-6.4290076029861325,-6.429007602986159,385.90391215116597,379.47490454817984,1122.8617566132743,0.0,65.96807771344166,1056.8936788998326,6.429007602986159,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p22,5,-2.398081733190338e-14,2.398081733190338e-14,-7.743916787903515,-7.743916787903539,379.47490454817984,371.7309877602763,810.4366666666667,0.0,135.92984508358256,674.5068215830842,7.743916787903539,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p22,6,-1.318944953254686e-13,1.318944953254686e-13,-1.4384096432372075,-1.4384096432373394,371.7309877602763,370.2925781170391,750.7,0.0,54.43485064418687,696.2651493558133,1.4384096432372258,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
