prefix,year,residual_mm,abs_residual_mm,storage_delta_mm,wat_flux_balance_mm,initial_storage_mm,final_storage_mm,rm_mm,irr_mm,interception_mm,q_mm,ep_mm,es_mm,er_mm,dp_mm,latqcc_mm,tile_mm,ledger
p8,7,-2.3092638912203256e-14,2.3092638912203256e-14,-6.508546685151487,-6.50854668515151,369.95052217010397,363.4419754849525,745.4680396719049,0.0,87.48158350397877,657.9864561679261,6.50854668515151,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p9,1,-66.98558059501522,66.98558059501522,-116.2095847851997,-183.19516538021492,554.764762086523,438.5551773013233,1011.2,0.0,105.40370668500316,905.7962933149969,65.39225968113533,36.356907571770165,0.0,62.942164034031435,18.50383409327798,0.0,independent_wat_flux_minus_additive_storage_delta
p9,2,-1.6697754290362354e-13,1.6697754290362354e-13,-27.09948720116097,-27.099487201161136,438.5551773013232,411.45569010016226,998.899277832055,0.0,54.95845243133979,943.9408254007153,27.099487075625028,1.2553599496992049e-07,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p9,3,-1.7408297026122455e-13,1.7408297026122455e-13,-9.91586851000892,-9.915868510009094,411.45569010016226,401.53982159015334,867.8315547842599,0.0,110.83686277676838,756.9946920074916,9.91586851000898,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p9,4,-9.059419880941277e-14,9.059419880941277e-14,-6.3458606261812065,-6.345860626181297,401.5398215901533,395.1939609639721,1123.6325007170185,0.0,65.96807771344166,1057.6644230035768,6.345860626181297,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p9,5,-5.861977570020827e-14,5.861977570020827e-14,-7.670652834601697,-7.670652834601755,395.193960963972,387.5233081293703,810.4366666666667,0.0,135.92984508358256,674.5068215830842,7.670652834601755,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p9,6,-1.6475709685437323e-13,1.6475709685437323e-13,-1.4283110719027263,-1.428311071902891,387.5233081293704,386.09499705746765,750.7,0.0,54.43485064418687,696.2651493558133,1.4283110719027774,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p9,7,-9.85878045867139e-14,9.85878045867139e-14,-6.503593094372036,-6.5035930943721345,386.0949970574676,379.59140396309556,747.9000000000001,0.0,87.48158350397877,660.4184164960213,6.5035930943721345,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p10,1,-72.92703121413498,72.92703121413498,-116.2005597374548,-189.12759095158978,554.7647620865231,438.5642023490683,1011.2,0.0,105.40370668500316,905.7962933149969,65.39935792729142,36.35531999660092,0.0,80.72891350368363,6.643999524013811,0.0,independent_wat_flux_minus_additive_storage_delta
p10,2,-2.7355895326763857e-13,2.7355895326763857e-13,-27.096571169938898,-27.09657116993917,438.56420234906824,411.46763117912934,1008.1992945227834,0.0,54.95845243133979,953.2408420914437,27.096571044424447,1.255146094159963e-07,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p10,3,-7.105427357601002e-15,7.105427357601002e-15,-9.91528265480656,-9.915282654806568,411.4676311791292,401.55234852432267,859.7943062813584,0.0,110.83686277676838,748.95744350459,9.915282654806681,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p10,4,-1.9539925233402755e-14,1.9539925233402755e-14,-6.3454728986378655,-6.345472898637885,401.5523485243226,395.20687562568475,1122.3697325291914,0.0,65.96807771344166,1056.4016548157497,6.345472898637885,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p10,5,-1.687538997430238e-14,1.687538997430238e-14,-7.671198105958297,-7.671198105958314,395.2068756256848,387.5356775197265,810.4366666666667,0.0,135.92984508358256,674.5068215830842,7.671198105958314,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p10,6,-1.5232259897857148e-13,1.5232259897857148e-13,-1.4281158956490572,-1.4281158956492095,387.5356775197265,386.10756162407745,750.7,0.0,54.43485064418687,696.2651493558133,1.4281158956490958,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p10,7,-8.881784197001252e-14,8.881784197001252e-14,-6.503312742257378,-6.503312742257467,386.1075616240774,379.60424888182,746.0417674195129,0.0,87.48158350397877,658.5601839155341,6.503312742257467,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p11,1,-0.9035030909881527,0.9035030909881527,-80.35393961379958,-81.25744270478774,554.8772486906744,474.5233090768748,1011.2,0.0,192.88904894713863,818.3109510528614,64.81026820710818,2.0502056751551114,0.0,14.39696882252444,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p11,2,-0.005997650640517493,0.005997650640517493,-1.3650653615792976,-1.371063012219815,474.5173121348102,473.1522467732309,968.731245521288,0.0,218.41730796359093,750.3139375576972,1.3710623005259444,0.0,0.0,7.116937570233555e-07,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p11,3,-0.002063240587952486,0.002063240587952486,-0.48702171564190166,-0.48908495622985415,473.15018423371436,472.66316251807245,887.6338555954155,0.0,184.00099946526586,703.6328561301498,0.4890842551584654,0.0,0.0,7.010712751072864e-07,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p11,4,-0.000804947805248063,0.000804947805248063,-0.18961856281583778,-0.19042351062108584,472.6623583097017,472.47273974688585,1133.9982322166297,0.0,236.9648178539488,897.0334143626808,0.19042277816249703,0.0,0.0,7.3245870248669e-07,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p11,5,-0.00047226059567444245,0.00047226059567444245,-0.12241926578309403,-0.12289152637876848,472.47226808033383,472.34984881455074,810.4366666666667,0.0,230.69097844059849,579.7456882260683,0.12289091805887503,0.0,0.0,6.083198934453879e-07,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p11,6,-0.0003044389057423047,0.0003044389057423047,-0.07005192996291498,-0.07035636886865729,472.3495449438574,472.27949301389447,750.7,0.0,224.2343329635408,526.4656670364593,0.07035580327457328,0.0,0.0,5.655940840098203e-07,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p11,7,-6.701985366189267e-07,6.701985366189267e-07,-0.04930180887890856,-0.04930247907744518,472.279493016513,472.2301912076341,715.9465897300581,0.0,223.09911604305506,492.84747368700306,0.04930180887888996,0.0,0.0,6.701985552174754e-07,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
