prefix,simulation_year,julian,hour,legacy_frost_depth_mm,open_frdp_before_mm,open_frdp_after_mm,depth_delta_mm,legacy_snow_depth_mm,snow_depth_m,legacy_residue_depth_mm,residue_depth_m,hourly_air_temp_c,surface_temp_c,open_surface_resistance_m2_c_w,signed_surface_flux_w_m2,lower_front_heat_w_m2,signed_net_flux_w_m2,frzflg,open_hourly_advance_mm,legacy_hourly_delta_mm,front_layer,front_fine,front_upper_m,front_lower_m,near_boundary_mm,front_slsic_m,front_slsw_theta,soilf_sum_m,slsic_sum_m
p20,5,78,11,374.2,574.577183977,574.561924262,200.3619242620001,81.1,0.0586,23.0,0.02302585093,3.276794403553,0.0,1.077750136083,0.0,0.234300208869,0.234300208869,4,-0.0152597149999564,0.0,3,9,0.56,0.58,5.438075737999926,0.002402717503,0.165,0.083600207179,0.083762717975
p20,5,78,12,374.2,574.561924262,574.546668576,200.346668576,79.1,0.0586,23.0,0.02302585093,5.299481865732,0.0,1.077742869552,0.0,0.234238349375,0.234238349375,4,-0.0152556860000458,0.0,3,9,0.56,0.58,5.453331423999952,0.002400200315,0.165,0.083600207179,0.083760200787
p20,5,78,13,374.2,574.546668576,574.531416918,200.331416918,76.6,0.0586,23.0,0.02302585093,6.851040878722,0.0,1.07773560494,0.0,0.234176506407,0.234176506407,4,-0.015251658000011,0.0,3,9,0.56,0.58,5.468583081999934,0.002397683791,0.165,0.083600207179,0.083757684263
p20,5,78,14,374.2,574.531416918,574.516169286,200.31616928600005,73.8,0.0586,23.0,0.02302585093,7.691763969646,0.0,1.077728342245,0.0,0.234114679961,0.234114679961,4,-0.015247631999955,0.0,3,9,0.56,0.58,5.483830713999938,0.002395167932,0.165,0.083600207179,0.083755168404
p20,5,78,15,374.2,574.516169286,574.50092568,200.30092568000003,71.0,0.0586,23.0,0.02302585093,7.773472179003,0.0,1.077721081468,0.0,0.234052870031,0.234052870031,4,-0.0152436060000127,0.0,3,9,0.56,0.58,5.499074319999964,0.002392652737,0.165,0.083600207179,0.083752653209
p2,5,78,4,95.3,608.447138375,608.623396484,513.323396484,83.1,0.0591,23.0,0.02302585093,-2.136572222984,-2.136572222984,1.096648116817,-1.948275103217,0.202704113548,-1.745570989669,1,0.1762581089999457,0.0999999999999943,4,1,0.6,0.62,8.623396484000011,0.000917750133,0.106425598605,0.089634130529,0.089666569542
p2,5,78,5,95.4,608.623396484,608.850027652,513.450027652,83.1,0.0591,23.0,0.02302585093,-2.684278552597,-2.684278552597,1.09673204925,-2.447524492817,0.203084260396,-2.244440232422,1,0.2266311680000399,0.1000000000000085,4,1,0.6,0.62,8.850027652000048,0.000941869491,0.106425598605,0.089634130529,0.0896906889
p2,5,78,6,95.5,608.850027652,609.111693024,513.611693024,83.1,0.0591,23.0,0.02302585093,-3.065639447593,-3.065639447593,1.096839968854,-2.794974230194,0.203573003995,-2.591401226199,1,0.2616653720000386,0.0999999999999943,4,1,0.6,0.62,9.111693024000056,0.000969717384,0.106425598605,0.089634130529,0.089718536794
p2,5,78,7,95.6,609.111693024,609.39187789,513.79187789,83.1,0.0591,23.0,0.02302585093,-3.267798389408,-3.267798389408,1.096964571411,-2.978946152475,0.204137236614,-2.774808915861,1,0.2801848660000132,0.0999999999999943,4,1,0.6,0.62,9.391877890000067,0.000999536226,0.106425598605,0.089634130529,0.089748355636
p2,5,78,8,95.7,609.39187789,609.6659238899999,513.9659238899999,83.1,0.0591,23.0,0.02302585093,-3.20215918359,-3.20215918359,1.097097992776,-2.918754026235,0.204741326628,-2.714012699607,1,0.2740459999998847,0.1000000000000085,4,1,0.6,0.62,9.665923889999984,0.001028701736,0.106425598605,0.089634130529,0.089777521145
p2,5,78,9,95.7,609.6659238899999,609.8470544859999,514.1470544859999,83.1,0.0591,23.0,0.02302585093,-2.193532816716,-2.193532816716,1.097228490872,-1.999157727826,0.205332104505,-1.793825623321,1,0.1811305960000027,0.0,4,1,0.6,0.62,9.847054485999983,0.001047978668,0.106425598605,0.089634130529,0.089796798077
p2,5,78,10,95.7,609.8470544859999,609.8523344070001,514.152334407,83.1,0.0591,23.0,0.02302585093,-0.283120600791,-0.283120600791,1.097314743536,-0.258012208857,0.205722537383,-0.052289671474,1,0.0052799210001239,0.0,4,1,0.6,0.62,9.852334407000065,0.001048540587,0.106425598605,0.089634130529,0.089797359996
p2,5,78,11,95.7,609.8523344070001,609.831560534,514.131560534,82.3,0.0591,23.0,0.02302585093,2.141371831475,0.0,1.097317257785,0.0,0.205733917931,0.205733917931,4,-0.0207738730000528,0.0,4,1,0.6,0.62,9.831560534000028,0.001046329715,0.106425598605,0.089634130529,0.089795149124
p2,5,78,12,95.7,609.831560534,609.810791181,514.110791181,80.5,0.0591,23.0,0.02302585093,4.587909638271,0.0,1.097307365464,0.0,0.20568914096,0.20568914096,4,-0.0207693529999914,0.0,4,1,0.6,0.62,9.810791181000036,0.001044119324,0.106425598605,0.089634130529,0.089792938734
p2,5,78,13,95.7,609.810791181,609.7900263490001,514.090026349,78.0,0.0591,23.0,0.02302585093,6.559984013579,0.0,1.097297475296,0.0,0.2056443733,0.2056443733,4,-0.0207648319999407,0.0,4,1,0.6,0.62,9.790026349000058,0.001041909415,0.106425598605,0.089634130529,0.089790728824
p2,5,78,14,95.7,609.7900263490001,609.769266037,514.0692660369999,75.2,0.0591,23.0,0.02302585093,7.657375393756,0.0,1.097287587281,0.0,0.205599614949,0.205599614949,4,-0.0207603120001067,0.0,4,1,0.6,0.62,9.769266037000012,0.001039699986,0.106425598605,0.089634130529,0.089788519395
p2,5,78,15,95.7,609.769266037,609.7485102420001,514.048510242,72.4,0.0591,23.0,0.02302585093,7.776562667074,0.0,1.097277701418,0.0,0.205554865906,0.205554865906,4,-0.0207557949998999,0.0,4,1,0.6,0.62,9.748510242000076,0.001037491038,0.106425598605,0.089634130529,0.089786310447
p2,5,78,16,95.7,609.7485102420001,609.727758966,514.027758966,69.8,0.0591,23.0,0.02302585093,7.590250026029,0.0,1.097267817706,0.0,0.205510126168,0.205510126168,4,-0.0207512760000554,0.0,4,1,0.6,0.62,9.727758965999978,0.001035282571,0.106425598605,0.089634130529,0.08978410198
