prefix,legacy_max_depth_mm,openwepp_max_depth_mm,max_depth_delta_mm_open_minus_legacy,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_depth_nonzero_days,openwepp_depth_nonzero_days,legacy_frozen_days_wat,openwepp_frozen_days_wat,frozen_days_delta_open_minus_legacy,open_days_above_200mm,profile_depth_mm,margin_to_profile_mm,pinned_profile_bound,overlap_days
p18,440.0,1793.5403011940925,1353.5403011940925,716.275776880402,914.4324891879642,-0.16165014178445317,880,863,759,863,104,814,1800.0,6.459698805907465,False,1164
p19,420.0,1793.534515452334,1373.534515452334,717.3186071043415,916.23326449986,-0.17187837590731103,882,866,755,866,111,813,1800.0,6.4654845476659375,False,1161
p20,374.3,1791.5561569490953,1417.2561569490954,483.9730475066649,687.8579176769287,-0.009154496381215035,797,644,779,644,-135,603,1800.0,8.443843050904661,False,1198
p21,387.0,1793.1786617114049,1406.1786617114049,502.3072313689643,721.6257665128364,-0.03540019802947803,800,655,777,655,-122,606,1800.0,6.821338288595143,False,1194
p22,426.1,1793.6556967341917,1367.5556967341918,720.4438643297332,920.8738825869357,-0.16127647879141835,890,853,759,853,94,796,1800.0,6.344303265808321,False,1161
p23,440.0,1793.6608167696872,1353.6608167696872,720.0085014955083,919.8912779527102,-0.15900046223729816,892,852,764,852,88,796,1800.0,6.339183230312756,False,1163
p24,420.0,1793.534515452334,1373.534515452334,717.8756865284385,916.7764059910756,-0.17413378628390597,882,867,755,867,112,814,1800.0,6.4654845476659375,False,1162
p25,400.0,1794.3510359358638,1394.3510359358638,785.0126277438641,977.192645758898,-0.2727500563183146,897,918,755,918,163,867,1800.0,5.64896406413618,False,1161
p26,440.0,1793.649969637327,1353.649969637327,718.0847446450189,917.5017738194427,-0.15979618329184897,894,849,764,849,85,793,1800.0,6.3500303626728964,False,1163
p27,420.0,1793.5429723443071,1373.5429723443071,718.3992327164999,917.6427557132796,-0.1707001718694241,875,865,754,865,111,815,1800.0,6.457027655692855,False,1164
p28,440.0,1793.649969637327,1353.649969637327,717.3962804808638,916.3728767544114,-0.15938661053002276,897,852,768,852,84,794,1800.0,6.3500303626728964,False,1162
p29,420.0,1793.5488286479313,1373.5488286479313,718.4790630556763,917.1944684870824,-0.16683744277888057,873,865,751,865,114,815,1800.0,6.451171352068741,False,1164
p30,420.0,1793.534515452334,1373.534515452334,717.2508692255797,916.6189340837037,-0.16728276227031671,872,865,754,865,111,815,1800.0,6.4654845476659375,False,1164
p31,440.0,1793.534515452334,1353.534515452334,716.2040157811625,914.604769275993,-0.16785428113471296,887,864,763,864,101,814,1800.0,6.4654845476659375,False,1163
p32,403.3,1791.591341152229,1388.291341152229,481.1666985189056,683.9631764985944,-0.01910926962748157,795,641,781,641,-140,599,1800.0,8.408658847770994,False,1197
p33,400.0,1794.350385043475,1394.350385043475,788.5791021304814,982.5137200020034,-0.30843972585040713,898,917,756,917,161,866,1800.0,5.649614956525056,False,1161
p34,420.0,1794.4515924263676,1374.4515924263676,765.8116035897484,962.5904059153165,-0.22174748146353185,884,889,761,889,128,836,1800.0,5.548407573632403,False,1162
p35,400.0,1794.3594649253146,1394.3594649253146,785.573404237232,977.4357730700366,-0.26731469090855103,895,918,755,918,163,867,1800.0,5.640535074685431,False,1161
p36,420.0,1794.4406774240497,1374.4406774240497,764.9157686454182,961.3182563876954,-0.22690152095258284,889,886,764,886,122,836,1800.0,5.559322575950318,False,1162
p37,420.0,1794.4544220790258,1374.4544220790258,766.0679204454923,963.2959983825956,-0.18895050276843217,882,887,755,887,132,835,1800.0,5.54557792097421,False,1161
p38,400.0,1794.3547974804426,1394.3547974804426,789.4535304877103,980.6392110273651,-0.2741614907410612,894,918,750,918,168,867,1800.0,5.645202519557415,False,1159
p39,420.0,1794.4421726260377,1374.4421726260377,767.719115933704,964.7481171156132,-0.19018074967922605,887,886,756,886,130,836,1800.0,5.557827373962255,False,1160
p40,400.0,1794.354428302036,1394.354428302036,791.534293454651,985.5841374488976,-0.28305919711371486,893,917,746,917,171,866,1800.0,5.645571697963987,False,1157
p41,420.0,1794.4406774240497,1374.4406774240497,768.3994576074731,964.4599399994596,-0.23106991953934466,886,888,760,888,128,837,1800.0,5.559322575950318,False,1162
p42,400.0,1794.3504507330742,1394.3504507330742,784.3650170049611,976.6845880776435,-0.27144620955451465,897,918,756,918,162,867,1800.0,5.64954926692576,False,1161
p43,420.0,1794.4462743197337,1374.4462743197337,758.5403791657923,955.8517050398981,-0.2209194074361037,897,885,770,885,115,830,1800.0,5.553725680266325,False,1163
