prefix,year,inputs,outputs,initial_soil_water_total,final_soil_water_total,delta_soil_water_total,residual,abs_residual
p18,4,1123.6755397047932,1057.540915068127,513.3563022409006,654.5037289211465,141.14742668024587,-75.01280204357977,75.01280204357977
p18,5,810.4366666666667,910.152901523046,654.5037289211465,572.1267058702969,-82.37702305084963,-17.339211805529658,17.339211805529658
p18,6,750.7,765.1248775073241,572.1267058702969,523.3037891298143,-48.82291674048258,34.398039233158556,34.398039233158556
p18,7,744.9578408421023,770.1110001396995,523.3037891298143,528.0827913450728,4.779002215258515,-29.932161512855714,29.932161512855714
p19,2,1007.4044861956147,910.0288243863632,635.7397103092778,674.8441478721443,39.10443756286645,58.27122424638503,58.27122424638503
p19,3,860.4741326370527,976.065823283092,674.8441478721443,559.2524572261179,-115.59169064602634,-1.2960299500264227e-11,1.2960299500264227e-11
p19,4,1122.484714500666,1076.2724716536109,559.2524572261179,680.8876186325915,121.63516140647357,-75.42291855941835,75.42291855941835
p19,5,810.4366666666667,907.8862970000761,680.8876186325915,602.4318623122608,-78.45575632033069,-18.993874013078653,18.993874013078653
p19,6,750.7,793.3612002282548,602.4318623122608,523.3083865971385,-79.12347571512237,36.46227548686761,36.46227548686761
p19,7,745.9518689741706,764.1130697594638,523.3083865971385,535.0558634250573,11.747476827918831,-29.908677613212035,29.908677613212035
p20,2,970.313542528088,982.0806589517492,450.47513945722994,380.43679878717006,-70.03834067005988,58.27122424639862,58.27122424639862
p20,3,886.7514265720721,955.5837422638692,380.43679878717006,311.604483095373,-68.83231569179708,-5.684341886080802e-14,5.684341886080802e-14
p20,4,1133.2983642331733,985.315247239884,311.604483095373,532.4981643575138,220.89368126214083,-72.91056426885154,72.91056426885154
p20,5,810.4366666666667,926.5894172177169,532.4981643575138,434.8983694285539,-97.59979492895991,-18.55295562209028,18.55295562209028
p20,6,750.7,805.9981595045954,434.8983694285539,346.091389788971,-88.80697963958289,33.50882013498756,33.50882013498756
p20,7,718.6394111378684,720.4484606239764,346.091389788971,368.63169946642927,22.540309677458254,-24.349359163566305,24.349359163566305
p21,2,970.4152036220121,988.2299204905094,444.03473881103065,378.9290666144065,-65.10567219662414,47.29095532812687,47.29095532812687
p21,3,886.6977026084501,954.4826967377152,378.9290666144065,311.1440724851415,-67.78499412926499,-1.1368683772161603e-13,1.1368683772161603e-13
p21,4,1133.250427102871,985.9008249324106,311.1440724851415,520.990289779101,209.84621729395946,-62.496615123499,62.496615123499
p21,5,810.4366666666667,926.1044695909353,520.990289779101,423.5589364264687,-97.4313533526323,-18.236449571636285,18.236449571636285
p21,6,750.7,806.1422766082775,423.5589364264687,335.2670000270079,-88.29193639946078,32.84965979118334,32.84965979118334
p21,7,718.6325953350363,721.1379107803994,335.2670000270079,356.5964857603435,21.329485733335616,-23.834801178698683,23.834801178698683
p22,2,1004.7232076869275,903.0472978531391,664.8194647268948,713.7068448842117,48.8873801573169,52.78852967647151,52.78852967647151
p22,3,862.7783690331314,974.904743153792,713.7068448842117,601.580470763565,-112.12637412064669,-1.3869794202037156e-11,1.3869794202037156e-11
p22,4,1122.8617566132743,1084.2374481022152,601.580470763565,710.3601535130341,108.77968274946909,-70.15537423840999,70.15537423840999
p22,5,810.4366666666667,880.7171228967725,710.3601535130341,658.2700956254637,-52.090057887570424,-18.19039834253533,18.19039834253533
p22,6,750.7,795.4679884493379,658.2700956254637,578.0667580364399,-80.20333758902382,35.43534913968597,35.43534913968597
p22,7,745.6245838619668,794.5374194132087,578.0667580364399,558.8565350404275,-19.210222996012362,-29.702612555229507,29.702612555229507
p23,2,1001.6771315402674,905.7554799116417,658.2878929991124,701.4239039692847,43.136010970172265,52.78564065845342,52.78564065845342
p23,3,865.4027022386722,977.2641824404692,701.4239039692847,589.5624237675014,-111.86148020178325,-1.375610736431554e-11,1.375610736431554e-11
p23,4,1123.2834995543935,1081.4148918678122,589.5624237675014,701.4319390957464,111.86951532824503,-70.00090764166373,70.00090764166373
p23,5,810.4366666666667,889.7944444735684,701.4319390957464,639.6808993697445,-61.75103972600198,-17.60673808089973,17.60673808089973
p23,6,750.7,799.4947414222644,639.6808993697445,556.1880997311383,-83.49279963860613,34.69805821634179,34.69805821634179
p23,7,745.2498239972813,794.3502588479955,556.1880997311383,536.8055439512286,-19.382555779909694,-29.717879070804543,29.717879070804543
p24,2,1007.1251621355418,912.6015737440287,631.9836900025755,668.2360541477036,36.252364145128126,58.27122424638503,58.27122424638503
p24,3,860.7130665643108,977.9591679675675,668.2360541477036,550.9899527444609,-117.24610140324273,-1.3983481039758772e-11,1.3983481039758772e-11
p24,4,1122.5251046334806,1072.7208832842734,550.9899527444609,676.2018087531187,125.21185600865783,-75.40763465945065,75.40763465945065
p24,5,810.4366666666667,911.4234778115864,676.2018087531187,594.1379304991477,-82.06387825397098,-18.922932890948687,18.922932890948687
p24,6,750.7,785.1545365654847,594.1379304991477,523.3075261392449,-70.83040435990279,36.37586779441813,36.37586779441813
p24,7,745.9202998259767,765.4744012898796,523.3075261392449,533.6719772890983,10.36445114985338,-29.91855261375622,29.91855261375622
p25,2,1001.6776574951473,891.5550401129298,714.3775282384441,798.3026501391934,83.92512190074922,26.19749548146831,26.19749548146831
p25,3,865.3866081326954,969.630495713362,798.3026501391934,694.0587625585275,-104.24388758066584,-7.958078640513122e-13,7.958078640513122e-13
p25,4,1123.2990677054904,1100.0871543887865,694.0587625585275,762.5794621187597,68.52069956023217,-45.30878624352829,45.30878624352829
p25,5,810.4366666666667,845.7071028043054,762.5794621187597,743.7511241144485,-18.82833800431115,-16.442098133327477,16.442098133327477
p25,6,750.7,762.1680782255993,743.7511241144485,699.356042977244,-44.395081137204556,32.927002911605314,32.927002911605314
p25,7,745.2994351213671,789.0407693707128,699.356042977244,684.0577513135496,-15.298291663694386,-28.44304258565137,28.44304258565137
p26,2,1000.6753975105185,909.3479182961557,649.3172519477429,687.8566622529894,38.53941030524652,52.78806890911619,52.78806890911619
p26,3,866.245487839966,981.1426895242953,687.8566622529894,572.9594605686736,-114.89720168431575,-1.3528733688872308e-11,1.3528733688872308e-11
p26,4,1123.4424479828488,1076.868349202255,572.9594605686736,689.5405328084873,116.5810722398137,-70.00697345922003,70.00697345922003
p26,5,810.4366666666666,901.1154697562945,689.5405328084873,616.2215128367554,-73.3190199717319,-17.359783117895972,17.359783117895972
p26,6,750.7,800.7576878792914,616.2215128367554,531.7071723191574,-84.51434051759804,34.45665263830665,34.45665263830665
p26,7,745.1940120418822,778.2646550664272,531.7071723191574,528.3124199143065,-3.3947524048509194,-29.675890619694087,29.675890619694087
p27,2,1003.5338721813133,901.0105284642693,647.7525165899023,692.005589552401,44.25307296249878,58.27027075454521,58.27027075454521
p27,3,863.8034860391122,972.6864259040073,692.005589552401,583.1226496875192,-108.88293986488179,-1.3301360013429075e-11,1.3301360013429075e-11
p27,4,1123.0259751129079,1085.2093201141324,583.1226496875192,696.1352334815676,113.0125837940484,-75.19592879527295,75.19592879527295
p27,5,810.4366666666667,891.6523743847949,696.1352334815676,633.1238113195662,-63.011422162001395,-18.20428555612682,18.20428555612682
p27,6,750.7,804.5678310374606,633.1238113195662,543.8097500880341,-89.31406123153215,35.44623019407163,35.44623019407163
p27,7,745.475341625654,779.7852935557203,543.8097500880341,539.3733575770668,-4.436392510967266,-29.873559419099024,29.873559419099024
p28,2,1003.4910277548552,916.7523750885139,626.5102168167457,660.460365635231,33.95014881848533,52.788503847855964,52.788503847855964
p28,3,863.8277605554665,984.7341236151116,660.460365635231,539.5540025755997,-120.9063630596313,-1.375610736431554e-11,1.375610736431554e-11
p28,4,1123.0445450230116,1064.918465650452,539.5540025755997,667.7725006309471,128.21849805534737,-70.09241868278775,70.09241868278775
p28,5,810.4366666666667,914.2965798520712,667.7725006309471,581.8470030995587,-85.92549753138837,-17.934415654016107,17.934415654016107
p28,6,750.7,787.5105642015941,581.8470030995587,509.91993870472874,-71.92706439482998,35.116500193235936,35.116500193235936
p28,7,745.5108961370886,763.0846583120435,509.91993870472874,521.9934323523263,12.073493647597559,-29.647255822552495,29.647255822552495
p29,2,1003.1822990102655,905.7385079377914,637.3883690820612,676.5643858458757,39.17601676381446,58.26777430865968,58.26777430865968
p29,3,864.1145883349542,986.3709361553355,676.5643858458757,554.308038025507,-122.25634782036866,-1.261923898709938e-11,1.261923898709938e-11
p29,4,1123.0664459881136,1069.8058617978115,554.308038025507,682.7334741899914,128.42543616448438,-75.16485197418228,75.16485197418228
p29,5,810.4366666666667,906.387003144557,682.7334741899914,604.9396943244508,-77.79377986554061,-18.15655661234962,18.15655661234962
p29,6,750.7,796.964472219037,604.9396943244508,523.3067558065628,-81.63293851788796,35.36846629885099,35.36846629885099
p29,7,745.4062342041427,763.1571401467827,523.3067558065628,535.4500663321537,12.143310525590891,-29.894216468230866,29.894216468230866
p30,2,1001.082678243355,900.8921818806193,646.2911974103229,688.2104695266731,41.91927211635027,58.27122424638537,58.27122424638537
p30,3,865.8959731542756,973.6401185414621,688.2104695266731,580.4663241395007,-107.74414538717247,-1.4097167877480388e-11,1.4097167877480388e-11
p30,4,1123.3846819357027,1084.76550751172,580.4663241395007,694.2764537916336,113.8101296521329,-75.19095522815019,75.19095522815019
p30,5,810.4366666666667,894.1408263146293,694.2764537916336,628.1973907493076,-66.07906304232597,-17.6250966056366,17.6250966056366
p30,6,750.7,804.9638208797885,628.1973907493076,539.0722177917122,-89.1251729575954,34.86135207780694,34.86135207780694
p30,7,745.2409003459788,775.4217688354507,539.0722177917122,538.829595427798,-0.24262236391416536,-29.938246125557725,29.938246125557725
p31,2,1004.1313315041966,922.167219378878,615.6070141416408,639.2999020205747,23.692887878933902,58.27122424638469,58.27122424638469
p31,3,863.2782032634773,982.5867359967226,639.2999020205747,519.9913692873424,-119.30853273323225,-1.3073986337985843e-11,1.3073986337985843e-11
p31,4,1122.9537985656593,1058.3088569163476,519.9913692873424,659.9188982659706,139.92752897862817,-75.28258732931647,75.28258732931647
p31,5,810.4366666666667,911.1051445083322,659.9188982659706,577.5045798132896,-82.41431845268096,-18.254159388984476,18.254159388984476
p31,6,750.7,769.3169679540922,577.5045798132896,523.3055648968767,-54.19901491641292,35.58204696232076,35.58204696232076
p31,7,745.5828559990232,769.4428140929394,523.3055648968767,529.3781385519711,6.072573655094402,-29.93253174901065,29.93253174901065
p32,2,969.8679441311631,979.3785388821108,446.736918254493,378.97185536910075,-67.76506288539224,58.25446813444455,58.25446813444455
p32,3,887.1819631519083,954.6133876949575,378.97185536910075,311.5404308260513,-67.43142454304945,2.8421709430404007e-13,2.8421709430404007e-13
p32,4,1133.3134260502618,1010.4142365435214,311.5404308260513,507.28382704863634,195.74339622258503,-72.84420671584462,72.84420671584462
p32,5,810.4366666666667,903.6954864474874,507.28382704863634,432.5564047951209,-74.72742225351544,-18.531397527305216,18.531397527305216
p32,6,750.7,803.6828055333732,432.5564047951209,346.14478704850785,-86.41161774661305,33.428812213239894,33.428812213239894
p32,7,718.5598875164834,720.4373965030923,346.14478704850785,368.6003672510946,22.45558020258676,-24.33308918919562,24.33308918919562
p33,2,1001.8777544730991,892.9749197293388,711.2095409731729,793.91428112674,82.70474015356706,26.19809459019325,26.19809459019325
p33,3,865.2129166531113,970.6648899582472,793.91428112674,688.4623078216057,-105.45197330513429,-1.5916157281026244e-12,1.5916157281026244e-12
p33,4,1123.2726622071227,1098.9833090411125,688.4623078216057,758.0793561467789,69.61704832517319,-45.327695159163,45.327695159163
