prefix,legacy_max_depth_mm,openwepp_max_depth_mm,max_depth_delta_mm_open_minus_legacy,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_depth_nonzero_days,openwepp_depth_nonzero_days,legacy_frozen_days_wat,openwepp_frozen_days_wat,frozen_days_delta_open_minus_legacy,open_days_above_200mm,profile_depth_mm,margin_to_profile_mm,pinned_profile_bound,overlap_days
p24,420.0,1793.807140069321,1373.807140069321,830.5759974352464,1016.9241480186735,-0.4377625324783372,901,1139,755,1139,384,1087,1800.0,6.192859930679106,False,1228
p25,400.0,1794.5630940180904,1394.5630940180904,838.8099364828305,1022.6181257118894,-0.4506588730616739,917,1149,755,1149,394,1110,1800.0,5.436905981909604,False,1227
p26,440.0,1793.9138025908921,1353.9138025908921,817.7847460733917,1007.2867756807495,-0.2922300649535325,914,1132,764,1132,368,1081,1800.0,6.086197409107854,False,1229
p27,420.0,1793.8120629229184,1373.8120629229184,829.3185657899303,1016.4026862002339,-0.47784805572496586,894,1136,754,1136,382,1082,1800.0,6.187937077081642,False,1230
p28,440.0,1793.9138025908921,1353.9138025908921,806.976471950318,1000.5115868729974,-0.37423234163214425,917,1133,768,1133,365,1067,1800.0,6.086197409107854,False,1228
p29,420.0,1793.8151826689382,1373.8151826689382,828.6770016667062,1015.5687126292605,-0.4679509637085437,892,1138,751,1138,387,1080,1800.0,6.184817331061822,False,1230
p3,384.5,1793.5042845201008,1409.0042845201008,769.9805428900755,947.3519620853716,-0.43061077817892374,815,1142,782,1142,360,1098,1800.0,6.495715479899218,False,1264
p30,420.0,1793.8071728731047,1373.8071728731047,838.2766907493218,1020.6658443655526,-0.4311806016055336,891,1138,754,1138,384,1089,1800.0,6.192827126895281,False,1230
p31,440.0,1793.8071402141145,1353.8071402141145,827.9009678017192,1014.9012729911816,-0.47585133870125884,906,1134,763,1134,371,1080,1800.0,6.192859785885503,False,1229
p32,403.3,1793.517028147255,1390.217028147255,765.3049701618929,949.5665033021736,-0.4147434392417907,814,1147,781,1147,366,1094,1800.0,6.482971852745095,False,1263
p33,400.0,1794.5635299917215,1394.5635299917215,841.4875678338321,1023.3965275438862,-0.4003443393135936,918,1149,756,1149,393,1110,1800.0,5.4364700082785475,False,1227
p34,420.0,1794.649641389708,1374.649641389708,855.7123096004547,1023.7842773976433,-0.39638497986504606,904,1161,761,1161,400,1129,1800.0,5.350358610292005,False,1228
p35,400.0,1794.5648218827444,1394.5648218827444,839.2102963271011,1023.0340234402252,-0.4528398138084857,915,1149,755,1149,394,1111,1800.0,5.435178117255646,False,1227
p36,420.0,1794.642395322318,1374.642395322318,835.6909324713807,1021.1352573534035,-0.4779858761249613,909,1138,764,1138,374,1095,1800.0,5.357604677682048,False,1228
p37,420.0,1794.6485298431448,1374.6485298431448,837.9025624247321,1022.7274785656828,-0.4265170275507577,902,1140,755,1140,385,1095,1800.0,5.351470156855157,False,1227
p38,400.0,1794.5642675857127,1394.5642675857127,842.2063852109145,1025.1593906441237,-0.4494220269128892,914,1147,750,1147,397,1112,1800.0,5.4357324142872585,False,1225
p39,420.0,1794.642667923345,1374.642667923345,838.7731309394882,1023.3803633190112,-0.4363328307724268,907,1138,756,1138,382,1095,1800.0,5.357332076654984,False,1226
p4,240.0,1793.180889284538,1553.180889284538,745.6304859581538,979.2736925144377,-0.09909695621741929,928,1061,728,1061,333,911,1800.0,6.819110715462102,False,1211
p40,400.0,1794.5662372982179,1394.5662372982179,848.0545262735224,1027.5006978232564,-0.3735283499163003,913,1146,746,1146,400,1109,1800.0,5.433762701782143,False,1223
p41,420.0,1794.6424036471503,1374.6424036471503,835.9566756567625,1021.5599303208254,-0.4750728355142721,906,1138,760,1138,378,1095,1800.0,5.357596352849669,False,1228
p42,400.0,1794.5631896812404,1394.5631896812404,838.6948567229641,1022.4915611005575,-0.44941427639923387,917,1149,756,1149,393,1110,1800.0,5.436810318759626,False,1227
p43,420.0,1794.6454846067938,1374.6454846067938,834.9407072312515,1020.5054850163533,-0.4674836110993607,917,1140,770,1140,370,1096,1800.0,5.354515393206157,False,1229
p5,420.0,1794.6473016430734,1374.6473016430734,835.7177747879314,1021.2437605857165,-0.4719310400756829,910,1140,761,1140,379,1095,1800.0,5.352698356926567,False,1229
p6,420.0,1794.6423611111418,1374.6423611111418,835.5695169965753,1020.9160194422607,-0.47550648467262013,910,1138,764,1138,374,1094,1800.0,5.357638888858219,False,1228
p7,420.0,1793.814994218414,1373.814994218414,834.6183772803843,1018.074183590406,-0.438645433323624,888,1141,750,1141,391,1086,1800.0,6.1850057815859145,False,1230
p8,440.0,1793.9212188323963,1353.9212188323963,808.4674182841535,1002.3286018074239,-0.3786546331768616,911,1132,759,1132,373,1066,1800.0,6.078781167603665,False,1228
p9,460.0,1793.8675812833055,1333.8675812833055,835.6471130214051,1017.1547804570342,-0.364888928689747,894,1143,755,1143,388,1094,1800.0,6.132418716694474,False,1230
