prefix,exit,wat,frsoil_active,wint_red_enabled,frdp_final_mm,frozwt_final_mm,row_count,sum_frozwt,max_frozwt,nonzero_frozwt_days,max_frdp,mean_frdp_positive,days_frdp_gt_200,Q,Dp,latqcc,RM,Irr,Interception
p32,0,True,True,True,509.33215783956376,129.61561655927738,2557,183057.56630658457,566.2927764860303,819,1782.8116162710553,899.2231008625727,749,821.5898354455684,112.0892497244564,130.64189882884727,6281.259887516484,0.0,642.7364332068394
p33,0,True,True,True,393.3949049873823,113.33166373418298,2557,252829.65745062573,773.5239570111412,791,1780.5852693307895,870.1717160816949,702,1304.6441852880253,616.3949852780503,149.3729890078502,6308.029914053514,0.0,615.0133788383012
p34,0,True,True,True,497.9403919128411,115.67117448103947,2557,240828.0269811984,768.464084097023,841,1782.105412629539,890.3489246848441,760,1194.872024317861,614.9338041123202,389.2180606950171,6308.289746675146,0.0,615.0133788383012
p35,0,True,True,True,393.2382775788632,113.34889431136047,2557,254390.01318471905,775.3783960384972,790,1780.6025147403682,873.3063689060887,702,1318.0773294552714,616.3949852780503,125.30960860004352,6307.792638493758,0.0,615.0133788383012
p36,0,True,True,True,497.7136806439626,114.99047495922758,2557,246738.39589355496,740.8404717025219,839,1782.0838802534058,887.6881312958238,758,1238.5622764683226,616.1577965568113,241.3551200143836,6308.072216292434,0.0,615.0133788383012
p37,0,True,True,True,497.62658191744805,115.57434669893432,2557,241066.8213338891,768.1648255015563,839,1782.1097276703326,891.8132598203387,759,1199.0772460851388,614.9763018866244,380.18936335919966,6307.893087764842,0.0,615.0133788383012
p38,0,True,True,True,393.39510541934214,113.54110981631062,2557,256319.70878913184,781.911135689344,791,1780.593697474773,871.5291896003496,702,1345.7591197241559,616.3949852780503,55.16222111778376,6308.0407801032725,0.0,615.0133788383012
p39,0,True,True,True,497.78422221290856,114.89499124301949,2557,248813.21247720555,741.1978977031428,839,1782.0861609123403,887.8379707530698,758,1250.6682684297805,616.1577965568113,201.86176274514776,6308.040919476511,0.0,615.0133788383012
p40,0,True,True,True,393.54557748790677,112.12328589000909,2557,245043.08525101506,763.129693375666,794,1780.593863750441,869.3088220319092,702,1217.5209708846173,616.3949852780503,352.47532256737236,6308.301070891588,0.0,615.0133788383012
p41,0,True,True,True,497.68045956171864,114.85594259815429,2557,254951.44453154635,753.0036764536853,839,1782.0838802534058,887.7287295369929,758,1289.3951770447343,616.1577965568113,90.89355345597824,6308.088111482084,0.0,615.0133788383012
p42,0,True,True,True,393.4665289049871,113.39750248276128,2557,253538.04442158656,775.1854186475432,791,1780.5852693307895,870.2217600844236,702,1312.5824199325061,616.3949852780503,130.5372385509171,6307.997602142539,0.0,615.0133788383012
p43,0,True,True,True,497.70595834038534,116.96263767455152,2557,231252.58141560195,716.0807506853139,839,1782.0942373293303,889.471548284181,760,1105.815581597374,610.274472685865,587.2825665845941,6308.080665696266,0.0,615.0133788383012
