prefix,sim_day_index,sim_year,julian,legacy_frdp_mm,open_proxy_frdp_mm,legacy_wat_frozwt_mm,open_wat_frozwt_mm
p37,719,2,354,0.0,200.0,0.0,29.8
p37,720,2,355,0.0,200.0,0.0,29.8
p37,721,2,356,0.0,200.0,0.0,29.8
p37,722,2,357,0.0,200.0,0.0,29.8
p37,723,2,358,5.0,200.0,0.0,29.8
p37,724,2,359,5.0,200.0,0.0,29.8
p37,725,2,360,5.0,200.0,0.0,29.8
p37,726,2,361,5.0,200.0,0.04,29.8
p37,727,2,362,5.0,200.0,0.02,29.8
p37,728,2,363,5.0,200.0,0.03,29.8
p37,729,2,364,5.0,200.0,0.11,29.8
p37,730,2,365,5.0,200.0,0.0,29.8
p37,731,3,1,5.0,200.0,0.0,29.8
p37,732,3,2,5.0,200.0,0.0,29.8
p37,733,3,3,5.0,200.0,0.2,29.8
p37,734,3,4,5.0,200.0,0.61,29.8
p37,735,3,5,2.4,200.0,0.83,29.8
p37,736,3,6,4.2,200.0,1.24,29.8
p37,737,3,7,5.7,200.0,1.57,29.8
p37,738,3,8,5.9,200.0,1.62,29.8
p37,739,3,9,7.8,200.0,2.01,29.8
p37,740,3,10,10.0,200.0,2.78,29.8
p37,741,3,11,11.3,200.0,3.05,29.8
p37,742,3,12,11.7,200.0,3.12,29.8
p37,743,3,13,13.4,200.0,3.51,29.8
p37,744,3,14,16.5,200.0,4.15,29.8
p37,745,3,15,21.3,200.0,5.44,29.8
p37,746,3,16,24.3,200.0,6.13,29.8
p37,747,3,17,27.4,200.0,6.81,29.8
p37,748,3,18,32.6,200.0,8.21,29.8
p37,749,3,19,35.7,200.0,8.93,29.8
p37,750,3,20,37.9,200.0,9.4,29.8
p37,751,3,21,40.0,200.0,9.97,29.8
p37,752,3,22,40.0,200.0,10.11,29.8
p37,753,3,23,41.3,200.0,10.39,29.8
p37,754,3,24,44.8,200.0,11.11,29.8
p37,755,3,25,47.4,200.0,11.61,29.8
p37,756,3,26,50.0,200.0,12.36,29.8
p37,757,3,27,51.9,200.0,12.81,29.8
p37,758,3,28,54.6,200.0,13.39,29.8
p37,759,3,29,56.0,200.0,13.67,29.8
p37,760,3,30,57.2,200.0,13.88,29.8
p37,761,3,31,60.0,200.0,14.39,29.8
p37,762,3,32,60.0,200.0,14.72,29.8
p37,763,3,33,61.8,200.0,15.01,29.8
p37,764,3,34,62.5,200.0,15.14,29.8
p37,765,3,35,64.6,200.0,15.49,29.8
p37,766,3,36,66.7,200.0,15.79,29.8
p37,767,3,37,68.2,200.0,16.01,29.8
p37,768,3,38,70.0,200.0,16.47,29.8
p37,769,3,39,72.7,200.0,17.12,29.8
p37,770,3,40,75.7,200.0,17.66,29.8
p37,771,3,41,76.8,200.0,17.83,29.8
p37,772,3,42,80.0,200.0,18.41,29.8
p37,773,3,43,80.0,200.0,18.78,29.8
p37,774,3,44,82.2,200.0,19.03,29.8
p37,775,3,45,83.8,200.0,19.32,29.8
p37,776,3,46,84.5,200.0,19.42,29.8
p37,777,3,47,86.2,200.0,19.66,29.8
p37,778,3,48,86.5,200.0,19.7,29.8
p37,779,3,49,86.9,200.0,19.76,29.8
p37,780,3,50,88.0,200.0,19.94,29.8
p37,781,3,51,88.9,200.0,20.09,29.8
p37,782,3,52,90.0,200.0,20.44,29.8
p37,783,3,53,90.0,200.0,20.72,29.8
p37,784,3,54,90.0,200.0,20.72,29.8
p37,785,3,55,90.0,200.0,20.72,29.8
p37,786,3,56,90.0,200.0,20.72,29.8
p37,787,3,57,90.0,200.0,20.72,29.8
p37,788,3,58,90.0,200.0,20.72,29.8
p37,789,3,59,90.0,200.0,20.72,29.8
p37,790,3,60,93.5,200.0,21.16,29.8
p37,791,3,61,94.3,200.0,21.3,29.8
p37,792,3,62,94.8,0.0,21.37,0.0
p37,793,3,63,96.8,0.0,21.65,0.0
p37,794,3,64,100.0,0.0,1.04,0.0
p37,795,3,65,100.0,0.0,0.0,0.0
p37,799,3,69,60.0,120.0,10.01,17.88
p37,800,3,70,120.0,200.0,35.82,29.8
p37,801,3,71,152.1,200.0,46.0,29.8
p37,802,3,72,168.8,200.0,51.18,29.8
p37,803,3,73,180.0,200.0,54.89,29.8
p37,804,3,74,184.8,200.0,56.32,29.8
p37,805,3,75,192.1,200.0,58.62,29.8
p37,806,3,76,194.8,200.0,59.39,29.8
p37,807,3,77,200.0,200.0,60.95,29.8
p37,808,3,78,203.6,200.0,62.11,29.8
p37,809,3,79,208.4,200.0,63.42,29.8
p37,810,3,80,211.4,200.0,64.27,29.8
p37,811,3,81,214.2,200.0,65.03,29.8
p37,812,3,82,217.6,200.0,65.96,29.8
p37,813,3,83,218.9,200.0,62.58,29.8
p37,814,3,84,218.9,200.0,41.89,29.8
p37,815,3,85,218.9,200.0,29.03,29.8
p37,816,3,86,218.9,200.0,27.29,29.8
p37,817,3,87,218.9,200.0,21.18,29.8
p37,818,3,88,218.9,200.0,15.83,29.8
p37,819,3,89,218.9,200.0,11.64,29.8
p37,820,3,90,220.0,200.0,3.13,29.8
p37,821,3,91,220.0,200.0,0.0,29.8
p37,822,3,92,20.0,200.0,2.21,29.8
p37,823,3,93,30.0,200.0,1.1,29.8
p37,824,3,94,10.0,200.0,0.0,29.8
p37,825,3,95,11.7,200.0,0.0,29.8
p37,826,3,96,0.0,200.0,0.0,29.8
p37,832,3,102,10.0,0.0,0.0,0.0
p37,833,3,103,35.1,101.66666666666667,2.25,15.148333333333333
p37,834,3,104,22.6,101.66666666666667,0.08,15.148333333333333
p37,835,3,105,0.0,0.0,0.0,0.0
p37,843,3,113,0.0,0.0,0.0,0.0
p37,844,3,114,5.0,0.0,0.0,0.0
p37,846,3,116,0.0,0.0,0.0,0.0
p37,848,3,118,10.0,0.0,0.0,0.0
p37,849,3,119,5.0,0.0,0.0,0.0
p37,1002,3,272,0.0,0.0,0.0,0.0
p37,1003,3,273,12.4,0.0,0.0,0.0
p37,1019,3,289,0.0,0.0,0.0,0.0
p37,1020,3,290,0.0,0.0,0.0,0.0
p37,1021,3,291,0.0,0.0,0.0,0.0
p37,1022,3,292,0.0,93.33333333333333,0.0,13.906666666666665
p37,1023,3,293,0.0,93.33333333333333,0.0,13.906666666666665
p37,1024,3,294,0.0,93.33333333333333,0.0,13.906666666666665
p37,1025,3,295,0.0,93.33333333333333,0.0,13.906666666666665
p37,1032,3,302,0.0,0.0,0.0,0.0
p37,1033,3,303,0.0,0.0,0.0,0.0
p37,1034,3,304,0.0,0.0,0.0,0.0
p37,1035,3,305,0.0,0.0,0.0,0.0
p37,1036,3,306,0.0,0.0,0.0,0.0
p37,1037,3,307,0.0,0.0,0.0,0.0
p37,1038,3,308,0.0,0.0,0.0,0.0
p37,1039,3,309,0.0,65.0,0.0,9.684999999999999
p37,1040,3,310,0.0,111.66666666666666,0.0,16.638333333333332
p37,1041,3,311,0.0,185.00000000000006,0.0,27.565000000000005
p37,1042,3,312,0.0,185.00000000000006,0.0,27.565000000000005
p37,1043,3,313,0.0,185.00000000000006,0.0,27.565000000000005
p37,1044,3,314,0.0,0.0,0.0,0.0
p37,1045,3,315,0.0,0.0,0.0,0.0
p37,1046,3,316,0.0,0.0,0.0,0.0
p37,1047,3,317,0.0,0.0,0.0,0.0
p37,1048,3,318,0.0,93.33333333333333,0.0,13.906666666666665
p37,1049,3,319,0.0,93.33333333333333,0.0,13.906666666666665
p37,1050,3,320,0.0,93.33333333333333,0.0,13.906666666666665
p37,1051,3,321,0.0,93.33333333333333,0.0,13.906666666666665
p37,1052,3,322,0.0,93.33333333333333,0.0,13.906666666666665
p37,1053,3,323,0.0,93.33333333333333,0.0,13.906666666666665
p37,1054,3,324,0.0,93.33333333333333,0.0,13.906666666666665
p37,1055,3,325,0.0,93.33333333333333,0.0,13.906666666666665
