lane_id,cell,bias_partition,applicable_days,internal_cap_days,runtime_cap_days,climate_fallback_used_days,fresh mixing,wet compaction,destructive metamorphism,overburden compaction,structural projection,climate fallback,internal cap,runtime cap,Stage 3 adjustment
snotel_niwot_co,L,density_shape_under_beta,8028,911,3981,0,-8.99715043822124,34.99620904543091,0.461667998096018,1.2055040511829131,-18.49740923325308,0.0,-5.457248522175029,-3.6849916758791745,0.0
snotel_niwot_co,S,density_shape_under_beta,7906,964,4232,0,-10.125503649493723,37.88752848455569,0.4691035989713288,1.10139747231541,-20.415495110214373,0.0,-6.0990983324634405,-3.7910928121644876,0.9991059148778144
snotel_niwot_co,LS,density_shape_under_beta,7921,929,4129,0,-9.653952199428144,37.095148846354114,0.47285142786137246,1.147262757337548,-20.075384172428244,0.0,-5.882410349283641,-3.72713425196695,0.6495859861288282
snotel_paradise_wa,B,density_shape_under_beta,9618,539,4824,0,-8.75314760385299,16.944125225350458,0.0650091680067125,1.6738253619126893,-4.827898635891429,0.0,-1.1237946685892848,-3.9440599430675256,0.0
snotel_paradise_wa,L,density_shape_under_beta,9618,539,4824,0,-8.75314760385299,16.944125225350458,0.0650091680067125,1.6738253619126893,-4.827898635891429,0.0,-1.1237946685892848,-3.9440599430675256,0.0
snotel_paradise_wa,S,density_shape_under_beta,9570,529,4928,0,-9.571875419774031,17.75188965743269,0.0665008655211946,1.6481490954569313,-4.757125382281944,0.0,-1.1475947478914257,-4.064788840523312,0.10860651479429037
snotel_paradise_wa,LS,density_shape_under_beta,9575,529,4930,0,-9.516854350466629,17.70352579035489,0.06658132787452425,1.6525947677532977,-4.754949799178883,0.0,-1.1430056257674501,-4.055229584218555,0.08108633804085871
snotel_snowbird_ut,B,density_shape_under_beta,7185,594,3349,0,-7.631633540028398,26.559613066229304,0.27029909629892845,1.6260859107174364,-13.354686644397562,0.0,-3.6563298108188755,-3.788695986339859,0.0
snotel_snowbird_ut,L,density_shape_under_beta,7185,594,3349,0,-7.631633540028398,26.559613066229304,0.27029909629892845,1.6260859107174364,-13.354686644397562,0.0,-3.6563298108188755,-3.788695986339859,0.0
snotel_snowbird_ut,S,density_shape_under_beta,7150,619,3443,0,-8.426302007363853,27.784395974253574,0.2751523188080017,1.588857701854829,-13.702642114369176,0.0,-3.8557032807810057,-3.933302818906146,0.3018905780334345
snotel_snowbird_ut,LS,density_shape_under_beta,7163,622,3445,0,-8.211563059658282,27.59556275593197,0.27584566655992754,1.602102126301826,-13.672649045651532,0.0,-3.822727041330493,-3.923022299837767,0.18871871669352425
