path	size_bytes	sha256	action
assurance/schemas/review.schema.json	3107	aef4705f063582e20310a01c2bd709289125b2c213620c826f40d229553dfd76	remove
assurance/templates/application-context-worksheet.md	1794	e0be07c2496af617304d3ff4a0e45f38697fd71b922b7a8e3221621e5256b7b0	remove
assurance/templates/catalog.md	768	5863e9e1d9897ce17f736789d11173b499f47dd2c9c87614062b54cd5329a22f	preserve-or-revise
assurance/templates/dossier.md	1678	fb608b0613b1b90a280e5a11faceadbdf76f122d66340ad76b1c10a311a43497	remove
assurance/templates/method.md	699	432d09273f22769d13e95a64d24ed7164df9eb2f5f2db3a574ecc53a553f9abb	remove
crates/openwepp-assurance/Cargo.toml	468	581f8ba8401d7dd89640a73673cfb0dcd1e1cad7e8d6d05cff486fb70202ff90	preserve-or-revise
crates/openwepp-assurance/src/authoring.rs	8471	d55f921005c9e8277441a74c754bec527d57bb2509d135a49cbe761c24e4fd31	remove
crates/openwepp-assurance/src/cli.rs	6805	fa5b7e3b2e8db890d67efe61f3ef99c933a04e7065c47392b07ea54ebf4eb913	preserve-or-revise
crates/openwepp-assurance/src/engine.rs	69161	3f964ad0079803f9d6de849102f366a5616e0844283230e45541390d29f086e7	preserve-or-revise
crates/openwepp-assurance/src/error.rs	2335	4670792fbe225eb0bcd4fb4af68fbb7b7ed78afb28c0e01af78534bd44734ad8	preserve-or-revise
crates/openwepp-assurance/src/graph.rs	12114	405f644e87b27fe6e0341436bc0f15a8d7ed5b763105924c1a4e06bdd116e891	remove
crates/openwepp-assurance/src/hash.rs	3103	4a2e075968d254de561622d62723f38b902e53490829613dced83c7eea3aa5b8	preserve-or-revise
crates/openwepp-assurance/src/lib.rs	494	2e3df787d33b08abed371250db6af0f4b6d698823cdfd2d9c10d59627b3c8848	preserve-or-revise
crates/openwepp-assurance/src/main.rs	240	f9f85cec584ee0498feab6253e9f2239d2292333fdbd7196bdc57a9617c869d4	preserve-or-revise
crates/openwepp-assurance/src/model.rs	13732	70ccf74aa8e13eaa2e8909a314b445cc34dfcc7e9b2ce97e95bf9121011e4c2d	remove
crates/openwepp-assurance/src/path.rs	6997	f1893346bf31754aea0b76d299547b2eac256298ace732aa3bfd811244dad0bd	remove
crates/openwepp-assurance/src/publication.rs	13008	44ddbb2cad8a314850e4210b9eedf662f52586afe8b5c3126829afbf1458bae9	remove
crates/openwepp-assurance/src/render.rs	14236	58566f44cd088083ebe4287a0d6cf310c85a585faab3d88d67c22f61fd67f35e	remove
crates/openwepp-assurance/src/review.rs	14116	87f47a2617fc0401ed745b21985f71aa569e0ee3d45657517a85f960bb24fc9f	remove
crates/openwepp-assurance/src/snapshot.rs	10309	7fc9a13d7a095d173d1051521998601a26762e549659db3846b922d6f59c9a63	remove
docs/governance/openwepp-release-procedure-draft.md	11396	2a9da1e20f64adbd77baf396b7b842c6a50827e16e35490fd750da7f5b081065	preserve-or-revise
docs/standards/scientific-assurance-dossier.md	1697	a715248d74d234eabab112622357692cb4852bf35b18feafeead49aafc63dc1e	preserve-or-revise
docs/work-packages/20260714-assurance-dossier-lifecycle-foundation-001/artifacts/wepppy-handoff.md	5961	0586f5e1fd50c968e98f4bf9756828086068d4bcf5e24c74ceee4ec83091a9e5	preserve-or-revise
tests/integration/assurance_dossier_build_contract.rs	53370	2f7dbd1cbdeca5dcf0177d49b9927b56f22f58c86fecf8c162d742325dcbc0df	preserve-or-revise
tools/release/README.md	7700	dc467ac54e53d86ead1e82b2d760c2f6275135d4f3c7fa2bb7e551c169f4dbce	preserve-or-revise
tools/release/check_assurance_dossier_exports.sh	233	dbf226214fe9b5845b19df36789cad8e854154a98d3ba30fe88bce18d8f30a5d	preserve-or-revise
tools/release/run_release_candidate_gates.sh	18372	d98ecd900c8602e1932d01e18ce61b76e8f28ab167c47e8c84233b638e023084	preserve-or-revise
usersum/README.md	2702	6dc975839b87b9f65881a24de8d216c8454097873fda14eb871a6b813d2bbcff	preserve-or-revise
usersum/assurance/README.md	1012	bfe57c9c65fcba174a543e0f5bc287124a292215aaf3f17f0148a58460d8b26e	preserve-or-revise
usersum/assurance/application-context-worksheet.md	1813	866774bf82baaaff90f63e8050cad8b9f3127f490b74fe24fca7fa6e7f269352	remove
usersum/assurance/dossiers/snow-snotel-swe-depth-density.md	13910	6d2dea9f676d996b7b1ddf8b6737cc61d80fbbf06ba473250fd8800842fdfbfd	remove
usersum/assurance/methods/snow-snotel-evaluation-v1.md	3532	15bd161a6b63515533fdb6aea651260fedb1556e81ca549530e56a4217dc5e82	remove
usersum/snow-frost-modeling-and-validation.md	21443	2c35e4101afbe2e36592f9416e17d1cfe8d08c98a4092d6ec28afe99a589cc39	preserve-or-revise
