candidate_id,minimum_temperature_inactive_c,minimum_temperature_unconstrained_c,vapor_pressure_deficit_unconstrained_pa,vapor_pressure_deficit_inactive_pa,photoperiod_inactive_hours,photoperiod_unconstrained_hours,accepted_ledger_sha256,candidate_table_sha256
GSI-3942,-14.298500000,6.700000000,655.895776750,2155.325437000,12.478643418,15.294208010,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-3962,-14.298500000,6.700000000,1100.647927550,2155.325437000,12.478643418,15.287745094,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-3963,-14.298500000,6.700000000,1100.647927550,2155.325437000,12.478643418,15.294208010,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4372,-14.298500000,12.610000000,655.895776750,2155.325437000,10.935970516,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4377,-14.298500000,12.610000000,655.895776750,2155.325437000,11.239373219,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4393,-14.298500000,12.610000000,1100.647927550,2155.325437000,10.935970516,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4394,-14.298500000,12.610000000,1100.647927550,2155.325437000,10.935970516,15.287745094,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4395,-14.298500000,12.610000000,1100.647927550,2155.325437000,10.935970516,15.294208010,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4398,-14.298500000,12.610000000,1100.647927550,2155.325437000,11.239373219,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4399,-14.298500000,12.610000000,1100.647927550,2155.325437000,11.239373219,15.287745094,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4400,-14.298500000,12.610000000,1100.647927550,2155.325437000,11.239373219,15.294208010,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4402,-14.298500000,12.610000000,1100.647927550,2155.325437000,12.478643418,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4831,-14.298500000,19.910000000,1100.647927550,2155.325437000,10.935970516,11.239373219,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4832,-14.298500000,19.910000000,1100.647927550,2155.325437000,10.935970516,12.478643418,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4833,-14.298500000,19.910000000,1100.647927550,2155.325437000,10.935970516,13.947157389,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4837,-14.298500000,19.910000000,1100.647927550,2155.325437000,11.239373219,12.478643418,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4838,-14.298500000,19.910000000,1100.647927550,2155.325437000,11.239373219,13.947157389,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-4842,-14.298500000,19.910000000,1100.647927550,2155.325437000,12.478643418,13.947157389,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-5695,-4.670000000,6.700000000,655.895776750,2155.325437000,10.935970516,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-5700,-4.670000000,6.700000000,655.895776750,2155.325437000,11.239373219,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-5716,-4.670000000,6.700000000,1100.647927550,2155.325437000,10.935970516,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-5717,-4.670000000,6.700000000,1100.647927550,2155.325437000,10.935970516,15.287745094,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-5718,-4.670000000,6.700000000,1100.647927550,2155.325437000,10.935970516,15.294208010,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-5721,-4.670000000,6.700000000,1100.647927550,2155.325437000,11.239373219,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-5722,-4.670000000,6.700000000,1100.647927550,2155.325437000,11.239373219,15.287745094,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-5723,-4.670000000,6.700000000,1100.647927550,2155.325437000,11.239373219,15.294208010,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
GSI-5725,-4.670000000,6.700000000,1100.647927550,2155.325437000,12.478643418,15.020315923,83e749a3961604e4592f2a2217db30965c8bbb59f4752d0ff6d85fbac61fd986,a56a07ef1df713a1555afb4098bd4f5e0fbe4b9f324ded0bd370c785fea3190e
