prefix,management_group,term,openwepp_sum,legacy_sum,classification
p17,Corn,Es,4217.177912874481,2647.08,both-nonzero
p17,Corn,Er,0.0,0.0,expected-config-zero
p17,Corn,Interception,0.0,,legacy-term-unavailable
p17,Corn,Q,1.7401444868392346e-14,639.00522553,defect-openwepp-zero-legacy-nonzero
p17,Corn,QOFE,1.7401444868392346e-14,639.00522553,defect-openwepp-zero-legacy-nonzero
p18,Corn,Ep,0.0,1786.56,defect-openwepp-zero-legacy-nonzero
p18,Corn,Es,4410.963180323895,2692.42,both-nonzero
p18,Corn,Er,0.0,0.0,expected-config-zero
p18,Corn,Interception,0.0,,legacy-term-unavailable
p18,Corn,Q,2.6915318931952648e-14,663.2867328,defect-openwepp-zero-legacy-nonzero
p18,Corn,QOFE,2.6915318931952648e-14,663.2867328,defect-openwepp-zero-legacy-nonzero
p19,Corn,Ep,0.0,1820.35,defect-openwepp-zero-legacy-nonzero
p19,Corn,Es,4800.540721467129,2737.88,both-nonzero
p19,Corn,Er,0.0,0.0,expected-config-zero
p19,Corn,Interception,0.0,,legacy-term-unavailable
p19,Corn,Q,2.6481638062958446e-14,742.5516727,defect-openwepp-zero-legacy-nonzero
p19,Corn,QOFE,2.6481638062958446e-14,742.5516727,defect-openwepp-zero-legacy-nonzero
p20,Tah_4899,Ep,5515.724486151612,5908.37,both-nonzero
p20,Tah_4899,Es,23.243600793552712,28.16,both-nonzero
p20,Tah_4899,Er,0.0,0.0,expected-config-zero
p20,Tah_4899,Interception,643.3614332068395,,legacy-term-unavailable
p20,Tah_4899,Q,2.9601429814285485e-13,107.9928328,defect-openwepp-zero-legacy-nonzero
p20,Tah_4899,QOFE,2.9601429814285485e-13,107.9928328,defect-openwepp-zero-legacy-nonzero
p21,Tah_4899,Ep,5512.053772572694,5827.03,both-nonzero
p21,Tah_4899,Es,19.9868264988969,28.27,both-nonzero
p21,Tah_4899,Er,0.0,0.0,expected-config-zero
p21,Tah_4899,Interception,643.3614332068395,,legacy-term-unavailable
p21,Tah_4899,Q,2.9254485119090123e-13,279.0671532,defect-openwepp-zero-legacy-nonzero
p21,Tah_4899,QOFE,2.9254485119090123e-13,279.0671532,defect-openwepp-zero-legacy-nonzero
p22,Corn,Ep,0.0,1868.74,defect-openwepp-zero-legacy-nonzero
p22,Corn,Es,5026.286724759646,2785.34,both-nonzero
p22,Corn,Er,0.0,0.0,expected-config-zero
p22,Corn,Interception,0.0,,legacy-term-unavailable
p22,Corn,Q,1.2224379494774062e-14,761.92181711,defect-openwepp-zero-legacy-nonzero
p22,Corn,QOFE,1.2224379494774062e-14,761.92181711,defect-openwepp-zero-legacy-nonzero
p23,Corn,Ep,0.0,1828.73,defect-openwepp-zero-legacy-nonzero
p23,Corn,Es,4782.884329360544,2739.27,both-nonzero
p23,Corn,Er,0.0,0.0,expected-config-zero
p23,Corn,Interception,0.0,,legacy-term-unavailable
p23,Corn,Q,1.8675382421062814e-14,745.6719379,defect-openwepp-zero-legacy-nonzero
p23,Corn,QOFE,1.8675382421062814e-14,745.6719379,defect-openwepp-zero-legacy-nonzero
p24,Corn,Ep,0.0,1819.39,defect-openwepp-zero-legacy-nonzero
p24,Corn,Es,4698.724877553915,2715.33,both-nonzero
p24,Corn,Er,0.0,0.0,expected-config-zero
p24,Corn,Interception,0.0,,legacy-term-unavailable
p24,Corn,Q,1.043544591017298e-14,725.2656452,defect-openwepp-zero-legacy-nonzero
p24,Corn,QOFE,1.043544591017298e-14,725.2656452,defect-openwepp-zero-legacy-nonzero
p25,Corn,Ep,0.0,1898.78,defect-openwepp-zero-legacy-nonzero
p25,Corn,Es,5256.008564025122,2790.37,both-nonzero
p25,Corn,Er,0.0,0.0,expected-config-zero
p25,Corn,Interception,0.0,,legacy-term-unavailable
p25,Corn,Q,4.467675795932158,862.0712746,both-nonzero
p25,Corn,QOFE,4.467675795932158,862.0712746,both-nonzero
p26,Corn,Ep,0.0,1824.27,defect-openwepp-zero-legacy-nonzero
p26,Corn,Es,4516.625514515704,2688.66,both-nonzero
p26,Corn,Er,0.0,0.0,expected-config-zero
p26,Corn,Interception,0.0,,legacy-term-unavailable
p26,Corn,Q,1.043544591017298e-14,703.69375566,defect-openwepp-zero-legacy-nonzero
p26,Corn,QOFE,1.043544591017298e-14,703.69375566,defect-openwepp-zero-legacy-nonzero
p27,Corn,Ep,0.0,1887.56,defect-openwepp-zero-legacy-nonzero
p27,Corn,Es,5166.53140464878,2806.59,both-nonzero
p27,Corn,Er,0.0,0.0,expected-config-zero
p27,Corn,Interception,0.0,,legacy-term-unavailable
p27,Corn,Q,6.965998958219367e-15,772.7945841,defect-openwepp-zero-legacy-nonzero
p27,Corn,QOFE,6.965998958219367e-15,772.7945841,defect-openwepp-zero-legacy-nonzero
p28,Corn,Ep,0.0,1792.57,defect-openwepp-zero-legacy-nonzero
p28,Corn,Es,4191.214379602467,2677.3,both-nonzero
p28,Corn,Er,0.0,0.0,expected-config-zero
p28,Corn,Interception,0.0,,legacy-term-unavailable
p28,Corn,Q,2.7999521104438152e-14,626.5412278,defect-openwepp-zero-legacy-nonzero
p28,Corn,QOFE,2.7999521104438152e-14,626.5412278,defect-openwepp-zero-legacy-nonzero
p29,Corn,Ep,0.0,1822.78,defect-openwepp-zero-legacy-nonzero
p29,Corn,Es,4847.262276888986,2741.54,both-nonzero
p29,Corn,Er,0.0,0.0,expected-config-zero
p29,Corn,Interception,0.0,,legacy-term-unavailable
p29,Corn,Q,5.6649563512367615e-15,751.0895382,defect-openwepp-zero-legacy-nonzero
p29,Corn,QOFE,5.6649563512367615e-15,751.0895382,defect-openwepp-zero-legacy-nonzero
p30,Corn,Ep,0.0,1883.18,defect-openwepp-zero-legacy-nonzero
p30,Corn,Es,5118.123957858665,2791.9,both-nonzero
p30,Corn,Er,0.0,0.0,expected-config-zero
p30,Corn,Interception,0.0,,legacy-term-unavailable
p30,Corn,Q,8.700722434196173e-15,772.6658582,defect-openwepp-zero-legacy-nonzero
p30,Corn,QOFE,8.700722434196173e-15,772.6658582,defect-openwepp-zero-legacy-nonzero
p31,Corn,Ep,0.0,1792.23,defect-openwepp-zero-legacy-nonzero
p31,Corn,Es,4460.098260009342,2696.18,both-nonzero
p31,Corn,Er,0.0,0.0,expected-config-zero
p31,Corn,Interception,0.0,,legacy-term-unavailable
p31,Corn,Q,2.659090531315425e-14,675.4561666,defect-openwepp-zero-legacy-nonzero
p31,Corn,QOFE,2.659090531315425e-14,675.4561666,defect-openwepp-zero-legacy-nonzero
p32,Tah_4899,Ep,5488.731873528883,5762.45,both-nonzero
p32,Tah_4899,Es,23.239969882831762,28.17,both-nonzero
p32,Tah_4899,Er,0.0,0.0,expected-config-zero
p32,Tah_4899,Interception,642.7364332068395,,legacy-term-unavailable
p32,Tah_4899,Q,3.0208583030877367e-13,77.2887181,defect-openwepp-zero-legacy-nonzero
p32,Tah_4899,QOFE,3.0208583030877367e-13,77.2887181,defect-openwepp-zero-legacy-nonzero
p33,Corn,Ep,0.0,1872.02,defect-openwepp-zero-legacy-nonzero
p33,Corn,Es,5065.424561711276,2778.41,both-nonzero
p33,Corn,Er,0.0,0.0,expected-config-zero
p33,Corn,Interception,0.0,,legacy-term-unavailable
p33,Corn,Q,4.4676757959321325,836.51349513,both-nonzero
p33,Corn,QOFE,4.4676757959321325,836.51349513,both-nonzero
p34,Corn,Ep,0.0,1835.29,defect-openwepp-zero-legacy-nonzero
p34,Corn,Es,4661.398982101277,2679.28,both-nonzero
p34,Corn,Er,0.0,0.0,expected-config-zero
p34,Corn,Interception,0.0,,legacy-term-unavailable
p34,Corn,Q,5.23127548224256e-15,785.5039452999999,defect-openwepp-zero-legacy-nonzero
p34,Corn,QOFE,5.23127548224256e-15,785.5039452999999,defect-openwepp-zero-legacy-nonzero
p35,Corn,Ep,0.0,1877.03,defect-openwepp-zero-legacy-nonzero
p35,Corn,Es,5128.127058847384,2772.71,both-nonzero
p35,Corn,Er,0.0,0.0,expected-config-zero
p35,Corn,Interception,0.0,,legacy-term-unavailable
p35,Corn,Q,4.467675795932133,857.804087705,both-nonzero
p35,Corn,QOFE,4.467675795932133,857.804087705,both-nonzero
p36,Corn,Ep,0.0,1839.59,defect-openwepp-zero-legacy-nonzero
p36,Corn,Es,4965.119308844284,2757.93,both-nonzero
p36,Corn,Er,0.0,0.0,expected-config-zero
p36,Corn,Interception,0.0,,legacy-term-unavailable
p36,Corn,Q,3.7377869896437765e-14,819.7278822,defect-openwepp-zero-legacy-nonzero
p36,Corn,QOFE,3.7377869896437765e-14,819.7278822,defect-openwepp-zero-legacy-nonzero
p37,Corn,Ep,0.0,1835.34,defect-openwepp-zero-legacy-nonzero
p37,Corn,Es,4681.285125864359,2690.57,both-nonzero
p37,Corn,Er,0.0,0.0,expected-config-zero
p37,Corn,Interception,0.0,,legacy-term-unavailable
p37,Corn,Q,8.700722434196173e-15,792.5821848,defect-openwepp-zero-legacy-nonzero
p37,Corn,QOFE,8.700722434196173e-15,792.5821848,defect-openwepp-zero-legacy-nonzero
p38,Corn,Ep,0.0,1907.69,defect-openwepp-zero-legacy-nonzero
p38,Corn,Es,5314.383275092956,2801.82,both-nonzero
p38,Corn,Er,0.0,0.0,expected-config-zero
p38,Corn,Interception,0.0,,legacy-term-unavailable
p38,Corn,Q,4.4676757959321405,864.637574815,both-nonzero
p38,Corn,QOFE,4.4676757959321405,864.637574815,both-nonzero
p39,Corn,Ep,0.0,1840.43,defect-openwepp-zero-legacy-nonzero
p39,Corn,Es,5040.230580989523,2793.04,both-nonzero
p39,Corn,Er,0.0,0.0,expected-config-zero
p39,Corn,Interception,0.0,,legacy-term-unavailable
p39,Corn,Q,1.916327339868129e-14,821.0357071,defect-openwepp-zero-legacy-nonzero
p39,Corn,QOFE,1.916327339868129e-14,821.0357071,defect-openwepp-zero-legacy-nonzero
p40,Corn,Ep,0.0,1843.22,defect-openwepp-zero-legacy-nonzero
p40,Corn,Es,4560.9669609273105,2700.61,both-nonzero
p40,Corn,Er,0.0,0.0,expected-config-zero
p40,Corn,Interception,0.0,,legacy-term-unavailable
p40,Corn,Q,4.4676757959321565,749.5500696,both-nonzero
p40,Corn,QOFE,4.4676757959321565,749.5500696,both-nonzero
p41,Corn,Ep,0.0,1893.31,defect-openwepp-zero-legacy-nonzero
p41,Corn,Es,5271.76361757972,2797.75,both-nonzero
p41,Corn,Er,0.0,0.0,expected-config-zero
p41,Corn,Interception,0.0,,legacy-term-unavailable
p41,Corn,Q,1.0652286344670081e-14,852.17610357,defect-openwepp-zero-legacy-nonzero
p41,Corn,QOFE,1.0652286344670081e-14,852.17610357,defect-openwepp-zero-legacy-nonzero
p42,Corn,Ep,0.0,1881.98,defect-openwepp-zero-legacy-nonzero
p42,Corn,Es,5114.554507551502,2773.3,both-nonzero
p42,Corn,Er,0.0,0.0,expected-config-zero
p42,Corn,Interception,0.0,,legacy-term-unavailable
p42,Corn,Q,4.467675795932135,844.6476982,both-nonzero
p42,Corn,QOFE,4.467675795932135,844.6476982,both-nonzero
p43,Corn,Ep,0.0,1803.81,defect-openwepp-zero-legacy-nonzero
p43,Corn,Es,4262.628710529148,2672.22,both-nonzero
p43,Corn,Er,0.0,0.0,expected-config-zero
p43,Corn,Interception,0.0,,legacy-term-unavailable
p43,Corn,Q,2.2144829373016428e-14,677.653595,defect-openwepp-zero-legacy-nonzero
p43,Corn,QOFE,2.2144829373016428e-14,677.653595,defect-openwepp-zero-legacy-nonzero
