lane_id,role,response,units,status,B,L,S,LS,longwave_main,sublimation_main,combined,interaction
snotel_css_lab_ca,INDEPENDENT_VALIDATION,total_refreeze_m,m,AVAILABLE,0.09782177651162043,0.7382260909072996,0.9489691605588938,0.9439317882126697,0.6404043143956792,0.8511473840472734,0.8461100117010493,-0.6454416867419034
snotel_css_lab_ca,INDEPENDENT_VALIDATION,median_disappearance_dowy,day_of_water_year,AVAILABLE,206.0,206.0,205.0,205.0,0.0,-1.0,-1.0,0.0
snotel_css_lab_ca,INDEPENDENT_VALIDATION,median_runoff_centroid_dowy,day_of_water_year,AVAILABLE,137.0,137.0,135.5,135.5,0.0,-1.5,-1.5,0.0
snotel_snowbird_ut,INDEPENDENT_VALIDATION,mean_swe_m,m,AVAILABLE,0.10929995317941703,0.10929995317941703,0.10273580391976007,0.10443095270969632,0.0,-0.006564149259656954,-0.004869000469720705,0.0016951487899362488
snotel_snowbird_ut,INDEPENDENT_VALIDATION,peak_swe_m,m,AVAILABLE,1.1291424046034142,1.1291424046034142,1.0960573643082956,1.1043887502971756,0.0,-0.033085040295118606,-0.02475365430623855,0.008331385988880058
snotel_snowbird_ut,INDEPENDENT_VALIDATION,mean_depth_m,m,AVAILABLE,0.31881695730613246,0.31881695730613246,0.2996206639607667,0.30432576986181625,0.0,-0.019196293345365767,-0.014491187444316211,0.0047051059010495555
snotel_snowbird_ut,INDEPENDENT_VALIDATION,total_sublimation_m,m,AVAILABLE,0.0,0.0,0.8633648090023043,0.6172861984272862,0.0,0.8633648090023043,0.6172861984272862,-0.24607861057501812
snotel_snowbird_ut,INDEPENDENT_VALIDATION,total_snowpack_swe_loss_m,m,AVAILABLE,30.517337770046154,30.517337770046154,29.620606149077194,29.86915564196754,0.0,-0.8967316209689606,-0.6481821280786129,0.24854949289034778
snotel_snowbird_ut,INDEPENDENT_VALIDATION,total_refreeze_m,m,AVAILABLE,0.05336660554105418,0.6401371968600228,0.7215033510270402,0.8116688525922896,0.5867705913189686,0.668136745485986,0.7583022470512354,-0.49660508975371925
snotel_snowbird_ut,INDEPENDENT_VALIDATION,median_disappearance_dowy,day_of_water_year,AVAILABLE,219.0,219.0,218.0,218.0,0.0,-1.0,-1.0,0.0
snotel_snowbird_ut,INDEPENDENT_VALIDATION,median_runoff_centroid_dowy,day_of_water_year,AVAILABLE,154.5,154.5,153.0,153.0,0.0,-1.5,-1.5,0.0
snotel_niwot_co,INDEPENDENT_VALIDATION,mean_swe_m,m,AVAILABLE,0.0403600634524681,0.0403600634524681,0.03271410072820081,0.0349056335690676,0.0,-0.007645962724267291,-0.005454429883400502,0.002191532840866789
snotel_niwot_co,INDEPENDENT_VALIDATION,peak_swe_m,m,AVAILABLE,0.4191944755289502,0.4191944755289502,0.35628125303334096,0.37457770300715326,0.0,-0.06291322249560921,-0.04461677252179691,0.0182964499738123
snotel_niwot_co,INDEPENDENT_VALIDATION,mean_depth_m,m,AVAILABLE,0.13802070087094986,0.13802070087094986,0.11461683785383793,0.12147536312391241,0.0,-0.023403863017111934,-0.016545337747037453,0.006858525270074467
snotel_niwot_co,INDEPENDENT_VALIDATION,total_sublimation_m,m,AVAILABLE,0.0,0.0,1.7506990791090007,1.3002382033016486,0.0,1.7506990791090007,1.3002382033016486,-0.45046087580735206
snotel_niwot_co,INDEPENDENT_VALIDATION,total_snowpack_swe_loss_m,m,AVAILABLE,19.798838903097078,19.798838903097078,17.993012393844463,18.45478473737692,0.0,-1.805826509252615,-1.3440541657201592,0.46177234353245566
snotel_niwot_co,INDEPENDENT_VALIDATION,total_refreeze_m,m,AVAILABLE,0.00411594755103899,0.18795619632066218,0.5702915451512021,0.38997709211755177,0.18384024876962318,0.5661755976001631,0.38586114456651277,-0.3641547018032735
snotel_niwot_co,INDEPENDENT_VALIDATION,median_disappearance_dowy,day_of_water_year,AVAILABLE,210.0,210.0,207.0,207.0,0.0,-3.0,-3.0,0.0
snotel_niwot_co,INDEPENDENT_VALIDATION,median_runoff_centroid_dowy,day_of_water_year,AVAILABLE,147.0,147.0,143.0,144.0,0.0,-4.0,-3.0,1.0
harvard_open,INDEPENDENT_VALIDATION,mean_swe_m,m,AVAILABLE,0.027800056080279047,0.027800056080279047,0.027091863796975015,0.027139095445792273,0.0,-0.0007081922833040329,-0.0006609606344867743,4.723164881725861e-05
harvard_open,INDEPENDENT_VALIDATION,peak_swe_m,m,AVAILABLE,0.40690212590107006,0.40690212590107006,0.40493352273563216,0.4050935802383152,0.0,-0.001968603165437899,-0.0018085456627548457,0.00016005750268305308
harvard_open,INDEPENDENT_VALIDATION,mean_depth_m,m,AVAILABLE,0.09215780812375161,0.09215780812375161,0.09055220376310383,0.09070892120857835,0.0,-0.001605604360647786,-0.001448886915173267,0.00015671744547451905
harvard_open,INDEPENDENT_VALIDATION,total_sublimation_m,m,AVAILABLE,0.0,0.0,0.05882936920809453,0.04204343810430024,0.0,0.05882936920809453,0.04204343810430024,-0.01678593110379429
harvard_open,INDEPENDENT_VALIDATION,total_snowpack_swe_loss_m,m,AVAILABLE,14.740743131055405,14.740743131055405,14.641153917370126,14.657779941606606,0.0,-0.09958921368527918,-0.08296318944879921,0.016626024236479964
harvard_open,INDEPENDENT_VALIDATION,total_refreeze_m,m,AVAILABLE,0.006418092663353,0.1503288152504805,0.02831227169166032,0.17605029831754732,0.1439107225871275,0.021894179028307318,0.16963220565419432,0.003827304038759495
harvard_open,INDEPENDENT_VALIDATION,median_disappearance_dowy,day_of_water_year,AVAILABLE,179.0,179.0,179.0,179.0,0.0,0.0,0.0,0.0
harvard_open,INDEPENDENT_VALIDATION,median_runoff_centroid_dowy,day_of_water_year,AVAILABLE,101.0,101.0,100.5,100.5,0.0,-0.5,-0.5,0.0
harvard_hardwood,INDEPENDENT_VALIDATION,mean_swe_m,m,AVAILABLE,0.026978084914928403,0.026978084914928403,0.021614011460990484,0.023473158105026492,0.0,-0.005364073453937919,-0.0035049268099019114,0.0018591466440360076
harvard_hardwood,INDEPENDENT_VALIDATION,peak_swe_m,m,AVAILABLE,0.4169218658576359,0.4169218658576359,0.35578319243401985,0.38547386687662144,0.0,-0.06113867342361606,-0.03144799898101447,0.029690674442601594
harvard_hardwood,INDEPENDENT_VALIDATION,mean_depth_m,m,AVAILABLE,0.09204232784047117,0.09204232784047117,0.07580819064659325,0.08201120062200572,0.0,-0.016234137193877923,-0.010031127218465455,0.0062030099754124685
harvard_hardwood,INDEPENDENT_VALIDATION,total_sublimation_m,m,AVAILABLE,0.0,0.0,2.0143381775061666,1.2103243009934295,0.0,2.0143381775061666,1.2103243009934295,-0.8040138765127371
harvard_hardwood,INDEPENDENT_VALIDATION,total_snowpack_swe_loss_m,m,AVAILABLE,14.932109718105664,14.932109718105664,12.696976698301807,13.557378939596092,0.0,-2.2351330198038575,-1.3747307785095728,0.8604022412942847
harvard_hardwood,INDEPENDENT_VALIDATION,total_refreeze_m,m,AVAILABLE,0.0049012963895154,0.727921066856429,0.6944970522901168,0.9620345191490299,0.7230197704669136,0.6895957559006014,0.9571332227595145,-0.45548230360800046
harvard_hardwood,INDEPENDENT_VALIDATION,median_disappearance_dowy,day_of_water_year,AVAILABLE,177.0,177.0,174.0,175.0,0.0,-3.0,-2.0,1.0
harvard_hardwood,INDEPENDENT_VALIDATION,median_runoff_centroid_dowy,day_of_water_year,AVAILABLE,97.0,97.0,89.0,91.5,0.0,-8.0,-5.5,2.5
marcell_conifer,INDEPENDENT_VALIDATION,mean_swe_m,m,AVAILABLE,0.019186901847158034,0.019186901847158034,0.014173611985467826,0.016743961247315472,0.0,-0.005013289861690208,-0.002442940599842562,0.002570349261847644
marcell_conifer,INDEPENDENT_VALIDATION,peak_swe_m,m,AVAILABLE,0.2112908337260538,0.2112908337260538,0.1756564199804923,0.19569173221709982,0.0,-0.035634413745561505,-0.015599101508953994,0.02003531223660751
marcell_conifer,INDEPENDENT_VALIDATION,mean_depth_m,m,AVAILABLE,0.08988675643303463,0.08988675643303463,0.0680602404817596,0.08004779770176398,0.0,-0.021826515951275036,-0.00983895873127065,0.011987557220004386
