year,archive,contact,project,type,size,lat,long,obs.exp,treatment,treat.year,tract,site,plot,nbasket,bask.area,foliar.gcm2,nonfoliar.gcm2,total.gcm2,notes
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B2,3,0.1295,141.3217503,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B3,3,0.1295,134.3500644,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B4,3,0.1295,146.5006435,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B5,3,0.1295,117.9407979,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C1,3,0.1295,154.5122265,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C2,3,0.1295,144.1389961,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C3,3,0.1295,149.027027,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C4,3,0.1295,123.9253539,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C5,3,0.1295,147.048906,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D1,3,0.1295,132.1621622,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D2,3,0.1295,141.98713,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D3,3,0.1295,125.5984556,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D4,3,0.1295,149.5842986,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D5,3,0.1295,142.5070785,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E1,3,0.1295,132.8558559,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E2,3,0.1295,114.1763192,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E3,3,0.1295,122.7709138,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E4,3,0.1295,124.6669241,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E5,3,0.1295,91.05534106,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F1,3,0.1295,134.5160875,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F2,3,0.1295,128.045045,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F3,3,0.1295,121.7940798,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F4,3,0.1295,131.4414414,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F5,3,0.1295,93.69240669,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G1,3,0.1295,84.09137709,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G2,3,0.1295,67.41698842,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G3,3,0.1295,78.41312741,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G4,3,0.1295,81.13642214,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G5,3,0.1295,83.41570142,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H1,3,0.1295,125.7168597,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H2,3,0.1295,91.23552124,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H3,3,0.1295,64.39124839,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H4,3,0.1295,31.90862291,NA,NA,NA
1998,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H5,3,0.1295,84.28056628,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,A1,3,0.1295,174.6975547,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,A2,3,0.1295,126.2277992,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,A3,3,0.1295,143.4375804,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,A4,3,0.1295,124.3281853,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,A5,3,0.1295,177.3745174,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B1,3,0.1295,177.1750322,NA,NA,doy.229 1999 one basket contained birds' nests that had been built in the traps
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B2,3,0.1295,192.4555985,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B3,3,0.1295,104.2741313,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B4,3,0.1295,175.6177606,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,B5,3,0.1295,144.1904762,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C1,3,0.1295,153.5881596,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C2,3,0.1295,139.4378378,NA,NA,doy.229 1999 one basket contained birds' nests that had been built in the traps
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C3,3,0.1295,158.4491634,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C4,3,0.1295,173.2638353,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C5,3,0.1295,172.8120978,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D1,3,0.1295,149.007722,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D2,3,0.1295,151.9382239,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D3,3,0.1295,146.5495495,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D4,3,0.1295,123.4800515,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D5,3,0.1295,181.5341055,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E1,3,0.1295,139.7683398,NA,NA,doy.229 1999 one basket contained birds' nests that had been built in the traps
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E2,3,0.1295,161.034749,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E3,3,0.1295,120.032175,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E4,3,0.1295,150.1106821,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E5,3,0.1295,135.3552124,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F1,3,0.1295,167.8996139,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F2,3,0.1295,144.5804376,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F3,3,0.1295,122.6061776,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F4,3,0.1295,183.3371943,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F5,3,0.1295,118.367825,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G1,3,0.1295,185.7940798,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G2,3,0.1295,92.3976834,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G3,3,0.1295,80.01287001,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G4,3,0.1295,121.1196911,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G5,3,0.1295,118.0785071,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H1,3,0.1295,148.7734878,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H2,3,0.1295,109.2857143,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H3,3,0.1295,65.5984556,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H4,3,0.1295,30.18532819,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H5,3,0.1295,103.2226512,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,X1,3,0.1295,103.7052767,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,X2,3,0.1295,110.3397683,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,X3,3,0.1295,102.9176319,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,X4,3,0.1295,95.66151866,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,X5,3,0.1295,115.6795367,NA,NA,NA
1999,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,X6,3,0.1295,85.66666667,NA,NA,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,A1,3,0.1295,141.7387387,15.91505792,157.6537967,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,A2,3,0.1295,156.6048906,101.6782497,258.2831403,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,A3,3,0.1295,110.048906,33.45559846,143.5045045,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,A4,3,0.1295,90.81595882,19.45045045,110.2664093,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,A5,3,0.1295,87.2960103,6.001287001,93.2972973,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B1,3,0.1295,160.2509653,16.77734878,177.028314,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B2,3,0.1295,124.8468468,14.61261261,139.4594595,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B3,3,0.1295,131.01287,40.66924067,171.6821107,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B4,3,0.1295,137.6190476,9.64993565,147.2689833,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,B5,3,0.1295,84.7992278,6.312741313,91.11196911,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C1,3,0.1295,129.8507079,26.19047619,156.041184,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C2,3,0.1295,149.4015444,106.7709138,256.1724582,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C3,3,0.1295,163.5765766,7.227799228,170.8043758,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C4,3,0.1295,94.9009009,57.63063063,152.5315315,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C5,3,0.1295,137.7915058,12.87001287,150.6615187,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D1,3,0.1295,147.0566281,22.3989704,169.4555985,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D2,3,0.1295,150.2239382,20.12870013,170.3526384,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D3,3,0.1295,97.62419562,19.85328185,117.4774775,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D4,3,0.1295,134.0939511,13.54311454,147.6370656,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D5,3,0.1295,129.4195624,21.90733591,151.3268983,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E1,3,0.1295,143.5585586,63.26126126,206.8198198,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E2,3,0.1295,127.1518662,40.42728443,167.5791506,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E3,3,0.1295,139.1685972,40.55727156,179.7258687,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E4,3,0.1295,140.5804376,60.4993565,201.0797941,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E5,3,0.1295,120.6525097,59.65637066,180.3088803,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F1,3,0.1295,144.3449163,33.51222651,177.8571429,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F2,3,0.1295,133.9498069,28.88674389,162.8365508,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F3,3,0.1295,115.5830116,15.4980695,131.0810811,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F4,3,0.1295,131.4208494,46.85714286,178.2779923,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F5,3,0.1295,159.8391248,50.58172458,210.4208494,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G1,3,0.1295,127.1891892,43.42985843,170.6190476,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G2,3,0.1295,67.95109395,60.4028314,128.3539254,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G4,3,0.1295,73.1029601,14.16216216,87.26512227,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G5,3,0.1295,109.1003861,24.8030888,133.9034749,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H1,3,0.1295,122.014157,46.07850708,168.0926641,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H2,3,0.1295,83.60617761,31.55469755,115.1608752,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H5,3,0.1295,91.48391248,48.80952381,140.2934363,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,X1,3,0.1295,107.4543115,13.87387387,121.3281853,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,X2,3,0.1295,106.7065637,14.61518662,121.3217503,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,X3,3,0.1295,67.03861004,9.898326898,76.93693694,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,X4,3,0.1295,53.40669241,33.24967825,86.65637066,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,X5,3,0.1295,97.64092664,6.962676963,104.6036036,NA
2000,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,exp,harvest,2001,PH,harv,X6,3,0.1295,71.09009009,23.17117117,94.26126126,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,A1,3,0.1295,185.4504505,13.33204633,198.7824968,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,A2,3,0.1295,178.1518662,112.1209781,290.2728443,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,A3,3,0.1295,149.1364221,64.09395109,213.2303732,NA
2001,hf069,munger,ems,hardwood,706.8583,42.54,-72.17,exp,harvest,2001,PH,harv,A4,3,0.1295,89.01287001,5.243243243,94.25611326,NA
2001,hf069,munger,ems,hardwood,706.8583,42.54,-72.17,exp,harvest,2001,PH,harv,A5,3,0.1295,109.5727156,3.487773488,113.0604891,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B1,3,0.1295,174.7387387,34.16731017,208.9060489,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B2,3,0.1295,197.6061776,67.17117117,264.7773488,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B3,3,0.1295,144.9124839,100.5019305,245.4144144,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B4,3,0.1295,127.1274131,33.6036036,160.7310167,NA
2001,hf069,munger,ems,hardwood,706.8583,42.54,-72.17,exp,harvest,2001,PH,harv,B5,3,0.1295,112.4285714,118.9214929,231.3500644,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C1,3,0.1295,151.8442728,45.41570142,197.2599743,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C2,3,0.1295,139.4131274,68.07207207,207.4851995,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C3,3,0.1295,170.3616474,6.845559846,177.2072072,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C4,3,0.1295,117.9073359,66.19176319,184.0990991,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C5,3,0.1295,158.7052767,57.37451737,216.0797941,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D1,3,0.1295,130.6177606,80.30888031,210.9266409,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D2,3,0.1295,111.4092664,38.82239382,150.2316602,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D3,3,0.1295,155.4272844,32.04633205,187.4736165,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D4,3,0.1295,128.0926641,6.314028314,134.4066924,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D5,3,0.1295,167.1724582,9.503217503,176.6756757,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E1,3,0.1295,149.6988417,62.77477477,212.4736165,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E2,3,0.1295,155.7760618,35.47747748,191.2535393,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E3,3,0.1295,119.8391248,65.05405405,184.8931789,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E4,3,0.1295,223.5315315,27.63449163,251.1660232,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,E5,3,0.1295,115.5186615,39.21879022,154.7374517,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F1,3,0.1295,132.024453,28.02831403,160.0527671,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F2,3,0.1295,144.6537967,67.37194337,212.02574,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F3,3,0.1295,130.6846847,33.72329472,164.4079794,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F4,3,0.1295,147.3140283,96.44787645,243.7619048,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,F5,3,0.1295,129.7631918,34.90604891,164.6692407,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G1,3,0.1295,149.8211068,57.64350064,207.4646075,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G2,3,0.1295,104.3474903,46.55984556,150.9073359,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G4,3,0.1295,65.64864865,1.985842986,67.63449163,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,G5,3,0.1295,116.2458172,45.17503218,161.4208494,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H1,3,0.1295,150.5173745,41.26512227,191.7824968,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H2,3,0.1295,120.8211068,38.66537967,159.4864865,NA
2001,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,H5,3,0.1295,87.53796654,27.93050193,115.4684685,NA
2001,hf069,munger,ems,hardwood,706.8583,42.54,-72.17,exp,harvest,2001,PH,harv,X1,2.4,0.1295,105.0682111,15.11454311,120.1827542,NA
2001,hf069,munger,ems,hardwood,706.8583,42.54,-72.17,exp,harvest,2001,PH,harv,X2,3,0.1295,70.5032175,35.31917632,105.8223938,NA
2001,hf069,munger,ems,hardwood,706.8583,42.54,-72.17,exp,harvest,2001,PH,harv,X3,3,0.1295,64.58429858,7.720720721,72.30501931,NA
2001,hf069,munger,ems,hardwood,706.8583,42.54,-72.17,exp,harvest,2001,PH,harv,X4,3,0.1295,112.8249678,6.768339768,119.5933076,NA
2001,hf069,munger,ems,hardwood,706.8583,42.54,-72.17,exp,harvest,2001,PH,harv,X5,3,0.1295,54.96010296,8.24967825,63.20978121,NA
2001,hf069,munger,ems,hardwood,706.8583,42.54,-72.17,exp,harvest,2001,PH,harv,X6,3,0.1295,108.8468468,2.447876448,111.2947233,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,A1,3,0.1295,153.8801802,86.83521236,240.7153925,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,A2,3,0.1295,135.5518662,34.95688546,170.5087516,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,A3,3,0.1295,138.8671815,73.79253539,212.6597169,NA
2002,hf069,munger,ems,hardwood,706.8583,42.54,-72.17,exp,harvest,2001,PH,harv,A4,3,0.1295,105.8810811,32.86422136,138.7453024,NA
2002,hf069,munger,ems,hardwood,706.8583,42.54,-72.17,exp,harvest,2001,PH,harv,A5,3,0.1295,99.17501931,22.72072072,121.89574,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B1,3,0.1295,166.8953668,44.95907336,211.8544402,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B2,3,0.1295,104.2543115,51.68047619,155.9347876,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B3,3,0.1295,158.4253539,44.80939511,203.234749,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,B4,3,0.1295,148.0633205,41.87258687,189.9359073,NA
2002,hf069,munger,ems,hardwood,706.8583,42.54,-72.17,exp,harvest,2001,PH,harv,B5,3,0.1295,109.4496782,54.84504505,164.2947233,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C1,3,0.1295,151.2732304,28.32741313,179.6006435,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C2,3,0.1295,155.6317889,101.0566667,256.6884556,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C3,3,0.1295,113.1751609,20.61055341,133.7857143,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C4,3,0.1295,128.2432432,86.4954955,214.7387387,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,C5,3,0.1295,152.016731,32.83783784,184.8545689,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D1,3,0.1295,109.8099099,58.02213642,167.8320463,NA
2002,hf069,munger,ems,hardwood,314.1593,42.54,-72.17,obs,NA,NA,PH,ems,D2,3,0.1295,162.175547,77.36422136,239.5397683,NA
