year,project,archive,contact,type,plot,lat,long,obs.exp,treatment,treat.year,tract,transect,distance.m,size.class,count,d2q,a,dens,volume,mass
2013,phveg,hf271,barker.plotkin,AcerBetula,27,42.55108844,-72.17114386,obs,NA,NA,prospect hill,2,3,1,10,0.000172,1.11,0.39,0.000785079,306.1807905
2013,phveg,hf271,barker.plotkin,AcerBetula,28,42.55125549,-72.17210652,obs,NA,NA,prospect hill,1,3,2,4,0.001758,1.03,0.342,0.002978366,1018.601004
2013,phveg,hf271,barker.plotkin,AcerBetula,28,42.55125549,-72.17210652,obs,NA,NA,prospect hill,1,3,1,14,0.000172,1.11,0.39,0.001099111,428.6531067
2013,phveg,hf271,barker.plotkin,AcerBetula,28,42.55125549,-72.17210652,obs,NA,NA,prospect hill,2,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,28,42.55125549,-72.17210652,obs,NA,NA,prospect hill,2,3,1,9,0.000172,1.11,0.39,0.000706571,275.5627115
2013,phveg,hf271,barker.plotkin,Pinus,30,42.52826644,-72.18416146,obs,NA,NA,prospect hill,1,3,1,0,0.000187,1.13,0.397,0,0
2013,phveg,hf271,barker.plotkin,Quercus,30,42.52826644,-72.18416146,obs,NA,NA,prospect hill,1,3,2,0,0.001735,1.03,0.444,0,0
2013,phveg,hf271,barker.plotkin,Pinus,30,42.52826644,-72.18416146,obs,NA,NA,prospect hill,2,3,1,0,0.000187,1.13,0.397,0,0
2013,phveg,hf271,barker.plotkin,Quercus,30,42.52826644,-72.18416146,obs,NA,NA,prospect hill,2,3,2,0,0.001735,1.03,0.444,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,32,42.52851371,-72.18034199,obs,NA,NA,prospect hill,1,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,32,42.52851371,-72.18034199,obs,NA,NA,prospect hill,1,3,1,6,0.000172,1.11,0.39,0.000471047,183.7084743
2013,phveg,hf271,barker.plotkin,AcerBetula,32,42.52851371,-72.18034199,obs,NA,NA,prospect hill,2,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,32,42.52851371,-72.18034199,obs,NA,NA,prospect hill,2,3,1,6,0.000172,1.11,0.39,0.000471047,183.7084743
2013,phveg,hf271,barker.plotkin,AcerBetula,40,42.53160596,-72.18168729,obs,NA,NA,prospect hill,1,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,40,42.53160596,-72.18168729,obs,NA,NA,prospect hill,1,3,1,5,0.000172,1.11,0.39,0.000392539,153.0903953
2013,phveg,hf271,barker.plotkin,AcerBetula,40,42.53160596,-72.18168729,obs,NA,NA,prospect hill,2,3,2,0,0.001758,1.03,0.342,0,0
