arm_id,site,day,month,year,precipitation_mm,runoff_mm,sediment_delivery_kg_m
santee_constant,SANTEE,17,7,13,57.3,30.4,0.0
santee_constant,SANTEE,10,9,13,68.1,27.2,0.0
santee_constant,SANTEE,13,6,14,90.4,50.3,0.0
santee_constant,SANTEE,14,6,14,24.9,3.5,0.0
santee_constant,SANTEE,20,6,14,66.7,23.9,0.0
santee_constant,SANTEE,28,6,14,70.4,21.4,0.0
santee_constant,SANTEE,3,9,14,62.6,2.6,0.0
santee_constant,SANTEE,26,9,14,71.1,40.4,0.0
santee_constant,SANTEE,21,1,15,48.3,22.2,0.0
santee_constant,SANTEE,28,3,15,59.9,12.5,0.0
santee_constant,SANTEE,31,3,15,39.6,3.5,0.0
santee_constant,SANTEE,15,10,15,62.3,13.9,0.0
santee_constant,SANTEE,9,12,15,68.3,15.7,0.0
santee_constant,SANTEE,27,8,16,68.4,13.4,0.0
santee_constant,SANTEE,30,8,16,92.9,42.8,0.0
santee_constant,SANTEE,2,10,16,62.2,19.8,0.0
santee_constant,SANTEE,1,12,16,67.5,17.1,0.0
santee_constant,SANTEE,3,8,17,53.1,0.8,0.0
santee_constant,SANTEE,20,11,17,50.8,0.1,0.0
santee_constant,SANTEE,27,11,17,45.5,1.9,0.0
santee_constant,SANTEE,18,6,18,50.7,0.3,0.0
santee_constant,SANTEE,1,7,18,52.4,14.1,0.0
santee_constant,SANTEE,19,8,18,81.1,40.7,0.0
santee_constant,SANTEE,20,8,18,58.1,35.3,0.0
santee_constant,SANTEE,21,9,18,78.0,32.2,0.0
santee_constant,SANTEE,10,2,19,44.6,8.2,0.0
santee_constant,SANTEE,12,6,19,74.2,39.4,0.0
santee_constant,SANTEE,14,7,19,45.3,10.0,0.0
santee_constant,SANTEE,16,7,19,53.3,13.8,0.0
santee_constant,SANTEE,16,1,20,55.6,13.1,0.0
santee_constant,SANTEE,29,7,20,71.2,37.0,0.0
santee_constant,SANTEE,11,9,20,52.9,3.0,0.0
santee_constant,SANTEE,3,6,21,70.5,13.6,0.0
santee_constant,SANTEE,2,1,22,62.3,9.8,0.0
santee_constant,SANTEE,4,6,22,99.1,47.9,0.0
santee_constant,SANTEE,11,9,22,100.8,42.8,0.0
santee_constant,SANTEE,8,2,23,51.5,0.3,0.0
santee_constant,SANTEE,6,8,23,51.4,17.9,0.0
santee_constant,SANTEE,22,9,23,68.7,23.4,0.0
santee_constant,SANTEE,23,9,23,97.3,74.7,0.0
santee_constant,SANTEE,15,5,24,68.2,8.5,0.0
santee_constant,SANTEE,22,7,24,61.2,13.7,0.0
santee_constant,SANTEE,9,6,25,50.0,6.2,0.0
santee_constant,SANTEE,31,8,25,30.4,1.4,0.0
santee_constant,SANTEE,23,9,25,56.1,5.3,0.0
santee_constant,SANTEE,20,11,25,51.8,1.2,0.0
santee_constant,SANTEE,9,3,26,70.1,19.9,0.0
santee_constant,SANTEE,31,5,26,66.5,35.1,0.0
