target_id,arm_id,quantity,reported_value,reconstructed_value,unit,tolerance,classification
SEF-RUN-RP-017,santee_mixed,daily_runoff_return_level,152.0,137.2,mm,7.6000000000000005,CONTRADICTED
HB-PEAK-RP-001,hubbard_constant,peak_runoff_rate_return_level,0.1,0.0,mm/h,1.0,PASS_BOUNDED
HB-PEAK-RP-002,hubbard_hardwood_095,peak_runoff_rate_return_level,0.1,0.0,mm/h,1.0,PASS_BOUNDED
SEF-PEAK-RP-001,santee_constant,peak_runoff_rate_return_level,22.0,14.162,mm/h,1.1,CONTRADICTED
SEF-PEAK-RP-002,santee_mixed,peak_runoff_rate_return_level,18.0,21.163,mm/h,1.0,CONTRADICTED
HB-PEAK-RP-003,hubbard_constant,peak_runoff_rate_return_level,3.0,2.368,mm/h,1.0,PASS_BOUNDED
HB-PEAK-RP-004,hubbard_hardwood_095,peak_runoff_rate_return_level,3.0,2.57,mm/h,1.0,PASS_BOUNDED
SEF-PEAK-RP-003,santee_constant,peak_runoff_rate_return_level,31.0,36.612,mm/h,1.55,CONTRADICTED
SEF-PEAK-RP-004,santee_mixed,peak_runoff_rate_return_level,27.0,37.622,mm/h,1.35,CONTRADICTED
HB-PEAK-RP-005,hubbard_constant,peak_runoff_rate_return_level,6.0,4.214,mm/h,1.0,CONTRADICTED
HB-PEAK-RP-006,hubbard_hardwood_095,peak_runoff_rate_return_level,19.0,5.322,mm/h,1.0,CONTRADICTED
SEF-PEAK-RP-005,santee_constant,peak_runoff_rate_return_level,48.0,55.185,mm/h,2.4000000000000004,CONTRADICTED
SEF-PEAK-RP-006,santee_mixed,peak_runoff_rate_return_level,43.0,50.959,mm/h,2.15,CONTRADICTED
HB-PEAK-RP-007,hubbard_constant,peak_runoff_rate_return_level,21.0,11.545,mm/h,1.05,CONTRADICTED
HB-PEAK-RP-008,hubbard_hardwood_095,peak_runoff_rate_return_level,45.0,22.36,mm/h,2.25,CONTRADICTED
SEF-PEAK-RP-007,santee_constant,peak_runoff_rate_return_level,55.0,69.92,mm/h,2.75,CONTRADICTED
SEF-PEAK-RP-008,santee_mixed,peak_runoff_rate_return_level,49.0,60.589,mm/h,2.45,CONTRADICTED
HB-PEAK-RP-009,hubbard_constant,peak_runoff_rate_return_level,37.0,14.892,mm/h,1.85,CONTRADICTED
HB-PEAK-RP-010,hubbard_hardwood_095,peak_runoff_rate_return_level,46.0,30.636,mm/h,2.3000000000000003,CONTRADICTED
SEF-PEAK-RP-009,santee_constant,peak_runoff_rate_return_level,56.0,71.863,mm/h,2.8000000000000003,CONTRADICTED
SEF-PEAK-RP-010,santee_mixed,peak_runoff_rate_return_level,52.0,62.383,mm/h,2.6,CONTRADICTED
HB-PEAK-RP-011,hubbard_constant,peak_runoff_rate_return_level,46.0,35.747,mm/h,2.3000000000000003,CONTRADICTED
HB-PEAK-RP-012,hubbard_hardwood_095,peak_runoff_rate_return_level,70.0,92.007,mm/h,3.5,CONTRADICTED
SEF-PEAK-RP-011,santee_constant,peak_runoff_rate_return_level,71.0,91.901,mm/h,3.5500000000000003,CONTRADICTED
SEF-PEAK-RP-012,santee_mixed,peak_runoff_rate_return_level,62.0,88.101,mm/h,3.1,CONTRADICTED
