result_id,design_id,stage_member_id,evidence_role,operand_values,observation_or_truth,objective_components,objective,sensitivity,boundary_flags,failure,accepted_or_recovered,equifinal_set,evidence
REC-BFBS-1-3,REC-BFBS-01,RESULT-TEMPLATE-REC-BFBS,ASSUMED_FOR_EXECUTION,Bf=0.10;Bs=0.20,Bf=0.20;Bs=0.10,native_mature_total_squared_error=0.000000000000,0.000000000000,d_objective_d_Bf=-0.000000000;d_objective_d_Bs=-0.000000000,ENUMERATION_BOUNDARY,NONE,RECOVERED_EQUIFINAL,sum=0.30,NATIVE_FOREST_SYNTHETIC_OPERATOR
REC-BFBS-2-1,REC-BFBS-01,RESULT-TEMPLATE-REC-BFBS,ASSUMED_FOR_EXECUTION,Bf=0.20;Bs=0.00,Bf=0.20;Bs=0.10,native_mature_total_squared_error=0.010000000000,0.010000000000,d_objective_d_Bf=-0.200000000;d_objective_d_Bs=-0.199999000,ENUMERATION_BOUNDARY,NONE,REJECTED,sum=0.30,NATIVE_FOREST_SYNTHETIC_OPERATOR
REC-BFBS-2-2,REC-BFBS-01,RESULT-TEMPLATE-REC-BFBS,ASSUMED_FOR_EXECUTION,Bf=0.20;Bs=0.10,Bf=0.20;Bs=0.10,native_mature_total_squared_error=0.000000000000,0.000000000000,d_objective_d_Bf=-0.000000000;d_objective_d_Bs=-0.000000000,INTERIOR,NONE,RECOVERED_EQUIFINAL,sum=0.30,NATIVE_FOREST_SYNTHETIC_OPERATOR
REC-BFBS-2-3,REC-BFBS-01,RESULT-TEMPLATE-REC-BFBS,ASSUMED_FOR_EXECUTION,Bf=0.20;Bs=0.20,Bf=0.20;Bs=0.10,native_mature_total_squared_error=0.010000000000,0.010000000000,d_objective_d_Bf=0.200000000;d_objective_d_Bs=0.200000000,INTERIOR,NONE,REJECTED,sum=0.30,NATIVE_FOREST_SYNTHETIC_OPERATOR
REC-BFBS-3-1,REC-BFBS-01,RESULT-TEMPLATE-REC-BFBS,ASSUMED_FOR_EXECUTION,Bf=0.30;Bs=0.00,Bf=0.20;Bs=0.10,native_mature_total_squared_error=0.000000000000,0.000000000000,d_objective_d_Bf=-0.000000000;d_objective_d_Bs=0.000001000,ENUMERATION_BOUNDARY,NONE,RECOVERED_EQUIFINAL,sum=0.30,NATIVE_FOREST_SYNTHETIC_OPERATOR
REC-BFBS-3-2,REC-BFBS-01,RESULT-TEMPLATE-REC-BFBS,ASSUMED_FOR_EXECUTION,Bf=0.30;Bs=0.10,Bf=0.20;Bs=0.10,native_mature_total_squared_error=0.010000000000,0.010000000000,d_objective_d_Bf=0.200000000;d_objective_d_Bs=0.200000000,ENUMERATION_BOUNDARY,NONE,REJECTED,sum=0.30,NATIVE_FOREST_SYNTHETIC_OPERATOR
REC-BFBS-3-3,REC-BFBS-01,RESULT-TEMPLATE-REC-BFBS,ASSUMED_FOR_EXECUTION,Bf=0.30;Bs=0.20,Bf=0.20;Bs=0.10,native_mature_total_squared_error=0.040000000000,0.040000000000,d_objective_d_Bf=0.400000000;d_objective_d_Bs=0.400000000,ENUMERATION_BOUNDARY,NONE,REJECTED,sum=0.30,NATIVE_FOREST_SYNTHETIC_OPERATOR
INVALID-BFBS-NONPOSITIVE-BF,REC-BFBS-01,INVALID-CASE,TYPED_FAILURE,invalid_native_parameters,not_applicable,expected_native_error,NaN,not_applicable,INVALID,summer_foliar_biomass_kg_m2 is outside its domain,EXPECTED_TYPED_FAILURE,not_applicable,NATIVE_FOREST_TYPED_ERROR
INVALID-BFBS-NEGATIVE-BS,REC-BFBS-01,INVALID-CASE,TYPED_FAILURE,invalid_native_parameters,not_applicable,expected_native_error,NaN,not_applicable,INVALID,structural_biomass_kg_m2 is outside its domain,EXPECTED_TYPED_FAILURE,not_applicable,NATIVE_FOREST_TYPED_ERROR
REC-FE-1,REC-FE-01,RESULT-TEMPLATE-REC-FE,ASSUMED_FOR_EXECUTION,fe=0.00,fe=0.50;days=365,daily_native_foliar_activity_SSE=34.218750000000,34.218750000000,d_objective_d_fe=-136.874863124;method=FORWARD_BOUNDARY,ENUMERATION_BOUNDARY,NONE,REJECTED,fe=0.50,NATIVE_COMPLETE_DAILY_TRACE
REC-FE-2,REC-FE-01,RESULT-TEMPLATE-REC-FE,ASSUMED_FOR_EXECUTION,fe=0.25,fe=0.50;days=365,daily_native_foliar_activity_SSE=8.554687500000,8.554687500000,d_objective_d_fe=-68.437499998;method=CENTRAL,INTERIOR,NONE,REJECTED,fe=0.50,NATIVE_COMPLETE_DAILY_TRACE
REC-FE-3,REC-FE-01,RESULT-TEMPLATE-REC-FE,ASSUMED_FOR_EXECUTION,fe=0.50,fe=0.50;days=365,daily_native_foliar_activity_SSE=0.000000000000,0.000000000000,d_objective_d_fe=0.000000000;method=CENTRAL,INTERIOR,NONE,RECOVERED,fe=0.50,NATIVE_COMPLETE_DAILY_TRACE
REC-FE-4,REC-FE-01,RESULT-TEMPLATE-REC-FE,ASSUMED_FOR_EXECUTION,fe=0.75,fe=0.50;days=365,daily_native_foliar_activity_SSE=8.554687500000,8.554687500000,d_objective_d_fe=68.437500006;method=CENTRAL,INTERIOR,NONE,REJECTED,fe=0.50,NATIVE_COMPLETE_DAILY_TRACE
REC-FE-5,REC-FE-01,RESULT-TEMPLATE-REC-FE,ASSUMED_FOR_EXECUTION,fe=1.00,fe=0.50;days=365,daily_native_foliar_activity_SSE=34.218750000000,34.218750000000,d_objective_d_fe=136.874863124;method=BACKWARD_BOUNDARY,ENUMERATION_BOUNDARY,NONE,REJECTED,fe=0.50,NATIVE_COMPLETE_DAILY_TRACE
INVALID-FE-ABOVE-ONE,REC-FE-01,INVALID-CASE,TYPED_FAILURE,invalid_native_parameters,not_applicable,expected_native_error,NaN,not_applicable,INVALID,invalid GSI authority or forcing: evergreen_fraction must be within [0; 1],EXPECTED_TYPED_FAILURE,not_applicable,NATIVE_FOREST_TYPED_ERROR
EMP-LAI-1,EMP-LAI-01,RESULT-TEMPLATE-EMP-LAI,CONDITIONAL_MATURE_LAI_CONSTRAINT,xmxlai=3.50,admitted_closed_interval_3.5_8.0,closed_interval_distance=0.000000000000,0.000000000000,d_native_mature_LAI_d_xmxlai=1.000000000,OBSERVED_EXTREMUM_NOT_PHYSIOLOGICAL_BOUND,NONE,RETAINED_CONDITIONAL_RANGE,3.5_to_8.0,CAL03-OBS-HB-005_CONDITIONAL_NATIVE_OPERATOR
REC-LAI-1,REC-LAI-01,RESULT-TEMPLATE-REC-LAI,ASSUMED_FOR_EXECUTION,xmxlai=3.50,xmxlai=6.00;days=365,daily_native_LAI_SSE=1354.492187500000,1354.492187500000,d_objective_d_xmxlai=-1083.593750423;method=CENTRAL,ENUMERATION_BOUNDARY,NONE,REJECTED,xmxlai=6.00,NATIVE_COMPLETE_DAILY_TRACE
EMP-LAI-2,EMP-LAI-01,RESULT-TEMPLATE-EMP-LAI,CONDITIONAL_MATURE_LAI_CONSTRAINT,xmxlai=4.00,admitted_closed_interval_3.5_8.0,closed_interval_distance=0.000000000000,0.000000000000,d_native_mature_LAI_d_xmxlai=1.000000000,INTERIOR,NONE,RETAINED_CONDITIONAL_RANGE,3.5_to_8.0,CAL03-OBS-HB-005_CONDITIONAL_NATIVE_OPERATOR
REC-LAI-2,REC-LAI-01,RESULT-TEMPLATE-REC-LAI,ASSUMED_FOR_EXECUTION,xmxlai=4.00,xmxlai=6.00;days=365,daily_native_LAI_SSE=866.875000000001,866.875000000001,d_objective_d_xmxlai=-866.874999872;method=CENTRAL,INTERIOR,NONE,REJECTED,xmxlai=6.00,NATIVE_COMPLETE_DAILY_TRACE
EMP-LAI-3,EMP-LAI-01,RESULT-TEMPLATE-EMP-LAI,CONDITIONAL_MATURE_LAI_CONSTRAINT,xmxlai=5.00,admitted_closed_interval_3.5_8.0,closed_interval_distance=0.000000000000,0.000000000000,d_native_mature_LAI_d_xmxlai=1.000000000,INTERIOR,NONE,RETAINED_CONDITIONAL_RANGE,3.5_to_8.0,CAL03-OBS-HB-005_CONDITIONAL_NATIVE_OPERATOR
REC-LAI-3,REC-LAI-01,RESULT-TEMPLATE-REC-LAI,ASSUMED_FOR_EXECUTION,xmxlai=5.00,xmxlai=6.00;days=365,daily_native_LAI_SSE=216.718750000000,216.718750000000,d_objective_d_xmxlai=-433.437500021;method=CENTRAL,INTERIOR,NONE,REJECTED,xmxlai=6.00,NATIVE_COMPLETE_DAILY_TRACE
EMP-LAI-4,EMP-LAI-01,RESULT-TEMPLATE-EMP-LAI,CONDITIONAL_MATURE_LAI_CONSTRAINT,xmxlai=6.00,admitted_closed_interval_3.5_8.0,closed_interval_distance=0.000000000000,0.000000000000,d_native_mature_LAI_d_xmxlai=1.000000000,INTERIOR,NONE,RETAINED_CONDITIONAL_RANGE,3.5_to_8.0,CAL03-OBS-HB-005_CONDITIONAL_NATIVE_OPERATOR
REC-LAI-4,REC-LAI-01,RESULT-TEMPLATE-REC-LAI,ASSUMED_FOR_EXECUTION,xmxlai=6.00,xmxlai=6.00;days=365,daily_native_LAI_SSE=0.000000000000,0.000000000000,d_objective_d_xmxlai=0.000000000;method=CENTRAL,INTERIOR,NONE,RECOVERED,xmxlai=6.00,NATIVE_COMPLETE_DAILY_TRACE
EMP-LAI-5,EMP-LAI-01,RESULT-TEMPLATE-EMP-LAI,CONDITIONAL_MATURE_LAI_CONSTRAINT,xmxlai=7.00,admitted_closed_interval_3.5_8.0,closed_interval_distance=0.000000000000,0.000000000000,d_native_mature_LAI_d_xmxlai=1.000000000,INTERIOR,NONE,RETAINED_CONDITIONAL_RANGE,3.5_to_8.0,CAL03-OBS-HB-005_CONDITIONAL_NATIVE_OPERATOR
REC-LAI-5,REC-LAI-01,RESULT-TEMPLATE-REC-LAI,ASSUMED_FOR_EXECUTION,xmxlai=7.00,xmxlai=6.00;days=365,daily_native_LAI_SSE=216.718750000000,216.718750000000,d_objective_d_xmxlai=433.437500064;method=CENTRAL,INTERIOR,NONE,REJECTED,xmxlai=6.00,NATIVE_COMPLETE_DAILY_TRACE
EMP-LAI-6,EMP-LAI-01,RESULT-TEMPLATE-EMP-LAI,CONDITIONAL_MATURE_LAI_CONSTRAINT,xmxlai=8.00,admitted_closed_interval_3.5_8.0,closed_interval_distance=0.000000000000,0.000000000000,d_native_mature_LAI_d_xmxlai=1.000000000,OBSERVED_EXTREMUM_NOT_PHYSIOLOGICAL_BOUND,NONE,RETAINED_CONDITIONAL_RANGE,3.5_to_8.0,CAL03-OBS-HB-005_CONDITIONAL_NATIVE_OPERATOR
REC-LAI-6,REC-LAI-01,RESULT-TEMPLATE-REC-LAI,ASSUMED_FOR_EXECUTION,xmxlai=8.00,xmxlai=6.00;days=365,daily_native_LAI_SSE=866.875000000001,866.875000000001,d_objective_d_xmxlai=866.874999872;method=CENTRAL,ENUMERATION_BOUNDARY,NONE,REJECTED,xmxlai=6.00,NATIVE_COMPLETE_DAILY_TRACE
INVALID-LAI-NONPOSITIVE,REC-LAI-01,INVALID-CASE,TYPED_FAILURE,invalid_native_parameters,not_applicable,expected_native_error,NaN,not_applicable,INVALID,maximum_leaf_area_index is outside its domain,EXPECTED_TYPED_FAILURE,not_applicable,NATIVE_FOREST_TYPED_ERROR
REC-CSBB-1,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.00;bb=1.00,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=54.176407665860,54.176407665860,d_objective_d_Cs=0.000000000;method_Cs=FORWARD_BOUNDARY;d_objective_d_bb=-36.693220508;method_bb=FORWARD_BOUNDARY,ENUMERATION_BOUNDARY,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-2,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.00;bb=2.50,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=16.329333581532,16.329333581532,d_objective_d_Cs=0.000000000;method_Cs=FORWARD_BOUNDARY;d_objective_d_bb=-15.814303888;method_bb=CENTRAL,ENUMERATION_BOUNDARY,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-3,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.00;bb=5.00,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=0.000000000000,0.000000000000,d_objective_d_Cs=0.000000000;method_Cs=FORWARD_BOUNDARY;d_objective_d_bb=-0.000000000;method_bb=CENTRAL,ENUMERATION_BOUNDARY,NONE,RECOVERED_EQUIFINAL,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-4,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.00;bb=10.00,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=21.472351103361,21.472351103361,d_objective_d_Cs=0.000000000;method_Cs=FORWARD_BOUNDARY;d_objective_d_bb=5.800493962;method_bb=BACKWARD_BOUNDARY,ENUMERATION_BOUNDARY,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-5,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.20;bb=1.00,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=40.023475273651,40.023475273651,d_objective_d_Cs=-233.763402324;method_Cs=CENTRAL;d_objective_d_bb=0.000000000;method_bb=FORWARD_BOUNDARY,ENUMERATION_BOUNDARY,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-6,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.20;bb=2.50,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=16.329333581532,16.329333581532,d_objective_d_Cs=0.000000000;method_Cs=CENTRAL;d_objective_d_bb=-15.814303888;method_bb=CENTRAL,INTERIOR,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-7,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.20;bb=5.00,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=0.000000000000,0.000000000000,d_objective_d_Cs=0.000000000;method_Cs=CENTRAL;d_objective_d_bb=-0.000000000;method_bb=CENTRAL,INTERIOR,NONE,RECOVERED_EQUIFINAL,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-8,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.20;bb=10.00,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=21.472351103361,21.472351103361,d_objective_d_Cs=0.000000000;method_Cs=CENTRAL;d_objective_d_bb=5.800493962;method_bb=BACKWARD_BOUNDARY,ENUMERATION_BOUNDARY,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-9,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.50;bb=1.00,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=2.744454575711,2.744454575711,d_objective_d_Cs=-14.763402326;method_Cs=CENTRAL;d_objective_d_bb=0.000000000;method_bb=FORWARD_BOUNDARY,ENUMERATION_BOUNDARY,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-10,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.50;bb=2.50,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=2.744454575711,2.744454575711,d_objective_d_Cs=-14.763402326;method_Cs=CENTRAL;d_objective_d_bb=0.000000000;method_bb=CENTRAL,INTERIOR,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-11,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.50;bb=5.00,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=0.875268225549,0.875268225549,d_objective_d_Cs=20.989724614;method_Cs=CENTRAL;d_objective_d_bb=0.000000000;method_bb=CENTRAL,INTERIOR,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-12,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.50;bb=10.00,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=21.472351103361,21.472351103361,d_objective_d_Cs=0.000000000;method_Cs=CENTRAL;d_objective_d_bb=5.800493962;method_bb=BACKWARD_BOUNDARY,ENUMERATION_BOUNDARY,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-13,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.80;bb=1.00,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=31.165433877770,31.165433877770,d_objective_d_Cs=204.236232694;method_Cs=BACKWARD_BOUNDARY;d_objective_d_bb=0.000000000;method_bb=FORWARD_BOUNDARY,ENUMERATION_BOUNDARY,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-14,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.80;bb=2.50,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=31.165433877770,31.165433877770,d_objective_d_Cs=204.236232694;method_Cs=BACKWARD_BOUNDARY;d_objective_d_bb=0.000000000;method_bb=CENTRAL,ENUMERATION_BOUNDARY,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-15,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.80;bb=5.00,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=31.165433877770,31.165433877770,d_objective_d_Cs=204.236232694;method_Cs=BACKWARD_BOUNDARY;d_objective_d_bb=0.000000000;method_bb=CENTRAL,ENUMERATION_BOUNDARY,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
REC-CSBB-16,REC-CSBB-01,RESULT-TEMPLATE-REC-CSBB,ASSUMED_FOR_EXECUTION,Cs=0.80;bb=10.00,Cs=0.20;bb=5.00;days=365,daily_native_cover_SSE=34.030288302295,34.030288302295,d_objective_d_Cs=143.487914457;method_Cs=BACKWARD_BOUNDARY;d_objective_d_bb=2.151492239;method_bb=BACKWARD_BOUNDARY,ENUMERATION_BOUNDARY,NONE,REJECTED,minimum_tied_pairs,NATIVE_COMPLETE_DAILY_TRACE
INVALID-CS-ABOVE-CAP,REC-CSBB-01,INVALID-CASE,TYPED_FAILURE,invalid_native_parameters,not_applicable,expected_native_error,NaN,not_applicable,INVALID,structural_canopy_cover_fraction is outside its domain,EXPECTED_TYPED_FAILURE,not_applicable,NATIVE_FOREST_TYPED_ERROR
INVALID-BB-NONPOSITIVE,REC-CSBB-01,INVALID-CASE,TYPED_FAILURE,invalid_native_parameters,not_applicable,expected_native_error,NaN,not_applicable,INVALID,canopy_cover_coefficient_m2_kg is outside its domain,EXPECTED_TYPED_FAILURE,not_applicable,NATIVE_FOREST_TYPED_ERROR
