input_id,path,role,expected_sha256,observed_sha256,state
daymet_source_hubbard_HQ_daymet_v4r1_1989_2024,references/canopy_phenology/daymet_calibration/raw/hubbard_HQ_daymet_v4r1_1989_2024.csv,PINNED_DAYMET_SOURCE,788c35f7b3812f2ba016b58ac04e8db95183e8ebcc21d181956a07ba1e71b4b7,788c35f7b3812f2ba016b58ac04e8db95183e8ebcc21d181956a07ba1e71b4b7,PASS
hubbard_gwcoeff_txt,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/gwcoeff.txt,HUBBARD_FULL_FIXTURE,ec23463aad0cd1e3000d68b6af5a1a85a327d4952a239c92efeba060007eb7e8,ec23463aad0cd1e3000d68b6af5a1a85a327d4952a239c92efeba060007eb7e8,PASS
hubbard_manifest_md,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/manifest.md,HUBBARD_FULL_FIXTURE,90ab4d2abd31abbeac634869fb92a11ce4ba6d40c3cd696f721a4b953d33525c,90ab4d2abd31abbeac634869fb92a11ce4ba6d40c3cd696f721a4b953d33525c,PASS
hubbard_p10_cli,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/p10.cli,HUBBARD_FULL_FIXTURE,130c2df000c4885bba09cb294e989364f983b028db84a0dd458a5f5613df9335,130c2df000c4885bba09cb294e989364f983b028db84a0dd458a5f5613df9335,PASS
hubbard_p10_man,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/p10.man,HUBBARD_FULL_FIXTURE,d34fa66829319febcdf14e5cec328d1e423dea9403c8ca49abd60c137f7a7b2c,d34fa66829319febcdf14e5cec328d1e423dea9403c8ca49abd60c137f7a7b2c,PASS
hubbard_p10_man_yaml,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/p10.man.yaml,HUBBARD_FULL_FIXTURE,70c5aff2de0afea86f87ec7adf15e9ad98c7fe5a2ff83e50c63dfb5c5daaaf25,70c5aff2de0afea86f87ec7adf15e9ad98c7fe5a2ff83e50c63dfb5c5daaaf25,PASS
hubbard_p10_native_run_toml,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/p10.native.run.toml,HUBBARD_FULL_FIXTURE,7938bd6fa16614230bf38b02d746ba3d8d2af9ad185bc71f78c659d49c4e1498,7938bd6fa16614230bf38b02d746ba3d8d2af9ad185bc71f78c659d49c4e1498,PASS
hubbard_p10_run,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/p10.run,HUBBARD_FULL_FIXTURE,92f81b51010c6779b0437439098d535c637f2a541c157361ffac987e7188f105,92f81b51010c6779b0437439098d535c637f2a541c157361ffac987e7188f105,PASS
hubbard_p10_slp,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/p10.slp,HUBBARD_FULL_FIXTURE,f6be469b94e4f8b8b5f22d426070a65b0a5742441e64c96ab4aae822f6025716,f6be469b94e4f8b8b5f22d426070a65b0a5742441e64c96ab4aae822f6025716,PASS
hubbard_p10_sol,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/p10.sol,HUBBARD_FULL_FIXTURE,6a08131ee94dda200ceea34163708065e04a46f0081533b3d1818c85de7d4318,6a08131ee94dda200ceea34163708065e04a46f0081533b3d1818c85de7d4318,PASS
hubbard_pmetpara_txt,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/pmetpara.txt,HUBBARD_FULL_FIXTURE,0828f225436e88d8fbca67412e0a9864c1e6545775fb10dffad344a714173005,0828f225436e88d8fbca67412e0a9864c1e6545775fb10dffad344a714173005,PASS
hubbard_snow_txt,tests/fixtures/cancov_forest/hubbardbrook_deciduous_nh/snow.txt,HUBBARD_FULL_FIXTURE,85216000b7c03edad6ab27b02bde39ca8c6c4f7736450e3974d74fd5aa6904ba,85216000b7c03edad6ab27b02bde39ca8c6c4f7736450e3974d74fd5aa6904ba,PASS
