candidate_id,temperature_pair_id,vpd_pair_id,photoperiod_pair_id,minimum_temperature_inactive_c,minimum_temperature_unconstrained_c,vapor_pressure_deficit_unconstrained_pa,vapor_pressure_deficit_inactive_pa,photoperiod_inactive_hours,photoperiod_unconstrained_hours,boundary_class,saturation_flags
GSI-0069,temperature-q00-q05,vpd-q00-q75,photoperiod-q00-q100,-27.520000000,-14.298500000,30.266994000,655.895776750,10.935970516,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0070,temperature-q00-q05,vpd-q00-q75,photoperiod-q05-q25,-27.520000000,-14.298500000,30.266994000,655.895776750,11.239373219,12.478643418,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0071,temperature-q00-q05,vpd-q00-q75,photoperiod-q05-q50,-27.520000000,-14.298500000,30.266994000,655.895776750,11.239373219,13.947157389,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0072,temperature-q00-q05,vpd-q00-q75,photoperiod-q05-q75,-27.520000000,-14.298500000,30.266994000,655.895776750,11.239373219,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0073,temperature-q00-q05,vpd-q00-q75,photoperiod-q05-q95,-27.520000000,-14.298500000,30.266994000,655.895776750,11.239373219,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0074,temperature-q00-q05,vpd-q00-q75,photoperiod-q05-q100,-27.520000000,-14.298500000,30.266994000,655.895776750,11.239373219,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0075,temperature-q00-q05,vpd-q00-q75,photoperiod-q25-q50,-27.520000000,-14.298500000,30.266994000,655.895776750,12.478643418,13.947157389,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0076,temperature-q00-q05,vpd-q00-q75,photoperiod-q25-q75,-27.520000000,-14.298500000,30.266994000,655.895776750,12.478643418,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0077,temperature-q00-q05,vpd-q00-q75,photoperiod-q25-q95,-27.520000000,-14.298500000,30.266994000,655.895776750,12.478643418,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0078,temperature-q00-q05,vpd-q00-q75,photoperiod-q25-q100,-27.520000000,-14.298500000,30.266994000,655.895776750,12.478643418,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0079,temperature-q00-q05,vpd-q00-q75,photoperiod-q50-q75,-27.520000000,-14.298500000,30.266994000,655.895776750,13.947157389,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0080,temperature-q00-q05,vpd-q00-q75,photoperiod-q50-q95,-27.520000000,-14.298500000,30.266994000,655.895776750,13.947157389,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0081,temperature-q00-q05,vpd-q00-q75,photoperiod-q50-q100,-27.520000000,-14.298500000,30.266994000,655.895776750,13.947157389,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0082,temperature-q00-q05,vpd-q00-q75,photoperiod-q75-q95,-27.520000000,-14.298500000,30.266994000,655.895776750,15.020315923,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0083,temperature-q00-q05,vpd-q00-q75,photoperiod-q75-q100,-27.520000000,-14.298500000,30.266994000,655.895776750,15.020315923,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0084,temperature-q00-q05,vpd-q00-q75,photoperiod-q95-q100,-27.520000000,-14.298500000,30.266994000,655.895776750,15.287745094,15.294208010,DOUBLE_BOUNDARY,photoperiod
GSI-0085,temperature-q00-q05,vpd-q00-q95,photoperiod-q00-q05,-27.520000000,-14.298500000,30.266994000,1100.647927550,10.935970516,11.239373219,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0086,temperature-q00-q05,vpd-q00-q95,photoperiod-q00-q25,-27.520000000,-14.298500000,30.266994000,1100.647927550,10.935970516,12.478643418,LOWER_SUPPORT_BOUNDARY,NONE
