# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 61K of event 'cycles:P'
# Event count (approx.): 4076178927368
#
# Children      Self  Command          Shared Object      Symbol                                                                                                                                                                                                                                                                                       IPC   [IPC Coverage]
# ........  ........  ...............  .................  ...........................................................................................................................................................................................................................................................................................  ....................
#
     1.66%     1.66%  openwepp-cli-hi  libc.so.6          [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                        -      -
     1.65%     0.46%  openwepp-cli-hi  openwepp-cli-hill  [.] <alloc::string::String as core::fmt::Write>::write_str                                                                                                                                                                                                                                   -      -
     1.59%     0.00%  openwepp-cli-hi  libc.so.6          [.] __GI___libc_realloc (inlined)                                                                                                                                                                                                                                                            -      -
     1.57%     0.12%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::coupling::frost_entry::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::finalize_active_frost_coupling                                                                                           -      -
     1.48%     0.68%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::hourly_symbol_for_request                                                                                                         -      -
     1.42%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::growth_phase_dispatch_for_state_indexed                                                                                                                                                                                                      -      -
     1.40%     0.12%  openwepp-cli-hi  libc.so.6          [.] _int_realloc                                                                                                                                                                                                                                                                             -      -
     1.37%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scheduler_trace::prepare_pl_runtime_activation_for_scheduler                                                                                                                                                                                                 -      -
     1.30%     0.17%  openwepp-cli-hi  openwepp-cli-hill  [.] core::fmt::num::imp::<impl core::fmt::Display for usize>::fmt                                                                                                                                                                                                                            -      -
     1.23%     0.14%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_lateral_drainage::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::run_lateral_transfer                                                                                            -      -
     1.15%     0.02%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::require_runtime_surface_scalar                                                                                                                                                                                                                               -      -
