# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 37K of event 'cycles:P'
# Event count (approx.): 2495377035070
#
# Children      Self  Command          Shared Object      Symbol                                                                                                                                                                                                                                                                                       IPC   [IPC Coverage]
# ........  ........  ...............  .................  ...........................................................................................................................................................................................................................................................................................  ....................
#
     1.85%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scheduler_trace::seed_mofe03_wave2_runtime_surface_inputs                                                                                                                                                                                                    -      -
     1.84%     0.02%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scheduler_trace::require_runtime_usize_in_range                                                                                                                                                                                                              -      -
     1.83%     0.71%  openwepp-cli-hi  openwepp-cli-hill  [.] core::fmt::Formatter::pad_integral                                                                                                                                                                                                                                                       -      -
     1.72%     0.23%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::require_wb19_dg_scalar                                                                                                            -      -
     1.66%     0.16%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::frost_fine_layer_symbol_for_request                                                                                               -      -
     1.57%     0.25%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::raw_vec::RawVecInner<A>::reserve::do_reserve_and_handle                                                                                                                                                                                                                           -      -
     1.50%     1.10%  openwepp-cli-hi  libc.so.6          [.] malloc_consolidate                                                                                                                                                                                                                                                                       -      -
     1.48%     0.02%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scheduler_trace::seed_mofe03_wave2_class_symbols                                                                                                                                                                                                             -      -
     1.48%     0.09%  openwepp-cli-hi  openwepp-cli-hill  [.] _ZN4core3fmt5float29float_to_decimal_common_exact17hef26c5c450a9cf96E.llvm.9036914972901821666                                                                                                                                                                                           -      -
     1.43%     0.00%  openwepp-cli-hi  libc.so.6          [.] __GI___libc_realloc (inlined)                                                                                                                                                                                                                                                            -      -
     1.39%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] core::ptr::drop_in_place<alloc::vec::Vec<openwepp_hillslope_orchestrator::scheduler::HillslopeKernelPhaseReport>>                                                                                                                                                                        -      -
