candidate_id,year,direction,observed_date_50,observed_doy_50,modeled_crossing_ordinal,residual_days,same_direction_crossing_count
GSI-4394,2024,rising,2024-08-24,237,,,0
GSI-4394,2025,falling,2025-05-01,121,,,0
GSI-4394,2025,rising,2025-09-05,248,,,0
GSI-4395,2024,falling,2024-05-21,142,,,0
GSI-4395,2024,rising,2024-08-24,237,,,0
GSI-4395,2025,falling,2025-05-01,121,,,0
GSI-4395,2025,rising,2025-09-05,248,,,0
GSI-4398,2024,falling,2024-05-21,142,,,0
GSI-4398,2024,rising,2024-08-24,237,,,0
GSI-4398,2025,falling,2025-05-01,121,,,0
GSI-4398,2025,rising,2025-09-05,248,,,0
GSI-4399,2024,falling,2024-05-21,142,,,0
GSI-4399,2024,rising,2024-08-24,237,,,0
GSI-4399,2025,falling,2025-05-01,121,,,0
GSI-4399,2025,rising,2025-09-05,248,,,0
GSI-4400,2024,falling,2024-05-21,142,,,0
GSI-4400,2024,rising,2024-08-24,237,,,0
GSI-4400,2025,falling,2025-05-01,121,,,0
GSI-4400,2025,rising,2025-09-05,248,,,0
GSI-4402,2024,falling,2024-05-21,142,,,0
GSI-4402,2024,rising,2024-08-24,237,,,0
GSI-4402,2025,falling,2025-05-01,121,,,0
GSI-4402,2025,rising,2025-09-05,248,,,0
GSI-4831,2024,falling,2024-05-21,142,739008.683291,-18.316709,1
GSI-4831,2024,rising,2024-08-24,237,,,0
GSI-4831,2025,falling,2025-05-01,121,739354.250208,-17.749792,2
GSI-4831,2025,rising,2025-09-05,248,,,0
GSI-4832,2024,falling,2024-05-21,142,738977.763912,-49.236088,1
GSI-4832,2024,rising,2024-08-24,237,,,0
GSI-4832,2025,falling,2025-05-01,121,739342.284450,-29.715550,1
GSI-4832,2025,rising,2025-09-05,248,,,0
GSI-4833,2024,falling,2024-05-21,142,,,0
GSI-4833,2024,rising,2024-08-24,237,,,0
GSI-4833,2025,falling,2025-05-01,121,739318.292523,-53.707477,1
GSI-4833,2025,rising,2025-09-05,248,,,0
GSI-4837,2024,falling,2024-05-21,142,738974.520763,-52.479237,1
GSI-4837,2024,rising,2024-08-24,237,,,0
GSI-4837,2025,falling,2025-05-01,121,739341.037613,-30.962387,1
GSI-4837,2025,rising,2025-09-05,248,,,0
GSI-4838,2024,falling,2024-05-21,142,,,0
GSI-4838,2024,rising,2024-08-24,237,,,0
GSI-4838,2025,falling,2025-05-01,121,739309.879670,-62.120330,1
GSI-4838,2025,rising,2025-09-05,248,,,0
GSI-4842,2024,falling,2024-05-21,142,,,0
GSI-4842,2024,rising,2024-08-24,237,,,0
GSI-4842,2025,falling,2025-05-01,121,,,0
GSI-4842,2025,rising,2025-09-05,248,,,0
GSI-5695,2024,falling,2024-05-21,142,,,0
GSI-5695,2024,rising,2024-08-24,237,,,0
GSI-5695,2025,falling,2025-05-01,121,,,0
GSI-5695,2025,rising,2025-09-05,248,,,0
GSI-5700,2024,falling,2024-05-21,142,,,0
GSI-5700,2024,rising,2024-08-24,237,,,0
GSI-5700,2025,falling,2025-05-01,121,,,0
GSI-5700,2025,rising,2025-09-05,248,,,0
GSI-5716,2024,falling,2024-05-21,142,,,0
GSI-5716,2024,rising,2024-08-24,237,,,0
GSI-5716,2025,falling,2025-05-01,121,739295.114983,-76.885017,1
GSI-5716,2025,rising,2025-09-05,248,,,0
GSI-5717,2024,falling,2024-05-21,142,,,0
GSI-5717,2024,rising,2024-08-24,237,,,0
GSI-5717,2025,falling,2025-05-01,121,,,0
GSI-5717,2025,rising,2025-09-05,248,,,0
GSI-5718,2024,falling,2024-05-21,142,,,0
GSI-5718,2024,rising,2024-08-24,237,,,0
GSI-5718,2025,falling,2025-05-01,121,,,0
GSI-5718,2025,rising,2025-09-05,248,,,0
GSI-5721,2024,falling,2024-05-21,142,,,0
GSI-5721,2024,rising,2024-08-24,237,,,0
GSI-5721,2025,falling,2025-05-01,121,,,0
GSI-5721,2025,rising,2025-09-05,248,,,0
GSI-5722,2024,falling,2024-05-21,142,,,0
GSI-5722,2024,rising,2024-08-24,237,,,0
GSI-5722,2025,falling,2025-05-01,121,,,0
GSI-5722,2025,rising,2025-09-05,248,,,0
GSI-5723,2024,falling,2024-05-21,142,,,0
GSI-5723,2024,rising,2024-08-24,237,,,0
GSI-5723,2025,falling,2025-05-01,121,,,0
GSI-5723,2025,rising,2025-09-05,248,,,0
GSI-5725,2024,falling,2024-05-21,142,,,0
GSI-5725,2024,rising,2024-08-24,237,,,0
GSI-5725,2025,falling,2025-05-01,121,,,0
GSI-5725,2025,rising,2025-09-05,248,,,0
