hillslope_id	rc	seconds	stdout	stderr
25	0	18.732	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H25.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H25.stderr.log
26	0	18.750	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H26.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H26.stderr.log
27	0	19.141	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H27.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H27.stderr.log
28	0	18.750	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H28.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H28.stderr.log
29	0	19.156	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H29.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H29.stderr.log
30	0	18.842	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H30.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H30.stderr.log
31	0	19.300	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H31.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H31.stderr.log
32	0	18.880	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H32.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H32.stderr.log
33	0	19.561	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H33.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H33.stderr.log
34	0	18.989	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H34.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H34.stderr.log
35	0	18.963	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H35.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H35.stderr.log
36	0	18.812	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H36.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H36.stderr.log
37	0	19.018	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H37.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H37.stderr.log
38	0	20.021	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H38.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H38.stderr.log
39	0	19.804	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H39.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H39.stderr.log
