source_id,observation_site,observed_stratum,binding_status,model_fixture,date,water_year,observed_snow_depth_m,observed_swe_mm,observed_density_kg_m3,snowcourse_count,point_count,snowcourse_ids,source_record_id,quality_flag
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1965-03-04,1965,0.635000,100.000,157.480,1,4,S51,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1965-03-04:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,open,bound,marcell_open_mn,1965-03-04,1965,0.647500,115.000,177.606,1,4,S52,RDS-2021-0016:MEF_snowSWE_biweekly:open:1965-03-04:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1965-03-09,1965,0.508000,98.000,192.913,1,5,S23,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1965-03-09:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1965-03-09,1965,0.572222,113.750,198.786,2,9,S11;S22,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1965-03-09:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1965-03-10,1965,0.544000,105.000,193.015,1,5,S21,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1965-03-10:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1965-03-14,1965,0.606000,142.000,234.323,1,10,S54,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1965-03-14:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1965-03-14,1965,0.653000,,,1,10,S51,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1965-03-14:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1965-03-24,1965,0.567500,110.000,193.833,1,4,S54,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1965-03-24:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,open,bound,marcell_open_mn,1965-03-24,1965,0.662500,142.500,215.094,1,4,S5WS,RDS-2021-0016:MEF_snowSWE_biweekly:open:1965-03-24:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1965-04-05,1965,0.601000,138.000,229.617,1,10,S23,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1965-04-05:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1965-04-05,1965,0.639667,154.333,241.271,3,30,S11;S21;S22,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1965-04-05:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1965-04-06,1965,0.520000,115.000,221.154,1,10,S54,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1965-04-06:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1965-04-06,1965,0.605000,147.000,242.975,1,10,S51,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1965-04-06:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,open,bound,marcell_open_mn,1965-04-06,1965,0.565500,146.500,259.063,2,20,S52;S5WS,RDS-2021-0016:MEF_snowSWE_biweekly:open:1965-04-06:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1965-04-19,1965,0.182000,60.000,329.670,1,10,S54,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1965-04-19:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1965-04-19,1965,0.100000,26.000,260.000,1,10,S51,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1965-04-19:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,open,bound,marcell_open_mn,1965-04-19,1965,0.052000,14.000,269.231,1,10,S52,RDS-2021-0016:MEF_snowSWE_biweekly:open:1965-04-19:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1965-04-21,1965,0.091000,31.000,340.659,1,10,S23,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1965-04-21:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1965-04-21,1965,0.050000,14.667,293.333,3,30,S11;S21;S22,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1965-04-21:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1966-03-14,1966,0.653000,192.000,294.028,1,10,S51,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1966-03-14:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,open,bound,marcell_open_mn,1966-03-14,1966,0.617500,191.000,309.312,2,20,S52;S5WS,RDS-2021-0016:MEF_snowSWE_biweekly:open:1966-03-14:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1966-03-16,1966,0.623000,173.000,277.689,1,10,S23,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1966-03-16:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1966-03-16,1966,0.547667,172.667,315.277,3,30,S11;S21;S22,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1966-03-16:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1966-04-13,1966,0.383000,140.000,365.535,1,10,S54,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1966-04-13:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1966-04-13,1966,0.303000,118.000,389.439,1,10,S51,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1966-04-13:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,open,bound,marcell_open_mn,1966-04-13,1966,0.251667,95.000,377.483,2,18,S52;S5WS,RDS-2021-0016:MEF_snowSWE_biweekly:open:1966-04-13:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1966-04-14,1966,0.372000,128.000,344.086,1,10,S23,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1966-04-14:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1966-04-14,1966,0.283333,96.667,341.176,3,21,S11;S21;S22,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1966-04-14:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1966-04-15,1966,0.060000,30.000,500.000,1,1,S21,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1966-04-15:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1966-04-16,1966,0.000000,0.000,,1,1,S21,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1966-04-16:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1966-04-17,1966,0.000000,0.000,,1,1,S21,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1966-04-17:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1966-04-18,1966,0.000000,0.000,,1,1,S21,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1966-04-18:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1966-04-19,1966,0.310000,120.000,387.097,1,1,S21,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1966-04-19:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
