scenario,member_or_default,event_id,event_year,direction,operator,model_level,observed_date,threshold_gsi21,event_date_gsi21,matched,selected_crossing_ordinal,selected_crossing_date,residual_days,global_same_direction_count,in_window_count,extra_in_window_count,out_of_window_count,cal07c_expected_observed_date
BASE,GSI-2635,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.002646903314272849,False,,,,0,0,0,0,2024-08-24
BASE,GSI-2635,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.013752752961572065,False,,,,0,0,0,0,2025-05-01
BASE,GSI-2635,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.0054417184319521085,False,,,,0,0,0,0,2025-09-05
BASE,GSI-2636,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-2636,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.0026426844706794587,False,,,,0,0,0,0,2024-08-24
BASE,GSI-2636,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.013730832737508516,False,,,,0,0,0,0,2025-05-01
BASE,GSI-2636,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.0054330449912488232,False,,,,0,0,0,0,2025-09-05
BASE,GSI-2638,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-2638,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0,False,,,,0,0,0,0,2024-08-24
BASE,GSI-2638,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0,False,,,,0,0,0,0,2025-05-01
BASE,GSI-2638,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0,False,,,,0,0,0,0,2025-09-05
BASE,GSI-3941,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-3941,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0,False,,,,0,0,0,0,2024-08-24
BASE,GSI-3941,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0,False,,,,0,0,0,0,2025-05-01
BASE,GSI-3941,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0,False,,,,0,0,0,0,2025-09-05
BASE,GSI-3942,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-3942,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0,False,,,,0,0,0,0,2024-08-24
BASE,GSI-3942,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0,False,,,,0,0,0,0,2025-05-01
BASE,GSI-3942,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0,False,,,,0,0,0,0,2025-09-05
BASE,GSI-3962,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-3962,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0,False,,,,0,0,0,0,2024-08-24
BASE,GSI-3962,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0,False,,,,0,0,0,0,2025-05-01
BASE,GSI-3962,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0,False,,,,0,0,0,0,2025-09-05
BASE,GSI-3963,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-3963,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0,False,,,,0,0,0,0,2024-08-24
BASE,GSI-3963,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0,False,,,,0,0,0,0,2025-05-01
BASE,GSI-3963,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0,False,,,,0,0,0,0,2025-09-05
BASE,GSI-4372,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.0026246221015852433,False,,,,0,0,0,0,2024-05-21
BASE,GSI-4372,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.012493148788925884,False,,,,0,0,0,0,2024-08-24
BASE,GSI-4372,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.033196315717632853,False,,,,0,0,0,0,2025-05-01
BASE,GSI-4372,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.014557727058410004,False,,,,0,0,0,0,2025-09-05
BASE,GSI-4377,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-4377,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.002281952184907881,False,,,,0,0,0,0,2024-08-24
BASE,GSI-4377,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.010380751428527749,False,,,,0,0,0,0,2025-05-01
BASE,GSI-4377,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.0044470361060903948,False,,,,0,0,0,0,2025-09-05
BASE,GSI-4393,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.0037314119157778186,False,,,,1,0,0,1,2024-05-21
BASE,GSI-4393,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.01776144620150347,False,,,,1,0,0,1,2024-08-24
BASE,GSI-4393,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.047195033507445548,True,739295.114983012,2025-02-13,-76.885016988,1,1,0,0,2025-05-01
BASE,GSI-4393,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.020696646644704792,False,,,,1,0,0,1,2025-09-05
BASE,GSI-4394,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.0035021058298558322,False,,,,0,0,0,0,2024-05-21
BASE,GSI-4394,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.016669953811837425,False,,,,0,0,0,0,2024-08-24
BASE,GSI-4394,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.044294761799894479,False,,,,0,0,0,0,2025-05-01
BASE,GSI-4394,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.019424777673675259,False,,,,0,0,0,0,2025-09-05
BASE,GSI-4395,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.0034969124883198035,False,,,,0,0,0,0,2024-05-21
BASE,GSI-4395,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.016645233609838769,False,,,,0,0,0,0,2024-08-24
BASE,GSI-4395,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.044229076227424682,False,,,,0,0,0,0,2025-05-01
BASE,GSI-4395,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.019395972289251745,False,,,,0,0,0,0,2025-09-05
BASE,GSI-4398,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-4398,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.0032442398350823868,False,,,,0,0,0,0,2024-08-24
BASE,GSI-4398,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.014758261599542508,False,,,,0,0,0,0,2025-05-01
BASE,GSI-4398,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.0063223286530039741,False,,,,0,0,0,0,2025-09-05
BASE,GSI-4399,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-4399,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.0030299303802175811,False,,,,0,0,0,0,2024-08-24
BASE,GSI-4399,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.013783353713896065,False,,,,0,0,0,0,2025-05-01
BASE,GSI-4399,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.0059046854219303958,False,,,,0,0,0,0,2025-09-05
BASE,GSI-4400,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-4400,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.0030251010378294133,False,,,,0,0,0,0,2024-08-24
BASE,GSI-4400,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.013761384715936166,False,,,,0,0,0,0,2025-05-01
BASE,GSI-4400,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.0058952740678665854,False,,,,0,0,0,0,2025-09-05
BASE,GSI-4402,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-4402,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0,False,,,,0,0,0,0,2024-08-24
BASE,GSI-4402,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0,False,,,,0,0,0,0,2025-05-01
BASE,GSI-4402,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0,False,,,,0,0,0,0,2025-09-05
BASE,GSI-4831,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.046797197915334231,True,739008.683291118,2024-05-02,-18.316708882,8,1,0,7,2024-05-21
BASE,GSI-4831,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.1647872666211232,False,,,,8,0,0,8,2024-08-24
BASE,GSI-4831,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.44857705965052425,True,739354.250207802,2025-04-13,-17.749792198,8,2,1,6,2025-05-01
BASE,GSI-4831,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.16893109850686847,False,,,,8,0,0,8,2025-09-05
BASE,GSI-4832,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.009203763365474885,True,738977.763911763,2024-04-01,-49.236088237,7,1,0,6,2024-05-21
BASE,GSI-4832,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.038902963061365724,False,,,,7,0,0,7,2024-08-24
BASE,GSI-4832,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.12428290526714149,True,739342.284450294,2025-04-01,-29.715549706,7,1,0,6,2025-05-01
BASE,GSI-4832,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.047035151692783661,False,,,,7,0,0,7,2025-09-05
BASE,GSI-4833,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.0047152159394852813,False,,,,1,0,0,1,2024-05-21
BASE,GSI-4833,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.019930528875640435,False,,,,1,0,0,1,2024-08-24
BASE,GSI-4833,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.063671860373925193,True,739318.292522780,2025-03-08,-53.707477220,1,1,0,0,2025-05-01
BASE,GSI-4833,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.024096762179899704,False,,,,1,0,0,1,2025-09-05
BASE,GSI-4837,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,True,738974.520762646,2024-03-29,-52.479237354,7,1,0,6,2024-05-21
BASE,GSI-4837,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.008083503353448443,False,,,,7,0,0,7,2024-08-24
BASE,GSI-4837,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.044888013752431462,True,739341.037612561,2025-03-31,-30.962387439,7,1,0,6,2025-05-01
BASE,GSI-4837,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.017192136200294,False,,,,7,0,0,7,2025-09-05
BASE,GSI-4838,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,1,0,0,1,2024-05-21
BASE,GSI-4838,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.0036995728538605143,False,,,,1,0,0,1,2024-08-24
BASE,GSI-4838,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.020543874342721525,True,739309.879670336,2025-02-27,-62.120329664,1,1,0,0,2025-05-01
BASE,GSI-4838,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.0078683161997263086,False,,,,1,0,0,1,2025-09-05
BASE,GSI-4842,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-4842,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0,False,,,,0,0,0,0,2024-08-24
BASE,GSI-4842,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0,False,,,,0,0,0,0,2025-05-01
BASE,GSI-4842,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0,False,,,,0,0,0,0,2025-09-05
BASE,GSI-5695,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.0026246221015852433,False,,,,0,0,0,0,2024-05-21
BASE,GSI-5695,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.012629028448619245,False,,,,0,0,0,0,2024-08-24
BASE,GSI-5695,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.033196315717632853,False,,,,0,0,0,0,2025-05-01
BASE,GSI-5695,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.014557727058410004,False,,,,0,0,0,0,2025-09-05
BASE,GSI-5700,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-5700,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.0023294537047154596,False,,,,0,0,0,0,2024-08-24
BASE,GSI-5700,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.010380751428527749,False,,,,0,0,0,0,2025-05-01
BASE,GSI-5700,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.0044470361060903948,False,,,,0,0,0,0,2025-09-05
BASE,GSI-5716,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.0037314119157778186,False,,,,1,0,0,1,2024-05-21
BASE,GSI-5716,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.017954625623785025,False,,,,1,0,0,1,2024-08-24
BASE,GSI-5716,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.047195033507445548,True,739295.114983012,2025-02-13,-76.885016988,1,1,0,0,2025-05-01
BASE,GSI-5716,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.020696646644704792,False,,,,1,0,0,1,2025-09-05
BASE,GSI-5717,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.0035021058298558322,False,,,,0,0,0,0,2024-05-21
BASE,GSI-5717,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.0168512617982647,False,,,,0,0,0,0,2024-08-24
BASE,GSI-5717,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.044294761799894479,False,,,,0,0,0,0,2025-05-01
BASE,GSI-5717,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.019424777673675259,False,,,,0,0,0,0,2025-09-05
BASE,GSI-5718,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.0034969124883198035,False,,,,0,0,0,0,2024-05-21
BASE,GSI-5718,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.016826272731091069,False,,,,0,0,0,0,2024-08-24
BASE,GSI-5718,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.044229076227424682,False,,,,0,0,0,0,2025-05-01
BASE,GSI-5718,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.019395972289251745,False,,,,0,0,0,0,2025-09-05
BASE,GSI-5721,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-5721,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.0033117725046124119,False,,,,0,0,0,0,2024-08-24
BASE,GSI-5721,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.014758261599542508,False,,,,0,0,0,0,2025-05-01
BASE,GSI-5721,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.0063223286530039741,False,,,,0,0,0,0,2025-09-05
BASE,GSI-5722,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-5722,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.0030930019462755269,False,,,,0,0,0,0,2024-08-24
BASE,GSI-5722,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.013783353713896065,False,,,,0,0,0,0,2025-05-01
BASE,GSI-5722,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.0059046854219303958,False,,,,0,0,0,0,2025-09-05
BASE,GSI-5723,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-5723,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.0030880720754430618,False,,,,0,0,0,0,2024-08-24
BASE,GSI-5723,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.013761384715936166,False,,,,0,0,0,0,2025-05-01
BASE,GSI-5723,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.0058952740678665854,False,,,,0,0,0,0,2025-09-05
BASE,GSI-5725,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-5725,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0,False,,,,0,0,0,0,2024-08-24
BASE,GSI-5725,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0,False,,,,0,0,0,0,2025-05-01
BASE,GSI-5725,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0,False,,,,0,0,0,0,2025-09-05
