scenario,member_or_default,event_id,event_year,direction,operator,model_level,observed_date,threshold_gsi21,event_date_gsi21,matched,selected_crossing_ordinal,selected_crossing_date,residual_days,global_same_direction_count,in_window_count,extra_in_window_count,out_of_window_count
BASE,GSI-2199,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.30,2025-05-01,0.066334128949876295,0,True,739311.459853461,2025-03-01,-60.540146539,4,1,0,3
BASE,GSI-2199,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.40,2025-05-01,0.088445505266501731,0,True,739308.445815931,2025-02-26,-63.554184069,3,1,0,2
BASE,GSI-2199,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.50,2025-05-01,0.11055688158312715,0,True,739305.411224007,2025-02-23,-66.588775993,4,1,0,3
BASE,GSI-2199,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.60,2025-05-01,0.13266825789975259,0,True,739302.286652172,2025-02-20,-69.713347828,5,1,0,4
BASE,GSI-2199,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.70,2025-05-01,0.154779634216378,0,True,739299.289060364,2025-02-17,-72.710939636,3,1,0,2
BASE,GSI-2199,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.75,2025-05-01,0.16583532237469073,0,True,739297.806434376,2025-02-15,-74.193565624,3,1,0,2
BASE,GSI-2199,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.80,2025-05-01,0.17689101053300346,0,True,739296.376429167,2025-02-14,-75.623570833,2,1,0,1
BASE,GSI-2199,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.90,2025-05-01,0.19900238684962887,0,True,739293.502563731,2025-02-11,-78.497436269,1,1,0,0
BASE,GSI-2199,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.10,2025-09-05,0.022111376316625433,0,True,739574.258186470,2025-11-19,75.258186470,9,2,1,7
BASE,GSI-2199,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.20,2025-09-05,0.044222752633250866,0,True,739588.607722274,2025-12-03,89.607722274,7,2,1,5
BASE,GSI-2199,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.25,2025-09-05,0.055278440791563577,0,True,739614.071224494,2025-12-29,115.071224494,5,1,0,4
BASE,GSI-2199,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.30,2025-09-05,0.066334128949876295,0,False,,,,4,0,0,4
BASE,GSI-2199,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.40,2025-09-05,0.088445505266501731,0,False,,,,3,0,0,3
BASE,GSI-2199,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.50,2025-09-05,0.11055688158312715,0,False,,,,4,0,0,4
BASE,GSI-2199,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.60,2025-09-05,0.13266825789975259,0,False,,,,5,0,0,5
BASE,GSI-2199,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.70,2025-09-05,0.154779634216378,0,False,,,,3,0,0,3
BASE,GSI-2199,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.75,2025-09-05,0.16583532237469073,0,False,,,,3,0,0,3
BASE,GSI-2199,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.80,2025-09-05,0.17689101053300346,0,False,,,,2,0,0,2
BASE,GSI-2199,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.90,2025-09-05,0.19900238684962887,0,False,,,,1,0,0,1
BASE,GSI-2629,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.10,2024-05-21,0.031309936348942684,0.0035474121295395256,True,739012.356406752,2024-05-06,-14.643593248,16,1,0,15
BASE,GSI-2629,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.20,2024-05-21,0.062619872697885368,0.0035474121295395256,True,739005.843252522,2024-04-29,-21.156747478,13,1,0,12
BASE,GSI-2629,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.25,2024-05-21,0.078274840872356699,0.0035474121295395256,True,738997.959995448,2024-04-21,-29.040004552,11,1,0,10
BASE,GSI-2629,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.30,2024-05-21,0.093929809046828031,0.0035474121295395256,True,738995.370374212,2024-04-19,-31.629625788,9,1,0,8
