lane_id,cell,classification,failure_day_index,terminal_mass_swe_m,terminal_depth_m,terminal_density_kg_m3,terminal_cold_content_j_m2,terminal_temperature_c,reconstructed_temperature_c,temperature_reconstruction_residual_c,absolute_zero_boundary_cold_content_j_m2,absolute_zero_boundary_ratio,terminal_control_volume_layer_count,last_success_day_index,last_success_swe_m,rejected_slice_to_last_success_pack_mass_ratio,last_success_cold_content_j_m2,last_success_temperature_c,last_success_sublimation_m,last_success_snowpack_swe_loss_m,last_success_shortwave_j_m2,last_success_longwave_j_m2,last_success_latent_j_m2,last_success_surface_j_m2,last_success_conduction_j_m2,last_success_refrozen_liquid_m,last_success_routed_melt_m,last_success_maximum_active_mass_kg_m2,last_success_maximum_lower_mass_kg_m2
snotel_paradise_wa,LS,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,2121,4.437983750209193e-07,2.3555589154927725e-06,188.40470178945876,311.5724348263269,-334.31358576015765,-334.31358576015765,0.0,254.56940488762461,1.2239194060412142,1,2120,0.0205911136416106,2.1552907858470068e-05,37804.46971159924,-0.8742668680977063,0.00015733672582457,0.0,652751.1277412298,-54361.99915086975,-446240.63160357275,-31515.640314128803,0.0,0.00019585888884871,0.00019585888884871,20.7462290833021,0.0
snotel_niwot_co,LS,SATURATION_VAPOR_PRESSURE_UNDERFLOW,3040,1.7091573350175984e-06,3.2742477682329467e-06,522.0,975.1801524106394,-271.6961695882387,-271.6961695882387,0.0,980.3982847261195,0.9946775383058347,1,3039,0.01534768455994298,0.0001113625529859045,0.0,0.0,0.00015240132045655,0.00522219775611951,5228790.456150152,558681.6474648453,-431939.9687133888,117040.50698499098,0.0,0.00019163268840509,0.00522219775611951,15.500085880399533,0.0
sleepers_w9_hardwood,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,3247,5.339499506519216e-07,3.383387338420918e-06,157.81520034331237,376.02516844007596,-335.3490412359108,-335.3490412359108,0.0,306.28170094320194,1.227710200387739,1,3246,0.02776408042325009,1.9231681457196156e-05,134582.06737194752,-2.3166269019212358,0.00012393704462372,0.0,874281.1355556143,0.0,-351594.8261966563,42794.16358620859,0.0,1.46264554287e-06,1.46264554287e-06,27.88695541247476,0.0
snotel_niwot_co,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,3660,5.851301264125448e-07,1.5453486020139406e-06,378.6395675706987,366.25791901664127,-298.06794248379015,-298.06794248379015,0.0,335.63941746213186,1.0912243913007145,1,3659,0.07202699671263496,8.123761271721903e-06,250980.1130916219,-1.6985535681400288,0.00023304896006807,1.780087744733e-05,1021055.2632443064,0.0,-661171.827719271,50027.22037862594,0.0,1.780087744733e-05,1.780087744733e-05,72.26004567270304,0.0
marcell_open,L,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,3709,1.398484361550067e-07,4.2295897924315984e-07,330.64302454110447,910.9011741078093,-3101.661168238473,-3101.661168238473,0.0,80.21916070505416,11.355157123333235,1,3708,0.06417048237774589,2.1793265528498767e-06,1444864.3554593178,-11.082644948172,0.0,0.00020465020464257,2705907.3967475453,-2754949.808205792,0.0,-49042.41145822365,0.0,0.00014547927243216,0.00020465020464257,63.88424364979943,0.2862387279463918
snotel_css_lab_ca,LS,SATURATION_VAPOR_PRESSURE_UNDERFLOW,4418,1.4668572036458776e-06,2.8100712713522557e-06,522.0,834.4309529963283,-270.88394962221594,-270.88394962221594,0.0,841.4112948693299,0.9917040074033168,1,4417,0.0008085573040171,0.0018141660416128717,0.0,0.0,9.16873908737e-05,0.00532005931112352,2305602.039760116,709734.7559361409,-259861.2935843577,4174.653722898976,0.0,3.23822829548e-06,0.00532005931112352,0.8988850445885309,0.0
snotel_snowbird_ut,LS,SATURATION_VAPOR_PRESSURE_UNDERFLOW,5085,1.7149535331190634e-06,1.097673356470312e-05,156.23532474484765,962.4285280179246,-267.2371526140565,-267.2371526140565,0.0,983.7230709000914,0.9783531122608696,1,5084,0.03001823957958267,5.7130383298210246e-05,549064.6490575523,-8.711644430007569,9.932259972754e-05,0.0,591385.4779337527,-375003.12666649325,-283834.73742582975,-67452.38615857181,0.0,6.111615e-11,6.111615e-11,29.091339426710682,1.0729863174270053
sleepers_south_open,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,5517,6.756762625182788e-07,2.8049900047833615e-06,240.88366139132302,392.0092909545755,-276.27297462695793,-276.27297462695793,0.0,387.5780393244225,1.0114331855279441,1,5516,0.02439906086813727,2.7692715968451242e-05,96245.84082447905,-1.8792413693178487,0.00011118064330883,0.0,2185927.547808464,0.0,-315529.8905335769,64117.39786389485,0.0,0.0,0.0,23.603175552515815,1.1312417096295222
snotel_mica_creek_st_joe_id,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,9125,1.200332613000013e-07,2.2994877643678358e-07,522.0,79.13069253878945,-313.9236720991093,-313.9236720991093,0.0,68.85287918060024,1.1492720926198399,1,9124,0.11740211545101241,1.0224114006709426e-06,-4.5475e-13,0.0,6.935421088363e-05,0.00612606888342431,549736.7208593293,0.0,-196541.03520338354,-64332.008922682806,0.0,0.00019282760805451,0.00752927494027498,117.47146966189607,0.0
snotel_mica_creek_st_joe_id,LS,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,10204,7.218621553779943e-07,1.3828776922950037e-06,522.0,623.4040297004053,-411.24064968699065,-411.24064968699065,0.0,414.07096025714816,1.5055487815741926,1,10203,0.04179056785991857,1.727332726843212e-05,1424602.60375178,-16.23290199206387,3.078343076857e-05,0.0,560921.366946023,-477279.66180999123,-88724.39908772391,-5082.693951692448,0.0,0.0,0.0,41.82082077502075,0.0
sleepers_south_open,LS,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,10569,1.449341138941888e-06,4.8158942486161566e-06,300.9495358745382,851.4135371866863,-279.73746609023976,-279.73746609023976,0.0,831.3638174141511,1.0241166615055455,1,10568,0.06427456000255154,2.2549219144936234e-05,542870.8980614647,-4.080053422035794,5.434501747576e-05,2.34976393991e-05,1132830.5728921713,-922921.0894820099,-154535.65427362217,55373.82913653966,0.0,2.350694877491e-05,2.350694877491e-05,64.32890502002728,0.0
marcell_deciduous,L,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,12517,1.5508698237276519e-06,2.9710149879840073e-06,522.0,2186.4017457431746,-671.3288713985359,-671.3288713985359,0.0,889.602193937537,2.4577297140711547,1,12516,0.00264036425494728,0.0005873696482679501,0.0,0.0,0.0,0.02076059356546651,3111049.010157471,-1285129.002239654,0.0,-53484.043828470014,0.0,0.00016034790534693,0.02076059356546651,2.640364254947282,0.0
