record_id,year,species,plot_id,source_elevation_m,interval_start_doy,interval_end_doy,interval_width_days,descriptive_midpoint_doy_not_truth,start_tmin_c,end_tmin_c,end_21d_mean_tmin_c,start_vpd_pa,end_vpd_pa,end_21d_mean_vpd_pa,start_photoperiod_hours,end_photoperiod_hours,end_21d_mean_photoperiod_hours
CAL0405-HB-1989-SPRING-FAGR-5T-HALF_EXPANSION,1989,FAGR,5T,726.9480,135,142,7,138.500,3.89,5.41,4.150476,667.699064,434.459368,583.332092,14.561140778707,14.798546045006,14.437240806
CAL0405-HB-1989-SPRING-FAGR-6T-HALF_EXPANSION,1989,FAGR,6T,767.4864,135,142,7,138.500,3.89,5.41,4.150476,667.699064,434.459368,583.332092,14.560968512508,14.798356354091,14.437077316
CAL0405-HB-1989-SPRING-FAGR-7B-HALF_EXPANSION,1989,FAGR,7B,605.0280,135,142,7,138.500,4.30,5.86,4.527619,729.756103,494.005102,637.328223,14.558495181826,14.795632881046,14.434729987
CAL0405-HB-1989-SPRING-FAGR-7T-HALF_EXPANSION,1989,FAGR,7T,822.9600,142,150,8,146.000,5.37,7.62,6.207619,423.927788,538.782966,624.917853,14.794552210579,15.016177512215,14.716366444
CAL0405-HB-1990-SPRING-ACSA3-1B-HALF_EXPANSION,1990,ACSA3,1B,472.1352,141,149,8,145.000,2.19,7.16,3.290476,148.776516,434.112300,537.985787,14.766385864569,14.995360596196,14.686866861
CAL0405-HB-1990-SPRING-ACSA3-4B-HALF_EXPANSION,1990,ACSA3,4B,528.2184,141,149,8,145.000,2.19,7.16,3.290476,148.776516,434.112300,537.985787,14.766274165397,14.995238671964,14.686758572
CAL0405-HB-1990-SPRING-ACSA3-4T-HALF_EXPANSION,1990,ACSA3,4T,608.3808,141,149,8,145.000,1.60,6.63,2.877143,143.812206,404.281762,491.606558,14.767085988435,14.996124813081,14.687545610
CAL0405-HB-1990-SPRING-ACSA3-5B-HALF_EXPANSION,1990,ACSA3,5B,474.2688,141,149,8,145.000,2.19,7.16,3.290476,148.776516,434.112300,537.985787,14.766093334048,14.995041287398,14.686583261
CAL0405-HB-1990-SPRING-ACSA3-5T-HALF_EXPANSION,1990,ACSA3,5T,726.9480,141,149,8,145.000,1.33,6.36,2.692857,141.102600,389.630347,470.911102,14.766929569049,14.995954073801,14.687393966
CAL0405-HB-1990-SPRING-ACSA3-6T-HALF_EXPANSION,1990,ACSA3,6T,767.4864,141,149,8,145.000,1.33,6.36,2.692857,141.102600,389.630347,470.911102,14.766742221881,14.995749575695,14.687212339
CAL0405-HB-1990-SPRING-ACSA3-7B-HALF_EXPANSION,1990,ACSA3,7B,605.0280,141,149,8,145.000,1.94,6.93,3.166667,147.175115,421.098863,515.256040,14.764052394183,14.992813544335,14.684604626
CAL0405-HB-1990-SPRING-ACSA3-7T-HALF_EXPANSION,1990,ACSA3,7T,822.9600,149,155,6,152.000,6.16,7.20,3.424286,377.868965,375.202892,494.758286,14.991648549042,15.124114450078,14.868333649
CAL0405-HB-1990-SPRING-BEAL2-1B-HALF_EXPANSION,1990,BEAL2,1B,472.1352,141,149,8,145.000,2.19,7.16,3.290476,148.776516,434.112300,537.985787,14.766385864569,14.995360596196,14.686866861
CAL0405-HB-1990-SPRING-BEAL2-4B-HALF_EXPANSION,1990,BEAL2,4B,528.2184,141,149,8,145.000,2.19,7.16,3.290476,148.776516,434.112300,537.985787,14.766274165397,14.995238671964,14.686758572
CAL0405-HB-1990-SPRING-BEAL2-4T-HALF_EXPANSION,1990,BEAL2,4T,608.3808,149,155,6,152.000,6.63,8.26,3.709524,404.281762,377.452782,539.978272,14.996124813081,15.128812397311,14.872608906
CAL0405-HB-1990-SPRING-BEAL2-5B-HALF_EXPANSION,1990,BEAL2,5B,474.2688,141,149,8,145.000,2.19,7.16,3.290476,148.776516,434.112300,537.985787,14.766093334048,14.995041287398,14.686583261
CAL0405-HB-1990-SPRING-BEAL2-5T-HALF_EXPANSION,1990,BEAL2,5T,726.9480,141,149,8,145.000,1.33,6.36,2.692857,141.102600,389.630347,470.911102,14.766929569049,14.995954073801,14.687393966
CAL0405-HB-1990-SPRING-BEAL2-6T-HALF_EXPANSION,1990,BEAL2,6T,767.4864,149,155,6,152.000,6.36,7.68,3.516190,389.630347,372.949905,516.891857,14.995749575695,15.128418572175,14.872250522
CAL0405-HB-1990-SPRING-BEAL2-7B-HALF_EXPANSION,1990,BEAL2,7B,605.0280,141,149,8,145.000,1.94,6.93,3.166667,147.175115,421.098863,515.256040,14.764052394183,14.992813544335,14.684604626
CAL0405-HB-1990-SPRING-BEAL2-7T-HALF_EXPANSION,1990,BEAL2,7T,822.9600,155,162,7,158.500,7.20,7.55,4.152381,375.202892,296.826358,561.101537,15.124114450078,15.231383434199,15.044212520
CAL0405-HB-1990-SPRING-FAGR-1B-HALF_EXPANSION,1990,FAGR,1B,472.1352,141,149,8,145.000,2.19,7.16,3.290476,148.776516,434.112300,537.985787,14.766385864569,14.995360596196,14.686866861
CAL0405-HB-1990-SPRING-FAGR-4B-HALF_EXPANSION,1990,FAGR,4B,528.2184,141,149,8,145.000,2.19,7.16,3.290476,148.776516,434.112300,537.985787,14.766274165397,14.995238671964,14.686758572
CAL0405-HB-1990-SPRING-FAGR-4T-HALF_EXPANSION,1990,FAGR,4T,608.3808,149,155,6,152.000,6.63,8.26,3.709524,404.281762,377.452782,539.978272,14.996124813081,15.128812397311,14.872608906
CAL0405-HB-1990-SPRING-FAGR-5B-HALF_EXPANSION,1990,FAGR,5B,474.2688,141,149,8,145.000,2.19,7.16,3.290476,148.776516,434.112300,537.985787,14.766093334048,14.995041287398,14.686583261
CAL0405-HB-1990-SPRING-FAGR-5T-HALF_EXPANSION,1990,FAGR,5T,726.9480,141,149,8,145.000,1.33,6.36,2.692857,141.102600,389.630347,470.911102,14.766929569049,14.995954073801,14.687393966
CAL0405-HB-1990-SPRING-FAGR-6T-HALF_EXPANSION,1990,FAGR,6T,767.4864,149,155,6,152.000,6.36,7.68,3.516190,389.630347,372.949905,516.891857,14.995749575695,15.128418572175,14.872250522
CAL0405-HB-1990-SPRING-FAGR-7B-HALF_EXPANSION,1990,FAGR,7B,605.0280,141,149,8,145.000,1.94,6.93,3.166667,147.175115,421.098863,515.256040,14.764052394183,14.992813544335,14.684604626
CAL0405-HB-1990-SPRING-FAGR-7T-HALF_EXPANSION,1990,FAGR,7T,822.9600,149,155,6,152.000,6.16,7.20,3.424286,377.868965,375.202892,494.758286,14.991648549042,15.124114450078,14.868333649
CAL0405-HB-1991-SPRING-ACSA3-1B-HALF_EXPANSION,1991,ACSA3,1B,472.1352,127,133,6,130.000,3.73,4.29,2.097143,312.509565,1090.454380,609.365258,14.248713421574,14.486387223147,14.070670375
CAL0405-HB-1991-SPRING-ACSA3-4B-HALF_EXPANSION,1991,ACSA3,4B,528.2184,127,133,6,130.000,3.73,4.29,2.097143,312.509565,1090.454380,609.365258,14.248624031623,14.486287718007,14.070588334
CAL0405-HB-1991-SPRING-ACSA3-4T-HALF_EXPANSION,1991,ACSA3,4T,608.3808,133,140,7,136.500,4.15,0.30,2.930000,983.247879,989.707567,613.848209,14.487010912939,14.734669632746,14.359954003
CAL0405-HB-1991-SPRING-ACSA3-5B-HALF_EXPANSION,1991,ACSA3,5B,474.2688,127,133,6,130.000,3.73,4.29,2.097143,312.509565,1090.454380,609.365258,14.248479316606,14.486126627507,14.070455516
CAL0405-HB-1991-SPRING-ACSA3-5T-HALF_EXPANSION,1991,ACSA3,5T,726.9480,140,148,8,144.000,0.32,11.47,4.941429,955.418994,648.608547,760.972922,14.734515213251,14.970442286320,14.653787375
CAL0405-HB-1991-SPRING-ACSA3-6T-HALF_EXPANSION,1991,ACSA3,6T,767.4864,133,140,7,136.500,4.11,0.32,2.784286,937.356013,955.418994,588.977080,14.486704676700,14.734330261361,14.359664171
CAL0405-HB-1991-SPRING-ACSA3-7B-HALF_EXPANSION,1991,ACSA3,7B,605.0280,133,140,7,136.500,4.25,0.29,3.142857,1033.406571,1031.704011,644.610050,14.484308470628,14.731674818926,14.357396310
CAL0405-HB-1991-SPRING-ACSA3-7T-HALF_EXPANSION,1991,ACSA3,7T,822.9600,140,148,8,144.000,0.39,11.34,4.907619,920.162723,634.895084,733.137492,14.730621137954,14.966177407162,14.650015081
CAL0405-HB-1991-SPRING-BEAL2-1B-HALF_EXPANSION,1991,BEAL2,1B,472.1352,133,140,7,136.500,4.29,0.26,3.249048,1090.454380,1047.199767,671.564403,14.486387223147,14.733978460040,14.359363722
CAL0405-HB-1991-SPRING-BEAL2-4B-HALF_EXPANSION,1991,BEAL2,4B,528.2184,127,133,6,130.000,3.73,4.29,2.097143,312.509565,1090.454380,609.365258,14.248624031623,14.486287718007,14.070588334
CAL0405-HB-1991-SPRING-BEAL2-4T-HALF_EXPANSION,1991,BEAL2,4T,608.3808,140,148,8,144.000,0.30,11.68,5.047143,989.707567,670.379071,793.173436,14.734669632746,14.970611413379,14.653936964
CAL0405-HB-1991-SPRING-BEAL2-5B-HALF_EXPANSION,1991,BEAL2,5B,474.2688,140,148,8,144.000,0.26,12.07,5.263810,1047.199767,732.239441,863.327585,14.733689669373,14.969538118487,14.652987651
CAL0405-HB-1991-SPRING-BEAL2-5T-HALF_EXPANSION,1991,BEAL2,5T,726.9480,133,140,7,136.500,4.11,0.32,2.784286,937.356013,955.418994,588.977080,14.486871570592,14.734515213251,14.359822125
CAL0405-HB-1991-SPRING-BEAL2-6T-HALF_EXPANSION,1991,BEAL2,6T,767.4864,133,140,7,136.500,4.11,0.32,2.784286,937.356013,955.418994,588.977080,14.486704676700,14.734330261361,14.359664171
CAL0405-HB-1991-SPRING-BEAL2-7B-HALF_EXPANSION,1991,BEAL2,7B,605.0280,133,140,7,136.500,4.25,0.29,3.142857,1033.406571,1031.704011,644.610050,14.484308470628,14.731674818926,14.357396310
CAL0405-HB-1991-SPRING-BEAL2-7T-HALF_EXPANSION,1991,BEAL2,7T,822.9600,140,148,8,144.000,0.39,11.34,4.907619,920.162723,634.895084,733.137492,14.730621137954,14.966177407162,14.650015081
CAL0405-HB-1991-SPRING-FAGR-1B-HALF_EXPANSION,1991,FAGR,1B,472.1352,133,140,7,136.500,4.29,0.26,3.249048,1090.454380,1047.199767,671.564403,14.486387223147,14.733978460040,14.359363722
CAL0405-HB-1991-SPRING-FAGR-4B-HALF_EXPANSION,1991,FAGR,4B,528.2184,127,133,6,130.000,3.73,4.29,2.097143,312.509565,1090.454380,609.365258,14.248624031623,14.486287718007,14.070588334
CAL0405-HB-1991-SPRING-FAGR-4T-HALF_EXPANSION,1991,FAGR,4T,608.3808,140,148,8,144.000,0.30,11.68,5.047143,989.707567,670.379071,793.173436,14.734669632746,14.970611413379,14.653936964
CAL0405-HB-1991-SPRING-FAGR-5B-HALF_EXPANSION,1991,FAGR,5B,474.2688,140,148,8,144.000,0.26,12.07,5.263810,1047.199767,732.239441,863.327585,14.733689669373,14.969538118487,14.652987651
CAL0405-HB-1991-SPRING-FAGR-5T-HALF_EXPANSION,1991,FAGR,5T,726.9480,140,148,8,144.000,0.32,11.47,4.941429,955.418994,648.608547,760.972922,14.734515213251,14.970442286320,14.653787375
CAL0405-HB-1991-SPRING-FAGR-6T-HALF_EXPANSION,1991,FAGR,6T,767.4864,133,140,7,136.500,4.11,0.32,2.784286,937.356013,955.418994,588.977080,14.486704676700,14.734330261361,14.359664171
CAL0405-HB-1991-SPRING-FAGR-7B-HALF_EXPANSION,1991,FAGR,7B,605.0280,133,140,7,136.500,4.25,0.29,3.142857,1033.406571,1031.704011,644.610050,14.484308470628,14.731674818926,14.357396310
CAL0405-HB-1991-SPRING-FAGR-7T-HALF_EXPANSION,1991,FAGR,7T,822.9600,140,148,8,144.000,0.39,11.34,4.907619,920.162723,634.895084,733.137492,14.730621137954,14.966177407162,14.650015081
CAL0405-HB-1992-SPRING-ACSA3-1B-HALF_EXPANSION,1992,ACSA3,1B,472.1352,139,147,8,143.000,6.71,-0.04,2.782857,594.523569,414.450638,816.200825,14.700792295943,14.943422125232,14.618927362
CAL0405-HB-1992-SPRING-ACSA3-4B-HALF_EXPANSION,1992,ACSA3,4B,528.2184,139,147,8,143.000,6.71,-0.04,2.782857,594.523569,414.450638,816.200825,14.700683482459,14.943302541861,14.618822034
CAL0405-HB-1992-SPRING-ACSA3-4T-HALF_EXPANSION,1992,ACSA3,4T,608.3808,147,154,7,150.500,-0.29,6.46,3.671429,370.201460,611.523104,708.656062,14.944171668998,15.109205580150,14.843831183
CAL0405-HB-1992-SPRING-ACSA3-5B-HALF_EXPANSION,1992,ACSA3,5B,474.2688,139,147,8,143.000,6.71,-0.04,2.782857,594.523569,414.450638,816.200825,14.700507322725,14.943108946879,14.618651518
CAL0405-HB-1992-SPRING-ACSA3-5T-HALF_EXPANSION,1992,ACSA3,5T,726.9480,147,154,7,150.500,-0.39,6.30,3.561429,351.974790,585.874387,680.534441,14.944004208049,15.109027640718,14.843669902
CAL0405-HB-1992-SPRING-ACSA3-6T-HALF_EXPANSION,1992,ACSA3,6T,767.4864,147,154,7,150.500,-0.39,6.30,3.561429,351.974790,585.874387,680.534441,14.943803636393,15.108814519022,14.843476733
CAL0405-HB-1992-SPRING-ACSA3-7B-HALF_EXPANSION,1992,ACSA3,7B,605.0280,139,147,8,143.000,6.45,-0.10,2.730476,570.965201,395.226749,781.949012,14.698519103124,14.940923968773,14.616726982
CAL0405-HB-1992-SPRING-ACSA3-7T-HALF_EXPANSION,1992,ACSA3,7T,822.9600,139,147,8,143.000,5.70,-0.40,2.487619,514.311093,336.748740,694.452199,14.697479346900,14.939781333372,14.615720527
CAL0405-HB-1992-SPRING-BEAL2-1B-HALF_EXPANSION,1992,BEAL2,1B,472.1352,139,147,8,143.000,6.71,-0.04,2.782857,594.523569,414.450638,816.200825,14.700792295943,14.943422125232,14.618927362
CAL0405-HB-1992-SPRING-BEAL2-4B-HALF_EXPANSION,1992,BEAL2,4B,528.2184,139,147,8,143.000,6.71,-0.04,2.782857,594.523569,414.450638,816.200825,14.700683482459,14.943302541861,14.618822034
CAL0405-HB-1992-SPRING-BEAL2-4T-HALF_EXPANSION,1992,BEAL2,4T,608.3808,147,154,7,150.500,-0.29,6.46,3.671429,370.201460,611.523104,708.656062,14.944171668998,15.109205580150,14.843831183
CAL0405-HB-1992-SPRING-BEAL2-5B-HALF_EXPANSION,1992,BEAL2,5B,474.2688,139,147,8,143.000,6.71,-0.04,2.782857,594.523569,414.450638,816.200825,14.700507322725,14.943108946879,14.618651518
CAL0405-HB-1992-SPRING-BEAL2-5T-HALF_EXPANSION,1992,BEAL2,5T,726.9480,147,154,7,150.500,-0.39,6.30,3.561429,351.974790,585.874387,680.534441,14.944004208049,15.109027640718,14.843669902
CAL0405-HB-1992-SPRING-BEAL2-6T-HALF_EXPANSION,1992,BEAL2,6T,767.4864,147,154,7,150.500,-0.39,6.30,3.561429,351.974790,585.874387,680.534441,14.943803636393,15.108814519022,14.843476733
CAL0405-HB-1992-SPRING-BEAL2-7B-HALF_EXPANSION,1992,BEAL2,7B,605.0280,139,147,8,143.000,6.45,-0.10,2.730476,570.965201,395.226749,781.949012,14.698519103124,14.940923968773,14.616726982
CAL0405-HB-1992-SPRING-BEAL2-7T-HALF_EXPANSION,1992,BEAL2,7T,822.9600,139,147,8,143.000,5.70,-0.40,2.487619,514.311093,336.748740,694.452199,14.697479346900,14.939781333372,14.615720527
CAL0405-HB-1992-SPRING-FAGR-1B-HALF_EXPANSION,1992,FAGR,1B,472.1352,139,147,8,143.000,6.71,-0.04,2.782857,594.523569,414.450638,816.200825,14.700792295943,14.943422125232,14.618927362
CAL0405-HB-1992-SPRING-FAGR-4B-HALF_EXPANSION,1992,FAGR,4B,528.2184,139,147,8,143.000,6.71,-0.04,2.782857,594.523569,414.450638,816.200825,14.700683482459,14.943302541861,14.618822034
CAL0405-HB-1992-SPRING-FAGR-4T-HALF_EXPANSION,1992,FAGR,4T,608.3808,147,154,7,150.500,-0.29,6.46,3.671429,370.201460,611.523104,708.656062,14.944171668998,15.109205580150,14.843831183
CAL0405-HB-1992-SPRING-FAGR-5B-HALF_EXPANSION,1992,FAGR,5B,474.2688,139,147,8,143.000,6.71,-0.04,2.782857,594.523569,414.450638,816.200825,14.700507322725,14.943108946879,14.618651518
CAL0405-HB-1992-SPRING-FAGR-5T-HALF_EXPANSION,1992,FAGR,5T,726.9480,147,154,7,150.500,-0.39,6.30,3.561429,351.974790,585.874387,680.534441,14.944004208049,15.109027640718,14.843669902
CAL0405-HB-1992-SPRING-FAGR-6T-HALF_EXPANSION,1992,FAGR,6T,767.4864,147,154,7,150.500,-0.39,6.30,3.561429,351.974790,585.874387,680.534441,14.943803636393,15.108814519022,14.843476733
CAL0405-HB-1992-SPRING-FAGR-7B-HALF_EXPANSION,1992,FAGR,7B,605.0280,139,147,8,143.000,6.45,-0.10,2.730476,570.965201,395.226749,781.949012,14.698519103124,14.940923968773,14.616726982
CAL0405-HB-1992-SPRING-FAGR-7T-HALF_EXPANSION,1992,FAGR,7T,822.9600,139,147,8,143.000,5.70,-0.40,2.487619,514.311093,336.748740,694.452199,14.697479346900,14.939781333372,14.615720527
CAL0405-HB-1993-SPRING-ACSA3-1B-HALF_EXPANSION,1993,ACSA3,1B,472.1352,123,130,7,126.500,2.90,4.06,2.193333,564.791764,512.386470,649.696196,14.079284669973,14.370208214899,13.939505204
CAL0405-HB-1993-SPRING-ACSA3-4B-HALF_EXPANSION,1993,ACSA3,4B,528.2184,123,130,7,126.500,2.90,4.06,2.193333,564.791764,512.386470,649.696196,14.079202373898,14.370113679429,13.939428593
CAL0405-HB-1993-SPRING-ACSA3-4T-HALF_EXPANSION,1993,ACSA3,4T,608.3808,137,144,7,140.500,0.78,2.39,3.235238,376.162158,404.754872,573.956013,14.632823061682,14.859472088509,14.512280102
CAL0405-HB-1993-SPRING-ACSA3-5B-HALF_EXPANSION,1993,ACSA3,5B,474.2688,130,137,7,133.500,4.06,1.31,2.603333,512.386470,423.758570,717.817956,14.369960634324,14.631882712677,14.238616854
CAL0405-HB-1993-SPRING-ACSA3-5T-HALF_EXPANSION,1993,ACSA3,5T,726.9480,137,144,7,140.500,0.60,2.39,3.112381,357.088403,397.577614,552.894988,14.632674884730,14.859309933774,14.512139102
CAL0405-HB-1993-SPRING-ACSA3-6T-HALF_EXPANSION,1993,ACSA3,6T,767.4864,130,137,7,133.500,3.81,0.60,2.242857,482.749648,357.088403,633.694831,14.370509813327,14.632497409564,14.239134326
CAL0405-HB-1993-SPRING-ACSA3-7B-HALF_EXPANSION,1993,ACSA3,7B,605.0280,137,144,7,140.500,1.27,2.52,3.514762,399.743228,423.368731,603.693251,14.629949299999,14.856327279775,14.509545526
CAL0405-HB-1993-SPRING-ACSA3-7T-HALF_EXPANSION,1993,ACSA3,7T,822.9600,153,158,5,155.500,0.00,3.09,2.237143,444.425761,528.464285,405.541518,15.083944728391,15.176562716799,14.949253875
CAL0405-HB-1993-SPRING-ACSA3-HQ-HALF_EXPANSION,1993,ACSA3,HQ,228.6000,123,130,7,126.500,3.27,4.47,2.865714,687.525070,548.974742,773.446419,14.078816334019,14.369670227402,13.939069220
CAL0405-HB-1993-SPRING-BEAL2-1B-HALF_EXPANSION,1993,BEAL2,1B,472.1352,130,137,7,133.500,4.06,1.31,2.603333,512.386470,423.758570,717.817956,14.370208214899,14.632159829545,14.238850140
CAL0405-HB-1993-SPRING-BEAL2-4B-HALF_EXPANSION,1993,BEAL2,4B,528.2184,123,130,7,126.500,2.90,4.06,2.193333,564.791764,512.386470,649.696196,14.079202373898,14.370113679429,13.939428593
CAL0405-HB-1993-SPRING-BEAL2-4T-HALF_EXPANSION,1993,BEAL2,4T,608.3808,137,144,7,140.500,0.78,2.39,3.235238,376.162158,404.754872,573.956013,14.632823061682,14.859472088509,14.512280102
CAL0405-HB-1993-SPRING-BEAL2-5B-HALF_EXPANSION,1993,BEAL2,5B,474.2688,130,137,7,133.500,4.06,1.31,2.603333,512.386470,423.758570,717.817956,14.369960634324,14.631882712677,14.238616854
CAL0405-HB-1993-SPRING-BEAL2-5T-HALF_EXPANSION,1993,BEAL2,5T,726.9480,137,144,7,140.500,0.60,2.39,3.112381,357.088403,397.577614,552.894988,14.632674884730,14.859309933774,14.512139102
CAL0405-HB-1993-SPRING-BEAL2-6T-HALF_EXPANSION,1993,BEAL2,6T,767.4864,144,158,14,151.000,2.39,3.20,2.344762,397.577614,551.651277,418.656438,14.859115717368,15.180948093270,14.953292494
CAL0405-HB-1993-SPRING-BEAL2-7B-HALF_EXPANSION,1993,BEAL2,7B,605.0280,137,144,7,140.500,1.27,2.52,3.514762,399.743228,423.368731,603.693251,14.629949299999,14.856327279775,14.509545526
CAL0405-HB-1993-SPRING-BEAL2-7T-HALF_EXPANSION,1993,BEAL2,7T,822.9600,153,158,5,155.500,0.00,3.09,2.237143,444.425761,528.464285,405.541518,15.083944728391,15.176562716799,14.949253875
CAL0405-HB-1993-SPRING-BEAL2-HQ-HALF_EXPANSION,1993,BEAL2,HQ,228.6000,123,130,7,126.500,3.27,4.47,2.865714,687.525070,548.974742,773.446419,14.078816334019,14.369670227402,13.939069220
CAL0405-HB-1993-SPRING-FAGR-1B-HALF_EXPANSION,1993,FAGR,1B,472.1352,130,137,7,133.500,4.06,1.31,2.603333,512.386470,423.758570,717.817956,14.370208214899,14.632159829545,14.238850140
CAL0405-HB-1993-SPRING-FAGR-4B-HALF_EXPANSION,1993,FAGR,4B,528.2184,130,137,7,133.500,4.06,1.31,2.603333,512.386470,423.758570,717.817956,14.370113679429,14.632054015935,14.238761063
CAL0405-HB-1993-SPRING-FAGR-4T-HALF_EXPANSION,1993,FAGR,4T,608.3808,144,158,14,151.000,2.39,3.46,2.543810,404.754872,576.699568,436.630479,14.859472088509,15.181349355184,14.953662020
CAL0405-HB-1993-SPRING-FAGR-5B-HALF_EXPANSION,1993,FAGR,5B,474.2688,130,137,7,133.500,4.06,1.31,2.603333,512.386470,423.758570,717.817956,14.369960634324,14.631882712677,14.238616854
CAL0405-HB-1993-SPRING-FAGR-5T-HALF_EXPANSION,1993,FAGR,5T,726.9480,137,144,7,140.500,0.60,2.39,3.112381,357.088403,397.577614,552.894988,14.632674884730,14.859309933774,14.512139102
CAL0405-HB-1993-SPRING-FAGR-6T-HALF_EXPANSION,1993,FAGR,6T,767.4864,144,158,14,151.000,2.39,3.20,2.344762,397.577614,551.651277,418.656438,14.859115717368,15.180948093270,14.953292494
CAL0405-HB-1993-SPRING-FAGR-7B-HALF_EXPANSION,1993,FAGR,7B,605.0280,144,153,9,148.500,2.52,0.71,2.788095,423.368731,514.469425,458.507080,14.856327279775,15.085149825609,14.811110652
CAL0405-HB-1993-SPRING-FAGR-7T-HALF_EXPANSION,1993,FAGR,7T,822.9600,153,158,5,155.500,0.00,3.09,2.237143,444.425761,528.464285,405.541518,15.083944728391,15.176562716799,14.949253875
